// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> -1st beat- BAD EPISODE.Lost Memories
<0000> -1st beat- BAD EPISODE.Lost Memories
{0047} 0a // 0000

//<0001> 恐らく、一晩は経ったのだろう。
<0001> 恐らく、一晩は経ったのだろう。
<0529> ？？

//<0530> 「おい、ドアの開け方を教えろ」
<0530> 「おい、ドアの開け方を教えろ」

//<0531> 直井に銃を突き付ける。
<0531> 直井に銃を突き付ける。

//<0532> nothing
<0532> nothing

//<0533> nothing
<0533> nothing

//<0534> nothing
<0534> nothing

//<0535> nothing
<0535> nothing

//<0536> nothing
<0536> nothing

//<0537> 直井
<0537> 直井

//<0538> 「言うかよ…」
<0538> 「言うかよ…」

//<0539> nothing
<0539> nothing

//<0540> nothing
<0540> nothing

//<0541> nothing
<0541> nothing

//<0542> nothing
<0542> nothing

//<0543> 日向を押しのけて、チャーが問答無用で銃を撃った。
<0543> 日向を押しのけて、チャーが問答無用で銃を撃った。

//<0544> nothing
<0544> nothing

//<0545> nothing
<0545> nothing

//<0546> nothing
<0546> nothing

//<0547> nothing
<0547> nothing

//<0548> 日向を押しのけて、髭を生やした作業着の男が問答無用で銃を撃った。
<0548> 日向を押しのけて、髭を生やした作業着の男が問答無用で銃を撃った。

//<0549> se_handgun
<0549> se_handgun

//<0550> nothing
<0550> nothing

//<0551> nothing
<0551> nothing

//<0552> nothing
<0552> nothing

//<0553> nothing
<0553> nothing

//<0554> nothing
<0554> nothing

//<0555> 直井
<0555> 直井

//<0556> 「うがぁぁっ！！」
<0556> 「うがぁぁっ！！」

//<0557> 無事だったほうの足まで穴が開く。
<0557> 無事だったほうの足まで穴が開く。

//<0558> nothing
<0558> nothing

//<0559> nothing
<0559> nothing

//<0560> nothing
<0560> nothing

//<0561> nothing
<0561> nothing

//<0562> nothing
<0562> nothing

//<0563> 直井
<0563> 直井

//<0564> 「なにをするんだぁっ！　人ごときがぁぁっ！　僕は神だぞっ！！」
<0564> 「なにをするんだぁっ！　人ごときがぁぁっ！　僕は神だぞっ！！」

//<0565> nothing
<0565> nothing

//<0566> nothing
<0566> nothing

//<0567> nothing
<0567> nothing

//<0568> nothing
<0568> nothing

//<0569> nothing
<0569> nothing

//<0570> チャー
<0570> チャー

//<0571> 「気絶しない痛め方はいくらでもあるぞ」
<0571> 「気絶しない痛め方はいくらでもあるぞ」

//<0572> nothing
<0572> nothing

//<0573> nothing
<0573> nothing

//<0574> nothing
<0574> nothing

//<0575> nothing
<0575> nothing

//<0576> nothing
<0576> nothing

//<0577> 作業着の男
<0577> 作業着の男

//<0578> 「気絶しない痛め方はいくらでもあるぞ」
<0578> 「気絶しない痛め方はいくらでもあるぞ」

//<0579> nothing
<0579> nothing

//<0580> nothing
<0580> nothing

//<0581> nothing
<0581> nothing

//<0582> nothing
<0582> nothing

//<0583> nothing
<0583> nothing

//<0584> 直井
<0584> 直井

//<0585> 「言うっ、言うから、もう撃たないでくれっ」
<0585> 「言うっ、言うから、もう撃たないでくれっ」

//<0586> ようやく立華が解放される。
<0586> ようやく立華が解放される。

//<0587> 天使を殺しにかかった俺からは、彼女が中にまだ居ることを教えられない…。
<0587> 天使を殺しにかかった俺からは、彼女が中にまだ居ることを教えられない…。

//<0588> だが、天使自ら、開け放たれたドアから出てくる…。
<0588> だが、天使自ら、開け放たれたドアから出てくる…。

//<0589> nothing
<0589> nothing

//<0590> nothing
<0590> nothing

//<0591> nothing
<0591> nothing

//<0592> nothing
<0592> nothing

//<0593> nothing
<0593> nothing

//<0594> 天使
<0594> 天使

//<0595> かなで
<0595> かなで

//<0596> 女生徒
<0596> 女生徒

//<0597> ？？
<0597> ？？

//<0598> 「ふわ…とてもよく寝たわ」
<0598> 「ふわ…とてもよく寝たわ」

//<0599> 天使
<0599> 天使

//<0600> かなで
<0600> かなで

//<0601> 女生徒
<0601> 女生徒

//<0602> ？？
<0602> ？？

//<0603> 「ふわ…とても悪い夢を見たわ…」
<0603> 「ふわ…とても悪い夢を見たわ…」

//<0604> それは、俺がお前の首を絞めた現実だ。
<0604> それは、俺がお前の首を絞めた現実だ。

//<0605> nothing
<0605> nothing

//<0606> nothing
<0606> nothing

//<0607> nothing
<0607> nothing

//<0608> nothing
<0608> nothing

//<0609> nothing
<0609> nothing

//<0610> 天使
<0610> 天使

//<0611> かなで
<0611> かなで

//<0612> 女生徒
<0612> 女生徒

//<0613> ？？
<0613> ？？

//<0614> 「あら、何があったの？」
<0614> 「あら、何があったの？」

//<0615> 倒れている生徒会メンバーを見ても呑気なままだ。
<0615> 倒れている生徒会メンバーを見ても呑気なままだ。

//<0616> nothing
<0616> nothing

//<0617> nothing
<0617> nothing

//<0618> nothing
<0618> nothing

//<0619> nothing
<0619> nothing

//<0620> nothing
<0620> nothing

//<0621> nothing
<0621> nothing

//<0622> nothing
<0622> nothing

//<0623> nothing
<0623> nothing

//<0624> nothing
<0624> nothing

//<0625> nothing
<0625> nothing

//<0626> nothing
<0626> nothing

//<0627> 日向
<0627> 日向

//<0628> 男Ｂ
<0628> 男Ｂ

//<0629> エロエロ団総帥
<0629> エロエロ団総帥

//<0630> イケチン
<0630> イケチン

//<0631> ホモ太
<0631> ホモ太

//<0632> ひなチン
<0632> ひなチン

//<0633> 秀樹
<0633> 秀樹

//<0634> 男子生徒
<0634> 男子生徒

//<0635> ？？
<0635> ？？

//<0636> 「これで、直井。お前はまた副会長に逆戻りな」
<0636> 「これで、直井。お前はまた副会長に逆戻りな」

//<0637> 直井
<0637> 直井

//<0638> 「くっ…」
<0638> 「くっ…」

//<0639> 音無
<0639> 音無

//<0640> クソ坊主
<0640> クソ坊主

//<0641> 代理人
<0641> 代理人

//<0642> 微妙すぎるイケメン
<0642> 微妙すぎるイケメン

//<0643> ロリコン
<0643> ロリコン

//<0644> メガネ仲間
<0644> メガネ仲間

//<0645> 暗算日本記録保持者
<0645> 暗算日本記録保持者

//<0646> 通り魔
<0646> 通り魔

//<0647> 記憶ナシ男
<0647> 記憶ナシ男

//<0648> 音速
<0648> 音速

//<0649> 無限
<0649> 無限

//<0650> エロ侍
<0650> エロ侍

//<0651> エロエロ団ナンバー１
<0651> エロエロ団ナンバー１

//<0652> ただのエロ少年
<0652> ただのエロ少年

//<0653> ユリブサイク
<0653> ユリブサイク

//<0654> ドピュッシー
<0654> ドピュッシー

//<0655> アメリカンエロドッグ
<0655> アメリカンエロドッグ

//<0656> ゼウス
<0656> ゼウス

//<0657> 日向markⅡ
<0657> 日向markⅡ

//<0658> 糞虫
<0658> 糞虫

//<0659> 量産型日向
<0659> 量産型日向

//<0660> ？？
<0660> ？？

//<0661> 「どういうことだ？」
<0661> 「どういうことだ？」

//<0662> nothing
<0662> nothing

//<0663> nothing
<0663> nothing

//<0664> nothing
<0664> nothing

//<0665> nothing
<0665> nothing

//<0666> nothing
<0666> nothing

//<0667> 日向
<0667> 日向

//<0668> 男Ｂ
<0668> 男Ｂ

//<0669> エロエロ団総帥
<0669> エロエロ団総帥

//<0670> イケチン
<0670> イケチン

//<0671> ホモ太
<0671> ホモ太

//<0672> ひなチン
<0672> ひなチン

//<0673> 秀樹
<0673> 秀樹

//<0674> 男子生徒
<0674> 男子生徒

//<0675> ？？
<0675> ？？

//<0676> 「天使を貶めようとした連中が居て、俺たちが自ら、筆跡の不一致を教師たちに証明しておいたんだ」
<0676> 「天使を貶めようとした連中が居て、俺たちが自ら、筆跡の不一致を教師たちに証明しておいたんだ」

//<0677> nothing
<0677> nothing

//<0678> nothing
<0678> nothing

//<0679> nothing
<0679> nothing

//<0680> nothing
<0680> nothing

//<0681> nothing
<0681> nothing

//<0682> 日向
<0682> 日向

//<0683> 男Ｂ
<0683> 男Ｂ

//<0684> エロエロ団総帥
<0684> エロエロ団総帥

//<0685> イケチン
<0685> イケチン

//<0686> ホモ太
<0686> ホモ太

//<0687> ひなチン
<0687> ひなチン

//<0688> 秀樹
<0688> 秀樹

//<0689> 男子生徒
<0689> 男子生徒

//<0690> ？？
<0690> ？？

//<0691> 「でも、天使が授業にも出ず、忽然と居なくなってしまった」
<0691> 「でも、天使が授業にも出ず、忽然と居なくなってしまった」

//<0692> nothing
<0692> nothing

//<0693> nothing
<0693> nothing

//<0694> nothing
<0694> nothing

//<0695> nothing
<0695> nothing

//<0696> nothing
<0696> nothing

//<0697> 日向
<0697> 日向

//<0698> 男Ｂ
<0698> 男Ｂ

//<0699> エロエロ団総帥
<0699> エロエロ団総帥

//<0700> イケチン
<0700> イケチン

//<0701> ホモ太
<0701> ホモ太

//<0702> ひなチン
<0702> ひなチン

//<0703> 秀樹
<0703> 秀樹

//<0704> 男子生徒
<0704> 男子生徒

//<0705> ？？
<0705> ？？

//<0706> 「みんなで探していたところで、こいつらが一斉に移動しているのを見つけたから、ここまでつけてきた」
<0706> 「みんなで探していたところで、こいつらが一斉に移動しているのを見つけたから、ここまでつけてきた」

//<0707> nothing
<0707> nothing

//<0708> nothing
<0708> nothing

//<0709> nothing
<0709> nothing

//<0710> nothing
<0710> nothing

//<0711> チャー
<0711> チャー

//<0712> 「さて、こいつはどうする」
<0712> 「さて、こいつはどうする」

//<0713> チャーが、直井の傷口を蹴り、悲鳴を上げさせていた。
<0713> チャーが、直井の傷口を蹴り、悲鳴を上げさせていた。

//<0714> nothing
<0714> nothing

//<0715> nothing
<0715> nothing

//<0716> nothing
<0716> nothing

//<0717> nothing
<0717> nothing

//<0718> nothing
<0718> nothing

//<0719> チャー
<0719> チャー

//<0720> 「これだけのことをしたんだ。代わりにこいつを牢獄に閉じこめておくか」
<0720> 「これだけのことをしたんだ。代わりにこいつを牢獄に閉じこめておくか」

//<0721> nothing
<0721> nothing

//<0722> nothing
<0722> nothing

//<0723> nothing
<0723> nothing

//<0724> nothing
<0724> nothing

//<0725> 作業着の男
<0725> 作業着の男

//<0726> 「さて、こいつはどうする」
<0726> 「さて、こいつはどうする」

//<0727> 作業着の男が、直井の傷口を蹴り、悲鳴を上げさせていた。
<0727> 作業着の男が、直井の傷口を蹴り、悲鳴を上げさせていた。

//<0728> nothing
<0728> nothing

//<0729> nothing
<0729> nothing

//<0730> nothing
<0730> nothing

//<0731> nothing
<0731> nothing

//<0732> nothing
<0732> nothing

//<0733> 作業着の男
<0733> 作業着の男

//<0734> 「これだけのことをしたんだ。代わりにこいつを牢獄に閉じこめておくか」
<0734> 「これだけのことをしたんだ。代わりにこいつを牢獄に閉じこめておくか」

//<0735> nothing
<0735> nothing

//<0736> nothing
<0736> nothing

//<0737> nothing
<0737> nothing

//<0738> nothing
<0738> nothing

//<0739> nothing
<0739> nothing

//<0740> 日向
<0740> 日向

//<0741> 男Ｂ
<0741> 男Ｂ

//<0742> エロエロ団総帥
<0742> エロエロ団総帥

//<0743> イケチン
<0743> イケチン

//<0744> ホモ太
<0744> ホモ太

//<0745> ひなチン
<0745> ひなチン

//<0746> 秀樹
<0746> 秀樹

//<0747> 男子生徒
<0747> 男子生徒

//<0748> ？？
<0748> ？？

//<0749> 「性格は歪んでいるが、これでもＮＰＣじゃない、人だからなあ」
<0749> 「性格は歪んでいるが、これでもＮＰＣじゃない、人だからなあ」

//<0750> nothing
<0750> nothing

//<0751> nothing
<0751> nothing

//<0752> nothing
<0752> nothing

//<0753> nothing
<0753> nothing

//<0754> 日向
<0754> 日向

//<0755> 男Ｂ
<0755> 男Ｂ

//<0756> エロエロ団総帥
<0756> エロエロ団総帥

//<0757> イケチン
<0757> イケチン

//<0758> ホモ太
<0758> ホモ太

//<0759> ひなチン
<0759> ひなチン

//<0760> 秀樹
<0760> 秀樹

//<0761> 男子生徒
<0761> 男子生徒

//<0762> ？？
<0762> ？？

//<0763> 「戦線としてのモラルに反する奴なんだよなぁ…」
<0763> 「戦線としてのモラルに反する奴なんだよなぁ…」

//<0764> 音無
<0764> 音無

//<0765> クソ坊主
<0765> クソ坊主

//<0766> 代理人
<0766> 代理人

//<0767> 微妙すぎるイケメン
<0767> 微妙すぎるイケメン

//<0768> ロリコン
<0768> ロリコン

//<0769> メガネ仲間
<0769> メガネ仲間

//<0770> 暗算日本記録保持者
<0770> 暗算日本記録保持者

//<0771> 通り魔
<0771> 通り魔

//<0772> 記憶ナシ男
<0772> 記憶ナシ男

//<0773> 音速
<0773> 音速

//<0774> 無限
<0774> 無限

//<0775> エロ侍
<0775> エロ侍

//<0776> エロエロ団ナンバー１
<0776> エロエロ団ナンバー１

//<0777> ただのエロ少年
<0777> ただのエロ少年

//<0778> ユリブサイク
<0778> ユリブサイク

//<0779> ドピュッシー
<0779> ドピュッシー

//<0780> アメリカンエロドッグ
<0780> アメリカンエロドッグ

//<0781> ゼウス
<0781> ゼウス

//<0782> 日向markⅡ
<0782> 日向markⅡ

//<0783> 糞虫
<0783> 糞虫

//<0784> 量産型日向
<0784> 量産型日向

//<0785> ？？
<0785> ？？

//<0786> 「待ってくれ、そもそもゆりが居なくても、戦線は続いていくのか！？」
<0786> 「待ってくれ、そもそもゆりが居なくても、戦線は続いていくのか！？」

//<0787> nothing
<0787> nothing

//<0788> nothing
<0788> nothing

//<0789> nothing
<0789> nothing

//<0790> nothing
<0790> nothing

//<0791> nothing
<0791> nothing

//<0792> 日向
<0792> 日向

//<0793> 男Ｂ
<0793> 男Ｂ

//<0794> エロエロ団総帥
<0794> エロエロ団総帥

//<0795> イケチン
<0795> イケチン

//<0796> ホモ太
<0796> ホモ太

//<0797> ひなチン
<0797> ひなチン

//<0798> 秀樹
<0798> 秀樹

//<0799> 男子生徒
<0799> 男子生徒

//<0800> ？？
<0800> ？？

//<0801> 「それは、創設メンバーである、俺とチャーとで話し合った」
<0801> 「それは、創設メンバーである、俺とチャーとで話し合った」

//<0802> nothing
<0802> nothing

//<0803> nothing
<0803> nothing

//<0804> nothing
<0804> nothing

//<0805> nothing
<0805> nothing

//<0806> nothing
<0806> nothing

//<0807> 日向
<0807> 日向

//<0808> 男Ｂ
<0808> 男Ｂ

//<0809> エロエロ団総帥
<0809> エロエロ団総帥

//<0810> イケチン
<0810> イケチン

//<0811> ホモ太
<0811> ホモ太

//<0812> ひなチン
<0812> ひなチン

//<0813> 秀樹
<0813> 秀樹

//<0814> 男子生徒
<0814> 男子生徒

//<0815> ？？
<0815> ？？

//<0816> 「結果は…続けていく、だ」
<0816> 「結果は…続けていく、だ」

//<0817> nothing
<0817> nothing

//<0818> nothing
<0818> nothing

//<0819> nothing
<0819> nothing

//<0820> nothing
<0820> nothing

//<0821> nothing
<0821> nothing

//<0822> 日向
<0822> 日向

//<0823> 男Ｂ
<0823> 男Ｂ

//<0824> エロエロ団総帥
<0824> エロエロ団総帥

//<0825> イケチン
<0825> イケチン

//<0826> ホモ太
<0826> ホモ太

//<0827> ひなチン
<0827> ひなチン

//<0828> 秀樹
<0828> 秀樹

//<0829> 男子生徒
<0829> 男子生徒

//<0830> ？？
<0830> ？？

//<0831> 「きっとまたゆりのような、神に復讐心を持つ奴が現れるだろうからな」
<0831> 「きっとまたゆりのような、神に復讐心を持つ奴が現れるだろうからな」

//<0832> 音無
<0832> 音無

//<0833> クソ坊主
<0833> クソ坊主

//<0834> 代理人
<0834> 代理人

//<0835> 微妙すぎるイケメン
<0835> 微妙すぎるイケメン

//<0836> ロリコン
<0836> ロリコン

//<0837> メガネ仲間
<0837> メガネ仲間

//<0838> 暗算日本記録保持者
<0838> 暗算日本記録保持者

//<0839> 通り魔
<0839> 通り魔

//<0840> 記憶ナシ男
<0840> 記憶ナシ男

//<0841> 音速
<0841> 音速

//<0842> 無限
<0842> 無限

//<0843> エロ侍
<0843> エロ侍

//<0844> エロエロ団ナンバー１
<0844> エロエロ団ナンバー１

//<0845> ただのエロ少年
<0845> ただのエロ少年

//<0846> ユリブサイク
<0846> ユリブサイク

//<0847> ドピュッシー
<0847> ドピュッシー

//<0848> アメリカンエロドッグ
<0848> アメリカンエロドッグ

//<0849> ゼウス
<0849> ゼウス

//<0850> 日向markⅡ
<0850> 日向markⅡ

//<0851> 糞虫
<0851> 糞虫

//<0852> 量産型日向
<0852> 量産型日向

//<0853> ？？
<0853> ？？

//<0854> 「そんな…」
<0854> 「そんな…」

//<0855> まだ、あのゆりが消えたことが信じられない…。
<0855> まだ、あのゆりが消えたことが信じられない…。

//<0856> 黒
<0856> 黒

//<0857> 音無
<0857> 音無

//<0858> クソ坊主
<0858> クソ坊主

//<0859> 代理人
<0859> 代理人

//<0860> 微妙すぎるイケメン
<0860> 微妙すぎるイケメン

//<0861> ロリコン
<0861> ロリコン

//<0862> メガネ仲間
<0862> メガネ仲間

//<0863> 暗算日本記録保持者
<0863> 暗算日本記録保持者

//<0864> 通り魔
<0864> 通り魔

//<0865> 記憶ナシ男
<0865> 記憶ナシ男

//<0866> 音速
<0866> 音速

//<0867> 無限
<0867> 無限

//<0868> エロ侍
<0868> エロ侍

//<0869> エロエロ団ナンバー１
<0869> エロエロ団ナンバー１

//<0870> ただのエロ少年
<0870> ただのエロ少年
