// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> 俺は顔を洗った後、部屋に戻ってくる。まだ日向は寝ている。
<0000> 俺は顔を洗った後、部屋に戻ってくる。まだ日向は寝ている。
<0440> メガネ仲間

//<0441> 暗算日本記録保持者
<0441> 暗算日本記録保持者

//<0442> 通り魔
<0442> 通り魔

//<0443> 記憶ナシ男
<0443> 記憶ナシ男

//<0444> 音速
<0444> 音速

//<0445> 無限
<0445> 無限

//<0446> エロ侍
<0446> エロ侍

//<0447> エロエロ団ナンバー１
<0447> エロエロ団ナンバー１

//<0448> ただのエロ少年
<0448> ただのエロ少年

//<0449> ユリブサイク
<0449> ユリブサイク

//<0450> ドピュッシー
<0450> ドピュッシー

//<0451> アメリカンエロドッグ
<0451> アメリカンエロドッグ

//<0452> ゼウス
<0452> ゼウス

//<0453> 日向markⅡ
<0453> 日向markⅡ

//<0454> 糞虫
<0454> 糞虫

//<0455> 量産型日向
<0455> 量産型日向

//<0456> ？？
<0456> ？？

//<0457> （え…。なんだったんだ、今のボールは…）
<0457> （え…。なんだったんだ、今のボールは…）

//<0458> 呆然と立ちつくす俺に、山倉が話しかけてくる。
<0458> 呆然と立ちつくす俺に、山倉が話しかけてくる。

//<0459> 山倉
<0459> 山倉

//<0460> 「すみません、変化球でした…。今のはカーブです」
<0460> 「すみません、変化球でした…。今のはカーブです」

//<0461> 音無
<0461> 音無

//<0462> クソ坊主
<0462> クソ坊主

//<0463> 代理人
<0463> 代理人

//<0464> 微妙すぎるイケメン
<0464> 微妙すぎるイケメン

//<0465> ロリコン
<0465> ロリコン

//<0466> メガネ仲間
<0466> メガネ仲間

//<0467> 暗算日本記録保持者
<0467> 暗算日本記録保持者

//<0468> 通り魔
<0468> 通り魔

//<0469> 記憶ナシ男
<0469> 記憶ナシ男

//<0470> 音速
<0470> 音速

//<0471> 無限
<0471> 無限

//<0472> エロ侍
<0472> エロ侍

//<0473> エロエロ団ナンバー１
<0473> エロエロ団ナンバー１

//<0474> ただのエロ少年
<0474> ただのエロ少年

//<0475> ユリブサイク
<0475> ユリブサイク

//<0476> ドピュッシー
<0476> ドピュッシー

//<0477> アメリカンエロドッグ
<0477> アメリカンエロドッグ

//<0478> ゼウス
<0478> ゼウス

//<0479> 日向markⅡ
<0479> 日向markⅡ

//<0480> 糞虫
<0480> 糞虫

//<0481> 量産型日向
<0481> 量産型日向

//<0482> ？？
<0482> ？？

//<0483> 「そんなこと言われても、いきなり対応は無理だぞ…」
<0483> 「そんなこと言われても、いきなり対応は無理だぞ…」

//<0484> 山倉
<0484> 山倉

//<0485> 「さっきの相手の発言からすると、そうそう決まるボールではないようなので、追い込まれる前に甘いストレートを狙っていきましょう！」
<0485> 「さっきの相手の発言からすると、そうそう決まるボールではないようなので、追い込まれる前に甘いストレートを狙っていきましょう！」

//<0486> 音無
<0486> 音無

//<0487> クソ坊主
<0487> クソ坊主

//<0488> 代理人
<0488> 代理人

//<0489> 微妙すぎるイケメン
<0489> 微妙すぎるイケメン

//<0490> ロリコン
<0490> ロリコン

//<0491> メガネ仲間
<0491> メガネ仲間

//<0492> 暗算日本記録保持者
<0492> 暗算日本記録保持者

//<0493> 通り魔
<0493> 通り魔

//<0494> 記憶ナシ男
<0494> 記憶ナシ男

//<0495> 音速
<0495> 音速

//<0496> 無限
<0496> 無限

//<0497> エロ侍
<0497> エロ侍

//<0498> エロエロ団ナンバー１
<0498> エロエロ団ナンバー１

//<0499> ただのエロ少年
<0499> ただのエロ少年

//<0500> ユリブサイク
<0500> ユリブサイク

//<0501> ドピュッシー
<0501> ドピュッシー

//<0502> アメリカンエロドッグ
<0502> アメリカンエロドッグ

//<0503> ゼウス
<0503> ゼウス

//<0504> 日向markⅡ
<0504> 日向markⅡ

//<0505> 糞虫
<0505> 糞虫

//<0506> 量産型日向
<0506> 量産型日向

//<0507> ？？
<0507> ？？

//<0508> 「ああ…わかった」
<0508> 「ああ…わかった」

//<0509> 山倉
<0509> 山倉

//<0510> 「ピッチングのほうは、僕のリードを信じて投げてください」
<0510> 「ピッチングのほうは、僕のリードを信じて投げてください」

//<0511> ピッチャーマウンドに立つ。
<0511> ピッチャーマウンドに立つ。

//<0512> 音無
<0512> 音無

//<0513> クソ坊主
<0513> クソ坊主

//<0514> 代理人
<0514> 代理人

//<0515> 微妙すぎるイケメン
<0515> 微妙すぎるイケメン

//<0516> ロリコン
<0516> ロリコン

//<0517> メガネ仲間
<0517> メガネ仲間

//<0518> 暗算日本記録保持者
<0518> 暗算日本記録保持者

//<0519> 通り魔
<0519> 通り魔

//<0520> 記憶ナシ男
<0520> 記憶ナシ男

//<0521> 音速
<0521> 音速

//<0522> 無限
<0522> 無限

//<0523> エロ侍
<0523> エロ侍

//<0524> エロエロ団ナンバー１
<0524> エロエロ団ナンバー１

//<0525> ただのエロ少年
<0525> ただのエロ少年

//<0526> ユリブサイク
<0526> ユリブサイク

//<0527> ドピュッシー
<0527> ドピュッシー

//<0528> アメリカンエロドッグ
<0528> アメリカンエロドッグ

//<0529> ゼウス
<0529> ゼウス

//<0530> 日向markⅡ
<0530> 日向markⅡ

//<0531> 糞虫
<0531> 糞虫

//<0532> 量産型日向
<0532> 量産型日向

//<0533> ？？
<0533> ？？

//<0534> （俺の制球力頼みか…）
<0534> （俺の制球力頼みか…）

//<0535> サインは二種類。ストレートと、チェンジアップのみ。後は山倉の構えたミットの位置にそれらを投げるだけ。
<0535> サインは二種類。ストレートと、チェンジアップのみ。後は山倉の構えたミットの位置にそれらを投げるだけ。

//<0536> しかし、唯一の変化球であるチェンジアップは、投げてみたこともない。握り方を覚えただけだ。
<0536> しかし、唯一の変化球であるチェンジアップは、投げてみたこともない。握り方を覚えただけだ。

//<0537> 相手チームの１番がバッターボックスに入った。
<0537> 相手チームの１番がバッターボックスに入った。

//<0538> 音無
<0538> 音無

//<0539> クソ坊主
<0539> クソ坊主

//<0540> 代理人
<0540> 代理人

//<0541> 微妙すぎるイケメン
<0541> 微妙すぎるイケメン

//<0542> ロリコン
<0542> ロリコン

//<0543> メガネ仲間
<0543> メガネ仲間

//<0544> 暗算日本記録保持者
<0544> 暗算日本記録保持者

//<0545> 通り魔
<0545> 通り魔

//<0546> 記憶ナシ男
<0546> 記憶ナシ男

//<0547> 音速
<0547> 音速

//<0548> 無限
<0548> 無限

//<0549> エロ侍
<0549> エロ侍

//<0550> エロエロ団ナンバー１
<0550> エロエロ団ナンバー１

//<0551> ただのエロ少年
<0551> ただのエロ少年

//<0552> ユリブサイク
<0552> ユリブサイク

//<0553> ドピュッシー
<0553> ドピュッシー

//<0554> アメリカンエロドッグ
<0554> アメリカンエロドッグ

//<0555> ゼウス
<0555> ゼウス

//<0556> 日向markⅡ
<0556> 日向markⅡ

//<0557> 糞虫
<0557> 糞虫

//<0558> 量産型日向
<0558> 量産型日向

//<0559> ？？
<0559> ？？

//<0560> （さて…いくか…）
<0560> （さて…いくか…）

//<0561> ヒットは打たれつつも、要所で要求されるチェンジアップが決まり、相手バッターを泳がし三振と内野ゴロの山を築いてきた。
<0561> ヒットは打たれつつも、要所で要求されるチェンジアップが決まり、相手バッターを泳がし三振と内野ゴロの山を築いてきた。

//<0562> こちらも、凡打を積み上げ、攻守均衡したまま回が進む。
<0562> こちらも、凡打を積み上げ、攻守均衡したまま回が進む。

//<0563> ２点リードのまま、ついに最終の５回まで来た…。
<0563> ２点リードのまま、ついに最終の５回まで来た…。

//<0564> が…もう腕が振れないぐらいに疲労しきっている。生前は体育会系の部活には入ってなかったってことか…。
<0564> が…もう腕が振れないぐらいに疲労しきっている。生前は体育会系の部活には入ってなかったってことか…。

//<0565> 目の前で、関根が派手に三振したところで攻守交代。
<0565> 目の前で、関根が派手に三振したところで攻守交代。

//<0566> 山倉
<0566> 山倉

//<0567> 「この回を抑えれば、準決勝進出です！」
<0567> 「この回を抑えれば、準決勝進出です！」

//<0568> 音無
<0568> 音無

//<0569> クソ坊主
<0569> クソ坊主

//<0570> 代理人
<0570> 代理人

//<0571> 微妙すぎるイケメン
<0571> 微妙すぎるイケメン

//<0572> ロリコン
<0572> ロリコン

//<0573> メガネ仲間
<0573> メガネ仲間

//<0574> 暗算日本記録保持者
<0574> 暗算日本記録保持者

//<0575> 通り魔
<0575> 通り魔

//<0576> 記憶ナシ男
<0576> 記憶ナシ男

//<0577> 音速
<0577> 音速

//<0578> 無限
<0578> 無限

//<0579> エロ侍
<0579> エロ侍

//<0580> エロエロ団ナンバー１
<0580> エロエロ団ナンバー１

//<0581> ただのエロ少年
<0581> ただのエロ少年

//<0582> ユリブサイク
<0582> ユリブサイク

//<0583> ドピュッシー
<0583> ドピュッシー

//<0584> アメリカンエロドッグ
<0584> アメリカンエロドッグ

//<0585> ゼウス
<0585> ゼウス

//<0586> 日向markⅡ
<0586> 日向markⅡ

//<0587> 糞虫
<0587> 糞虫

//<0588> 量産型日向
<0588> 量産型日向

//<0589> ？？
<0589> ？？

//<0590> 「そう上手くいけばいいけどな…」
<0590> 「そう上手くいけばいいけどな…」

//<0591> 山倉
<0591> 山倉

//<0592> 「え？　何か問題が？」
<0592> 「え？　何か問題が？」

//<0593> 音無
<0593> 音無

//<0594> クソ坊主
<0594> クソ坊主

//<0595> 代理人
<0595> 代理人

//<0596> 微妙すぎるイケメン
<0596> 微妙すぎるイケメン

//<0597> ロリコン
<0597> ロリコン

//<0598> メガネ仲間
<0598> メガネ仲間

//<0599> 暗算日本記録保持者
<0599> 暗算日本記録保持者

//<0600> 通り魔
<0600> 通り魔

//<0601> 記憶ナシ男
<0601> 記憶ナシ男

//<0602> 音速
<0602> 音速

//<0603> 無限
<0603> 無限

//<0604> エロ侍
<0604> エロ侍

//<0605> エロエロ団ナンバー１
<0605> エロエロ団ナンバー１

//<0606> ただのエロ少年
<0606> ただのエロ少年

//<0607> ユリブサイク
<0607> ユリブサイク

//<0608> ドピュッシー
<0608> ドピュッシー

//<0609> アメリカンエロドッグ
<0609> アメリカンエロドッグ

//<0610> ゼウス
<0610> ゼウス

//<0611> 日向markⅡ
<0611> 日向markⅡ

//<0612> 糞虫
<0612> 糞虫

//<0613> 量産型日向
<0613> 量産型日向

//<0614> ？？
<0614> ？？

//<0615> 「ぶっちゃけ、体力が尽きた…」
<0615> 「ぶっちゃけ、体力が尽きた…」

//<0616> 山倉
<0616> 山倉

//<0617> 「ええ？」
<0617> 「ええ？」

//<0618> 音無
<0618> 音無

//<0619> クソ坊主
<0619> クソ坊主

//<0620> 代理人
<0620> 代理人

//<0621> 微妙すぎるイケメン
<0621> 微妙すぎるイケメン

//<0622> ロリコン
<0622> ロリコン

//<0623> メガネ仲間
<0623> メガネ仲間

//<0624> 暗算日本記録保持者
<0624> 暗算日本記録保持者

//<0625> 通り魔
<0625> 通り魔

//<0626> 記憶ナシ男
<0626> 記憶ナシ男

//<0627> 音速
<0627> 音速

//<0628> 無限
<0628> 無限

//<0629> エロ侍
<0629> エロ侍

//<0630> エロエロ団ナンバー１
<0630> エロエロ団ナンバー１

//<0631> ただのエロ少年
<0631> ただのエロ少年

//<0632> ユリブサイク
<0632> ユリブサイク

//<0633> ドピュッシー
<0633> ドピュッシー

//<0634> アメリカンエロドッグ
<0634> アメリカンエロドッグ

//<0635> ゼウス
<0635> ゼウス

//<0636> 日向markⅡ
<0636> 日向markⅡ

//<0637> 糞虫
<0637> 糞虫

//<0638> 量産型日向
<0638> 量産型日向

//<0639> ？？
<0639> ？？

//<0640> 「ストレートもチェンジアップも全力投球…もう限界だ…」
<0640> 「ストレートもチェンジアップも全力投球…もう限界だ…」

//<0641> 山倉
<0641> 山倉

//<0642> 「そうでしたか…。では、ピッチャーを交代するしか手はないですね…。準決勝も投げてもらわないと勝てませんし…」
<0642> 「そうでしたか…。では、ピッチャーを交代するしか手はないですね…。準決勝も投げてもらわないと勝てませんし…」

//<0643> nothing
<0643> nothing

//<0644> nothing
<0644> nothing

//<0645> nothing
<0645> nothing

//<0646> nothing
<0646> nothing

//<0647> ひさ子
<0647> ひさ子

//<0648> 「おいおい、大丈夫かよ…」
<0648> 「おいおい、大丈夫かよ…」

//<0649> みんなが俺の元に集まっていた。
<0649> みんなが俺の元に集まっていた。

//<0650> ピッチャーを代えてほしい
<0650> ピッチャーを代えてほしい

//<0651> 投げる
<0651> 投げる

//<0652> selbtn : 
<0652> selbtn : 

//<0653> 音無
<0653> 音無

//<0654> クソ坊主
<0654> クソ坊主

//<0655> 代理人
<0655> 代理人

//<0656> 微妙すぎるイケメン
<0656> 微妙すぎるイケメン

//<0657> ロリコン
<0657> ロリコン

//<0658> メガネ仲間
<0658> メガネ仲間

//<0659> 暗算日本記録保持者
<0659> 暗算日本記録保持者

//<0660> 通り魔
<0660> 通り魔

//<0661> 記憶ナシ男
<0661> 記憶ナシ男

//<0662> 音速
<0662> 音速

//<0663> 無限
<0663> 無限

//<0664> エロ侍
<0664> エロ侍

//<0665> エロエロ団ナンバー１
<0665> エロエロ団ナンバー１

//<0666> ただのエロ少年
<0666> ただのエロ少年

//<0667> ユリブサイク
<0667> ユリブサイク

//<0668> ドピュッシー
<0668> ドピュッシー

//<0669> アメリカンエロドッグ
<0669> アメリカンエロドッグ

//<0670> ゼウス
<0670> ゼウス

//<0671> 日向markⅡ
<0671> 日向markⅡ

//<0672> 糞虫
<0672> 糞虫

//<0673> 量産型日向
<0673> 量産型日向

//<0674> ？？
<0674> ？？

//<0675> 「ピッチャーを誰か、代わってくれ…」
<0675> 「ピッチャーを誰か、代わってくれ…」

//<0676> 山倉
<0676> 山倉

//<0677> 「では、僕がやります。なんとか抑えてみせます」
