// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> -1st beat- EPISODE.Matsushita
<0000> -1st beat- EPISODE.Matsushita

//<0001> 松下
<0514> 無限

//<0515> エロ侍
<0515> エロ侍

//<0516> エロエロ団ナンバー１
<0516> エロエロ団ナンバー１

//<0517> ただのエロ少年
<0517> ただのエロ少年

//<0518> ユリブサイク
<0518> ユリブサイク

//<0519> ドピュッシー
<0519> ドピュッシー

//<0520> アメリカンエロドッグ
<0520> アメリカンエロドッグ

//<0521> ゼウス
<0521> ゼウス

//<0522> 日向markⅡ
<0522> 日向markⅡ

//<0523> 糞虫
<0523> 糞虫

//<0524> 量産型日向
<0524> 量産型日向

//<0525> ？？
<0525> ？？

//<0526> 「え？　いいのか？」
<0526> 「え？　いいのか？」

//<0527> 松下
<0527> 松下

//<0528> 「ああ、友達になろう」
<0528> 「ああ、友達になろう」

//<0529> 松下
<0529> 松下

//<0530> 「で、具体的には、何をするってんだ？」
<0530> 「で、具体的には、何をするってんだ？」

//<0531> 松下
<0531> 松下

//<0532> 「ほぅ…戦線メンバー同士で友達、そういう概念は今までなかった…。ふむ、興味深い」
<0532> 「ほぅ…戦線メンバー同士で友達、そういう概念は今までなかった…。ふむ、興味深い」

//<0533> 音無
<0533> 音無

//<0534> クソ坊主
<0534> クソ坊主

//<0535> 代理人
<0535> 代理人

//<0536> 微妙すぎるイケメン
<0536> 微妙すぎるイケメン

//<0537> ロリコン
<0537> ロリコン

//<0538> メガネ仲間
<0538> メガネ仲間

//<0539> 暗算日本記録保持者
<0539> 暗算日本記録保持者

//<0540> 通り魔
<0540> 通り魔

//<0541> 記憶ナシ男
<0541> 記憶ナシ男

//<0542> 音速
<0542> 音速

//<0543> 無限
<0543> 無限

//<0544> エロ侍
<0544> エロ侍

//<0545> エロエロ団ナンバー１
<0545> エロエロ団ナンバー１

//<0546> ただのエロ少年
<0546> ただのエロ少年

//<0547> ユリブサイク
<0547> ユリブサイク

//<0548> ドピュッシー
<0548> ドピュッシー

//<0549> アメリカンエロドッグ
<0549> アメリカンエロドッグ

//<0550> ゼウス
<0550> ゼウス

//<0551> 日向markⅡ
<0551> 日向markⅡ

//<0552> 糞虫
<0552> 糞虫

//<0553> 量産型日向
<0553> 量産型日向

//<0554> ？？
<0554> ？？

//<0555> 「え？　いいのか？」
<0555> 「え？　いいのか？」

//<0556> 松下
<0556> 松下

//<0557> 「ああ、友達になろう」
<0557> 「ああ、友達になろう」

//<0558> 松下
<0558> 松下

//<0559> 「で、具体的には、何をするんだ？」
<0559> 「で、具体的には、何をするんだ？」

//<0560> まずは何からやろうか…
<0560> まずは何からやろうか…

//<0561> 次はどうしようか…
<0561> 次はどうしようか…

//<0562> そうだな、最後は……
<0562> そうだな、最後は……

//<0563> 麻雀
<0563> 麻雀

//<0564> 鬼ごっこ
<0564> 鬼ごっこ

//<0565> 七並べ
<0565> 七並べ

//<0566> selbtn : 
<0566> selbtn : 

//<0567> 音無
<0567> 音無

//<0568> クソ坊主
<0568> クソ坊主

//<0569> 代理人
<0569> 代理人

//<0570> 微妙すぎるイケメン
<0570> 微妙すぎるイケメン

//<0571> ロリコン
<0571> ロリコン

//<0572> メガネ仲間
<0572> メガネ仲間

//<0573> 暗算日本記録保持者
<0573> 暗算日本記録保持者

//<0574> 通り魔
<0574> 通り魔

//<0575> 記憶ナシ男
<0575> 記憶ナシ男

//<0576> 音速
<0576> 音速

//<0577> 無限
<0577> 無限

//<0578> エロ侍
<0578> エロ侍

//<0579> エロエロ団ナンバー１
<0579> エロエロ団ナンバー１

//<0580> ただのエロ少年
<0580> ただのエロ少年

//<0581> ユリブサイク
<0581> ユリブサイク

//<0582> ドピュッシー
<0582> ドピュッシー

//<0583> アメリカンエロドッグ
<0583> アメリカンエロドッグ

//<0584> ゼウス
<0584> ゼウス

//<0585> 日向markⅡ
<0585> 日向markⅡ

//<0586> 糞虫
<0586> 糞虫

//<0587> 量産型日向
<0587> 量産型日向

//<0588> ？？
<0588> ？？

//<0589> 「麻雀」
<0589> 「麻雀」

//<0590> 松下
<0590> 松下

//<0591> 「人数的に、残りふたりを集めないといけねーじゃねぇか」
<0591> 「人数的に、残りふたりを集めないといけねーじゃねぇか」

//<0592> 音無
<0592> 音無

//<0593> クソ坊主
<0593> クソ坊主

//<0594> 代理人
<0594> 代理人

//<0595> 微妙すぎるイケメン
<0595> 微妙すぎるイケメン

//<0596> ロリコン
<0596> ロリコン

//<0597> メガネ仲間
<0597> メガネ仲間

//<0598> 暗算日本記録保持者
<0598> 暗算日本記録保持者

//<0599> 通り魔
<0599> 通り魔

//<0600> 記憶ナシ男
<0600> 記憶ナシ男

//<0601> 音速
<0601> 音速

//<0602> 無限
<0602> 無限

//<0603> エロ侍
<0603> エロ侍

//<0604> エロエロ団ナンバー１
<0604> エロエロ団ナンバー１

//<0605> ただのエロ少年
<0605> ただのエロ少年

//<0606> ユリブサイク
<0606> ユリブサイク

//<0607> ドピュッシー
<0607> ドピュッシー

//<0608> アメリカンエロドッグ
<0608> アメリカンエロドッグ

//<0609> ゼウス
<0609> ゼウス

//<0610> 日向markⅡ
<0610> 日向markⅡ

//<0611> 糞虫
<0611> 糞虫

//<0612> 量産型日向
<0612> 量産型日向

//<0613> ？？
<0613> ？？

//<0614> 「いや、ふたり麻雀にしないか？」
<0614> 「いや、ふたり麻雀にしないか？」

//<0615> 松下
<0615> 松下

//<0616> 「へぇ…そいつは懐かしい…」
<0616> 「へぇ…そいつは懐かしい…」

//<0617> 音無
<0617> 音無

//<0618> クソ坊主
<0618> クソ坊主

//<0619> 代理人
<0619> 代理人

//<0620> 微妙すぎるイケメン
<0620> 微妙すぎるイケメン

//<0621> ロリコン
<0621> ロリコン

//<0622> メガネ仲間
<0622> メガネ仲間

//<0623> 暗算日本記録保持者
<0623> 暗算日本記録保持者

//<0624> 通り魔
<0624> 通り魔

//<0625> 記憶ナシ男
<0625> 記憶ナシ男

//<0626> 音速
<0626> 音速

//<0627> 無限
<0627> 無限

//<0628> エロ侍
<0628> エロ侍

//<0629> エロエロ団ナンバー１
<0629> エロエロ団ナンバー１

//<0630> ただのエロ少年
<0630> ただのエロ少年

//<0631> ユリブサイク
<0631> ユリブサイク

//<0632> ドピュッシー
<0632> ドピュッシー

//<0633> アメリカンエロドッグ
<0633> アメリカンエロドッグ

//<0634> ゼウス
<0634> ゼウス

//<0635> 日向markⅡ
<0635> 日向markⅡ

//<0636> 糞虫
<0636> 糞虫

//<0637> 量産型日向
<0637> 量産型日向

//<0638> ？？
<0638> ？？

//<0639> 「打ったことあるのか？」
<0639> 「打ったことあるのか？」

//<0640> 松下
<0640> 松下

//<0641> 「まあな。まだ打てるメンツが俺ひとりだった時、ひさ子によく付き合わされたものさ」
<0641> 「まあな。まだ打てるメンツが俺ひとりだった時、ひさ子によく付き合わされたものさ」

//<0642> 遠い目になる。
<0642> 遠い目になる。

//<0643> 松下
<0643> 松下

//<0644> 「よし、自主トレも終わったところだ。早速打つか」
<0644> 「よし、自主トレも終わったところだ。早速打つか」

//<0645> 音無
<0645> 音無

//<0646> クソ坊主
<0646> クソ坊主

//<0647> 代理人
<0647> 代理人

//<0648> 微妙すぎるイケメン
<0648> 微妙すぎるイケメン

//<0649> ロリコン
<0649> ロリコン

//<0650> メガネ仲間
<0650> メガネ仲間

//<0651> 暗算日本記録保持者
<0651> 暗算日本記録保持者

//<0652> 通り魔
<0652> 通り魔

//<0653> 記憶ナシ男
<0653> 記憶ナシ男

//<0654> 音速
<0654> 音速

//<0655> 無限
<0655> 無限

//<0656> エロ侍
<0656> エロ侍

//<0657> エロエロ団ナンバー１
<0657> エロエロ団ナンバー１

//<0658> ただのエロ少年
<0658> ただのエロ少年

//<0659> ユリブサイク
<0659> ユリブサイク

//<0660> ドピュッシー
<0660> ドピュッシー

//<0661> アメリカンエロドッグ
<0661> アメリカンエロドッグ

//<0662> ゼウス
<0662> ゼウス

//<0663> 日向markⅡ
<0663> 日向markⅡ

//<0664> 糞虫
<0664> 糞虫

//<0665> 量産型日向
<0665> 量産型日向

//<0666> ？？
<0666> ？？

//<0667> 「場所はここでいいか？」
<0667> 「場所はここでいいか？」

//<0668> 松下
<0668> 松下

//<0669> 「へぇ、屋外で麻雀か…そいつは新鮮だな」
<0669> 「へぇ、屋外で麻雀か…そいつは新鮮だな」

//<0670> 音無
<0670> 音無

//<0671> クソ坊主
<0671> クソ坊主

//<0672> 代理人
<0672> 代理人

//<0673> 微妙すぎるイケメン
<0673> 微妙すぎるイケメン

//<0674> ロリコン
<0674> ロリコン

//<0675> メガネ仲間
<0675> メガネ仲間

//<0676> 暗算日本記録保持者
<0676> 暗算日本記録保持者

//<0677> 通り魔
<0677> 通り魔

//<0678> 記憶ナシ男
<0678> 記憶ナシ男

//<0679> 音速
<0679> 音速

//<0680> 無限
<0680> 無限

//<0681> エロ侍
<0681> エロ侍

//<0682> エロエロ団ナンバー１
<0682> エロエロ団ナンバー１

//<0683> ただのエロ少年
<0683> ただのエロ少年

//<0684> ユリブサイク
<0684> ユリブサイク

//<0685> ドピュッシー
<0685> ドピュッシー

//<0686> アメリカンエロドッグ
<0686> アメリカンエロドッグ

//<0687> ゼウス
<0687> ゼウス

//<0688> 日向markⅡ
<0688> 日向markⅡ

//<0689> 糞虫
<0689> 糞虫

//<0690> 量産型日向
<0690> 量産型日向

//<0691> ？？
<0691> ？？

//<0692> 「ふたりでここに卓を用意しようぜ」
<0692> 「ふたりでここに卓を用意しようぜ」

//<0693> 松下
<0693> 松下

//<0694> 「ああよっ」
<0694> 「ああよっ」

//<0695> nothing
<0695> nothing

//<0696> nothing
<0696> nothing

//<0697> nothing
<0697> nothing

//<0698> nothing
<0698> nothing

//<0699> nothing
<0699> nothing

//<0700> 松下
<0700> 松下

//<0701> 「ふたり麻雀のルールはわかるな？」
<0701> 「ふたり麻雀のルールはわかるな？」

//<0702> 音無
<0702> 音無

//<0703> クソ坊主
<0703> クソ坊主

//<0704> 代理人
<0704> 代理人

//<0705> 微妙すぎるイケメン
<0705> 微妙すぎるイケメン

//<0706> ロリコン
<0706> ロリコン

//<0707> メガネ仲間
<0707> メガネ仲間

//<0708> 暗算日本記録保持者
<0708> 暗算日本記録保持者

//<0709> 通り魔
<0709> 通り魔

//<0710> 記憶ナシ男
<0710> 記憶ナシ男

//<0711> 音速
<0711> 音速

//<0712> 無限
<0712> 無限

//<0713> エロ侍
<0713> エロ侍

//<0714> エロエロ団ナンバー１
<0714> エロエロ団ナンバー１

//<0715> ただのエロ少年
<0715> ただのエロ少年

//<0716> ユリブサイク
<0716> ユリブサイク

//<0717> ドピュッシー
<0717> ドピュッシー

//<0718> アメリカンエロドッグ
<0718> アメリカンエロドッグ

//<0719> ゼウス
<0719> ゼウス

//<0720> 日向markⅡ
<0720> 日向markⅡ

//<0721> 糞虫
<0721> 糞虫

//<0722> 量産型日向
<0722> 量産型日向

//<0723> ？？
<0723> ？？

//<0724> 「ああ」
<0724> 「ああ」

//<0725> 音無
<0725> 音無

//<0726> クソ坊主
<0726> クソ坊主

//<0727> 代理人
<0727> 代理人

//<0728> 微妙すぎるイケメン
<0728> 微妙すぎるイケメン

//<0729> ロリコン
<0729> ロリコン

//<0730> メガネ仲間
<0730> メガネ仲間

//<0731> 暗算日本記録保持者
<0731> 暗算日本記録保持者

//<0732> 通り魔
<0732> 通り魔

//<0733> 記憶ナシ男
<0733> 記憶ナシ男

//<0734> 音速
<0734> 音速

//<0735> 無限
<0735> 無限

//<0736> エロ侍
<0736> エロ侍

//<0737> エロエロ団ナンバー１
<0737> エロエロ団ナンバー１

//<0738> ただのエロ少年
<0738> ただのエロ少年

//<0739> ユリブサイク
<0739> ユリブサイク

//<0740> ドピュッシー
<0740> ドピュッシー

//<0741> アメリカンエロドッグ
<0741> アメリカンエロドッグ

//<0742> ゼウス
<0742> ゼウス

//<0743> 日向markⅡ
<0743> 日向markⅡ

//<0744> 糞虫
<0744> 糞虫

//<0745> 量産型日向
<0745> 量産型日向

//<0746> ？？
<0746> ？？

//<0747> 「では、お願いします！」
<0747> 「では、お願いします！」

//<0748> nothing
<0748> nothing

//<0749> nothing
<0749> nothing

//<0750> nothing
<0750> nothing

//<0751> nothing
<0751> nothing

//<0752> nothing
<0752> nothing

//<0753> 松下
<0753> 松下

//<0754> 「お願いする！」
<0754> 「お願いする！」

//<0755> nothing
<0755> nothing

//<0756> nothing
<0756> nothing

//<0757> nothing
<0757> nothing

//<0758> nothing
<0758> nothing

//<0759> nothing
<0759> nothing

//<0760> nothing
<0760> nothing

//<0761> ふたり麻雀は、あがっても、相手の点数が減るだけ。それで点数が先になくなったほうが負けとなるサドンデス制。
<0761> ふたり麻雀は、あがっても、相手の点数が減るだけ。それで点数が先になくなったほうが負けとなるサドンデス制。

//<0762> 音無
<0762> 音無

//<0763> クソ坊主
<0763> クソ坊主

//<0764> 代理人
<0764> 代理人

//<0765> 微妙すぎるイケメン
<0765> 微妙すぎるイケメン

//<0766> ロリコン
<0766> ロリコン

//<0767> メガネ仲間
<0767> メガネ仲間

//<0768> 暗算日本記録保持者
<0768> 暗算日本記録保持者

//<0769> 通り魔
<0769> 通り魔

//<0770> 記憶ナシ男
<0770> 記憶ナシ男

//<0771> 音速
<0771> 音速

//<0772> 無限
<0772> 無限

//<0773> エロ侍
<0773> エロ侍

//<0774> エロエロ団ナンバー１
<0774> エロエロ団ナンバー１

//<0775> ただのエロ少年
<0775> ただのエロ少年

//<0776> ユリブサイク
<0776> ユリブサイク

//<0777> ドピュッシー
<0777> ドピュッシー

//<0778> アメリカンエロドッグ
<0778> アメリカンエロドッグ

//<0779> ゼウス
<0779> ゼウス

//<0780> 日向markⅡ
<0780> 日向markⅡ

//<0781> 糞虫
<0781> 糞虫

//<0782> 量産型日向
<0782> 量産型日向

//<0783> ？？
<0783> ？？

//<0784> （カンチャン入った！　高め三色）
<0784> （カンチャン入った！　高め三色）

//<0785> 音無
<0785> 音無

//<0786> クソ坊主
<0786> クソ坊主

//<0787> 代理人
<0787> 代理人

//<0788> 微妙すぎるイケメン
<0788> 微妙すぎるイケメン

//<0789> ロリコン
<0789> ロリコン

//<0790> メガネ仲間
<0790> メガネ仲間

//<0791> 暗算日本記録保持者
<0791> 暗算日本記録保持者

//<0792> 通り魔
<0792> 通り魔

//<0793> 記憶ナシ男
<0793> 記憶ナシ男

//<0794> 音速
<0794> 音速

//<0795> 無限
<0795> 無限

//<0796> エロ侍
<0796> エロ侍

//<0797> エロエロ団ナンバー１
<0797> エロエロ団ナンバー１

//<0798> ただのエロ少年
<0798> ただのエロ少年

//<0799> ユリブサイク
<0799> ユリブサイク

//<0800> ドピュッシー
<0800> ドピュッシー

//<0801> アメリカンエロドッグ
<0801> アメリカンエロドッグ

//<0802> ゼウス
<0802> ゼウス

//<0803> 日向markⅡ
<0803> 日向markⅡ

//<0804> 糞虫
<0804> 糞虫

//<0805> 量産型日向
<0805> 量産型日向

//<0806> ？？
<0806> ？？

//<0807> 「リーチ！」
<0807> 「リーチ！」

//<0808> nothing
<0808> nothing

//<0809> nothing
<0809> nothing

//<0810> nothing
<0810> nothing

//<0811> nothing
<0811> nothing

//<0812> nothing
<0812> nothing

//<0813> 松下
<0813> 松下

//<0814> 「ロン！」
<0814> 「ロン！」

//<0815> 音無
<0815> 音無

//<0816> クソ坊主
<0816> クソ坊主

//<0817> 代理人
<0817> 代理人

//<0818> 微妙すぎるイケメン
<0818> 微妙すぎるイケメン

//<0819> ロリコン
<0819> ロリコン

//<0820> メガネ仲間
<0820> メガネ仲間

//<0821> 暗算日本記録保持者
<0821> 暗算日本記録保持者

//<0822> 通り魔
<0822> 通り魔

//<0823> 記憶ナシ男
<0823> 記憶ナシ男

//<0824> 音速
<0824> 音速

//<0825> 無限
<0825> 無限

//<0826> エロ侍
<0826> エロ侍

//<0827> エロエロ団ナンバー１
<0827> エロエロ団ナンバー１

//<0828> ただのエロ少年
<0828> ただのエロ少年

//<0829> ユリブサイク
<0829> ユリブサイク

//<0830> ドピュッシー
<0830> ドピュッシー

//<0831> アメリカンエロドッグ
<0831> アメリカンエロドッグ

//<0832> ゼウス
<0832> ゼウス

//<0833> 日向markⅡ
<0833> 日向markⅡ

//<0834> 糞虫
<0834> 糞虫

//<0835> 量産型日向
<0835> 量産型日向

//<0836> ？？
<0836> ？？

//<0837> （ダマで張っていやがったのか！！）
<0837> （ダマで張っていやがったのか！！）

//<0838> nothing
<0838> nothing

//<0839> nothing
<0839> nothing

//<0840> nothing
<0840> nothing

//<0841> nothing
<0841> nothing

//<0842> nothing
<0842> nothing

//<0843> nothing
<0843> nothing

//<0844> でも安い。
<0844> でも安い。
