// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> 白
<0000> 白
//<1887> しばらく突っ立っていると、賑やかな声が病院の入り口から聞こえてきた。
<1887> しばらく突っ立っていると、賑やかな声が病院の入り口から聞こえてきた。

//<1888> 顔を上げると、何人もの看護師とそれと向き合う小さな女の子とその両親と思しき大人が居た。
<1888> 顔を上げると、何人もの看護師とそれと向き合う小さな女の子とその両親と思しき大人が居た。

//<1889> 女の子はちょうど初音ぐらいの幼さだった。
<1889> 女の子はちょうど初音ぐらいの幼さだった。

//<1890> 看護師
<1890> 看護師

//<1891> 「退院おめでとうっ」
<1891> 「退院おめでとうっ」

//<1892> その子が花束を受け取る。
<1892> その子が花束を受け取る。

//<1893> 女の子
<1893> 女の子

//<1894> 「ありがとうございました！」
<1894> 「ありがとうございました！」

//<1895> 女の子が笑顔で応える。
<1895> 女の子が笑顔で応える。

//<1896> 白
<1896> 白

//<1897> 白
<1897> 白

//<1898> その笑顔が、初音と重なった。
<1898> その笑顔が、初音と重なった。

//<1899> ああ、そうか。
<1899> ああ、そうか。

//<1900> 答えが見つかった。
<1900> 答えが見つかった。

//<1901> こんなにもあっさりと。
<1901> こんなにもあっさりと。

//<1902> nothing
<1902> nothing

//<1903> 
<1903> 

//<1904> 
<1904> 

//<1905> nothing
<1905> nothing

//<1906> そう。単純なことだったんだ。
<1906> そう。単純なことだったんだ。

//<1907> 俺は、もう一度生き甲斐を見つけられるかもしれない。
<1907> 俺は、もう一度生き甲斐を見つけられるかもしれない。

//<1908> 生きる意味を見つけられるかもしれない。
<1908> 生きる意味を見つけられるかもしれない。

//<1909> 音無
<1909> 音無

//<1910> クソ坊主
<1910> クソ坊主

//<1911> 代理人
<1911> 代理人

//<1912> 微妙すぎるイケメン
<1912> 微妙すぎるイケメン

//<1913> ロリコン
<1913> ロリコン

//<1914> メガネ仲間
<1914> メガネ仲間

//<1915> 暗算日本記録保持者
<1915> 暗算日本記録保持者

//<1916> 通り魔
<1916> 通り魔

//<1917> 記憶ナシ男
<1917> 記憶ナシ男

//<1918> 音速
<1918> 音速

//<1919> 無限
<1919> 無限

//<1920> エロ侍
<1920> エロ侍

//<1921> エロエロ団ナンバー１
<1921> エロエロ団ナンバー１

//<1922> ただのエロ少年
<1922> ただのエロ少年

//<1923> ユリブサイク
<1923> ユリブサイク

//<1924> ドピュッシー
<1924> ドピュッシー

//<1925> アメリカンエロドッグ
<1925> アメリカンエロドッグ

//<1926> ゼウス
<1926> ゼウス

//<1927> 日向markⅡ
<1927> 日向markⅡ

//<1928> 糞虫
<1928> 糞虫

//<1929> 量産型日向
<1929> 量産型日向

//<1930> ？？
<1930> ？？

//<1931> 「おめでとう」
<1931> 「おめでとう」

//<1932> そして、ありがとう。
<1932> そして、ありがとう。

//<1933> nothing
<1933> nothing

//<1934> 
<1934> 

//<1935> 
<1935> 

//<1936> nothing
<1936> nothing

//<1937> 聞こえないぐらいの声でそう残し、礼をして、俺は足早にその場を立ち去った。
<1937> 聞こえないぐらいの声でそう残し、礼をして、俺は足早にその場を立ち去った。

//<1938> 白
<1938> 白

//<1939> 本屋で医学部受験ガイドという本を立ち読みした。
<1939> 本屋で医学部受験ガイドという本を立ち読みした。

//<1940> 医者になる方法を知るためだ。
<1940> 医者になる方法を知るためだ。

//<1941> 医師免許が必要。
<1941> 医師免許が必要。

//<1942> そのためには大学の医学部を卒業していなくてはならない。
<1942> そのためには大学の医学部を卒業していなくてはならない。

//<1943> …大学？　そんな学費、どこからも出てこないぞ…。
<1943> …大学？　そんな学費、どこからも出てこないぞ…。

//<1944> でも、別の項目で、学費免除で医者になれる大学も存在することが明記されていた。
<1944> でも、別の項目で、学費免除で医者になれる大学も存在することが明記されていた。

//<1945> よし。
<1945> よし。

//<1946> 後はとにかくその大学に入るための勉強、それが必要だ。
<1946> 後はとにかくその大学に入るための勉強、それが必要だ。

//<1947> 結局使わなかった、貯めたバイト代。
<1947> 結局使わなかった、貯めたバイト代。

//<1948> それを今使おう。
<1948> それを今使おう。

//<1949> 医学部に入るため参考書や問題集に費やそう。
<1949> 医学部に入るため参考書や問題集に費やそう。

//<1950> バイトが終わると、寝る時間も削って勉強に没頭した。
<1950> バイトが終わると、寝る時間も削って勉強に没頭した。

//<1951> 気づくと、朝になっていて、次のバイトまで後１時間、ということもよくあった。
<1951> 気づくと、朝になっていて、次のバイトまで後１時間、ということもよくあった。

//<1952> あれだけ苦行にしか感じていなかった勉強にここまで夢中になれるなんて。
<1952> あれだけ苦行にしか感じていなかった勉強にここまで夢中になれるなんて。

//<1953> 生きる意味。
<1953> 生きる意味。

//<1954> それを掴むためなら、なんでもやれる気がしていた。
<1954> それを掴むためなら、なんでもやれる気がしていた。

//<1955> 白
<1955> 白

//<1956> また季節が移ろいゆく。
<1956> また季節が移ろいゆく。

//<1957> ふたりの一番の思い出にしようとしたクリスマスイヴは、初音の一周忌。
<1957> ふたりの一番の思い出にしようとしたクリスマスイヴは、初音の一周忌。

//<1958> nothing
<1958> nothing

//<1959> 
<1959> 

//<1960> 
<1960> 

//<1961> nothing
<1961> nothing

//<1962> 式自体は執り行わなかったが、墓前で一時間ぐらい、俺がしようとしている夢を語った。
<1962> 式自体は執り行わなかったが、墓前で一時間ぐらい、俺がしようとしている夢を語った。

//<1963> その帰り、大学への願書を出した。
<1963> その帰り、大学への願書を出した。

//<1964> 年が明けると、バイトを辞めた。
<1964> 年が明けると、バイトを辞めた。

//<1965> 受験票が届いたからだ。
<1965> 受験票が届いたからだ。

//<1966> これを手にして、勉強以外のことをする気にはとてもなれなかった。
<1966> これを手にして、勉強以外のことをする気にはとてもなれなかった。

//<1967> 貯金も生活していくには十分ある。
<1967> 貯金も生活していくには十分ある。

//<1968> ひたすら、問題を解いていった。
<1968> ひたすら、問題を解いていった。

//<1969> 積雪が続く冬だった。
<1969> 積雪が続く冬だった。

//<1970> センター試験当日も、雪で、電車のダイヤの乱れが心配だった。
<1970> センター試験当日も、雪で、電車のダイヤの乱れが心配だった。

//<1971> だから早めに家を出た。
<1971> だから早めに家を出た。

//<1972> 同じ考えだったのだろう、電車の中は学生ばかりだった。
<1972> 同じ考えだったのだろう、電車の中は学生ばかりだった。

//<1973> そんな光景を見ていると、なんだか居心地が悪くなる。
<1973> そんな光景を見ていると、なんだか居心地が悪くなる。

//<1974> 制服を着ているからばれないはずなのだけど、俺だけ高校には行っていない。
<1974> 制服を着ているからばれないはずなのだけど、俺だけ高校には行っていない。

//<1975> そんな奴が受かるんだろうか？
<1975> そんな奴が受かるんだろうか？

//<1976> そもそも受ける資格はあるのか。
<1976> そもそも受ける資格はあるのか。

//<1977> でも、これがある。
<1977> でも、これがある。

//<1978> 俺は受験票を取り出した。
<1978> 俺は受験票を取り出した。

//<1979> 『音無結弦』
<1979> 『音無結弦』

//<1980> ちゃんと俺の名が明記されている。
<1980> ちゃんと俺の名が明記されている。

//<1981> 大丈夫。俺も受けていいんだ。
<1981> 大丈夫。俺も受けていいんだ。

//<1982> そして、必ず受かる。
<1982> そして、必ず受かる。

//<1983> その報告は真っ先に初音にしたい。
<1983> その報告は真っ先に初音にしたい。

//<1984> se_yure
<1984> se_yure

//<1985> そんなことを考えていたら、ひどい揺れで我に返る。
<1985> そんなことを考えていたら、ひどい揺れで我に返る。

//<1986> 外が暗い。トンネルに入った直後だったようだ。
<1986> 外が暗い。トンネルに入った直後だったようだ。

//<1987> se_rooffall
<1987> se_rooffall

//<1988> 音無
<1988> 音無

//<1989> クソ坊主
<1989> クソ坊主

//<1990> 代理人
<1990> 代理人

//<1991> 微妙すぎるイケメン
<1991> 微妙すぎるイケメン

//<1992> ロリコン
<1992> ロリコン

//<1993> メガネ仲間
<1993> メガネ仲間

//<1994> 暗算日本記録保持者
<1994> 暗算日本記録保持者

//<1995> 通り魔
<1995> 通り魔

//<1996> 記憶ナシ男
<1996> 記憶ナシ男

//<1997> 音速
<1997> 音速

//<1998> 無限
<1998> 無限

//<1999> エロ侍
<1999> エロ侍

//<2000> エロエロ団ナンバー１
<2000> エロエロ団ナンバー１

//<2001> ただのエロ少年
<2001> ただのエロ少年

//<2002> ユリブサイク
<2002> ユリブサイク

//<2003> ドピュッシー
<2003> ドピュッシー

//<2004> アメリカンエロドッグ
<2004> アメリカンエロドッグ

//<2005> ゼウス
<2005> ゼウス

//<2006> 日向markⅡ
<2006> 日向markⅡ

//<2007> 糞虫
<2007> 糞虫

//<2008> 量産型日向
<2008> 量産型日向

//<2009> ？？
<2009> ？？

//<2010> 「っ…！？」
<2010> 「っ…！？」

//<2011> se_trainaccident
<2011> se_trainaccident

//<2012> 手すりを掴み直す。
<2012> 手すりを掴み直す。

//<2013> se_dokan
<2013> se_dokan

//<2014> 直後、重力が消えた。
<2014> 直後、重力が消えた。

//<2015> 音無
<2015> 音無

//<2016> クソ坊主
<2016> クソ坊主

//<2017> 代理人
<2017> 代理人

//<2018> 微妙すぎるイケメン
<2018> 微妙すぎるイケメン

//<2019> ロリコン
<2019> ロリコン

//<2020> メガネ仲間
<2020> メガネ仲間

//<2021> 暗算日本記録保持者
<2021> 暗算日本記録保持者

//<2022> 通り魔
<2022> 通り魔

//<2023> 記憶ナシ男
<2023> 記憶ナシ男

//<2024> 音速
<2024> 音速

//<2025> 無限
<2025> 無限

//<2026> エロ侍
<2026> エロ侍

//<2027> エロエロ団ナンバー１
<2027> エロエロ団ナンバー１

//<2028> ただのエロ少年
<2028> ただのエロ少年

//<2029> ユリブサイク
<2029> ユリブサイク

//<2030> ドピュッシー
<2030> ドピュッシー

//<2031> アメリカンエロドッグ
<2031> アメリカンエロドッグ

//<2032> ゼウス
<2032> ゼウス

//<2033> 日向markⅡ
<2033> 日向markⅡ

//<2034> 糞虫
<2034> 糞虫

//<2035> 量産型日向
<2035> 量産型日向

//<2036> ？？
<2036> ？？

//<2037> 「え…」
<2037> 「え…」

//<2038> 手すりから手が外れる。
<2038> 手すりから手が外れる。

//<2039> わけがわからない。
<2039> わけがわからない。

//<2040> 床のほうからこっちに迫ってくるなんて。
<2040> 床のほうからこっちに迫ってくるなんて。

//<2041> それに体を叩きつけられた。
<2041> それに体を叩きつけられた。

//<2042> ああ、受験票が…手から放れ、飛んでいく。
<2042> ああ、受験票が…手から放れ、飛んでいく。

//<2043> 待ってくれ…それは大事なものなんだ…。
<2043> 待ってくれ…それは大事なものなんだ…。

//<2044> ………。
<2044> ………。

//<2045> ……。
<2045> ……。

//<2046> …。
<2046> …。

//<2047> dummy
<2047> dummy

//<2048> bg_siro
<2048> bg_siro

//<2049> ep01_bg037
<2049> ep01_bg037

//<2050> ep08_bg009
<2050> ep08_bg009

//<2051> bg_kuro
<2051> bg_kuro

//<2052> m208
<2052> m208
{1716} 0a // 2052

//<2053> evcm_3102
<2053> evcm_3102

//<2054> evcm_3102
<2054> evcm_3102

//<2055> evcm_3104
<2055> evcm_3104

//<2056> bg_kuro
<2056> bg_kuro

//<2057> evcm_3202
<2057> evcm_3202

//<2058> evcm_3201
<2058> evcm_3201

//<2059> evcm_3203
<2059> evcm_3203

//<2060> evcm_3206
<2060> evcm_3206

//<2061> bg_kuro
<2061> bg_kuro

//<2062> ep07_bg009
<2062> ep07_bg009

//<2063> bg_kuro
<2063> bg_kuro

//<2064> ep07_bg008
<2064> ep07_bg008

//<2065> ep07_bg011
<2065> ep07_bg011

//<2066> bg_kuro
<2066> bg_kuro

//<2067> evcm_3203
<2067> evcm_3203

//<2068> bg_kuro
<2068> bg_kuro

//<2069> ep88_bg038
<2069> ep88_bg038

//<2070> ep88_bg039
<2070> ep88_bg039

//<2071> ep07_bg009
<2071> ep07_bg009

//<2072> bg_kuro
<2072> bg_kuro

//<2073> ef_snow
<2073> ef_snow

//<2074> ep88_bg036
<2074> ep88_bg036

//<2075> ef_snow
<2075> ef_snow

//<2076> ef_snow
<2076> ef_snow

//<2077> ep07_bg013
<2077> ep07_bg013

//<2078> ef_snow
<2078> ef_snow

//<2079> ef_snow
<2079> ef_snow

//<2080> ep07_bg017
<2080> ep07_bg017

//<2081> bg_kuro
<2081> bg_kuro

//<2082> m127
<2082> m127

//<2083> evcm_3210
<2083> evcm_3210

//<2084> evcm_3213
<2084> evcm_3213

//<2085> evcm_3215
<2085> evcm_3215

//<2086> evcm_3217
<2086> evcm_3217

//<2087> evcm_3219
<2087> evcm_3219

//<2088> bg_kuro
<2088> bg_kuro

//<2089> ep07_bg015
<2089> ep07_bg015

//<2090> ep07_bg015
<2090> ep07_bg015

//<2091> ef_snow
<2091> ef_snow

//<2092> ef_snow
<2092> ef_snow

//<2093> ep07_bg017
<2093> ep07_bg017

//<2094> ef_snow
<2094> ef_snow

//<2095> ef_snow
<2095> ef_snow

//<2096> ep07_bg013
<2096> ep07_bg013

//<2097> bg_kuro
<2097> bg_kuro

//<2098> ep07_bg007
<2098> ep07_bg007

//<2099> m204
<2099> m204

//<2100> evcm_3106
<2100> evcm_3106

//<2101> bg_kuro
<2101> bg_kuro

//<2102> ef_snow
<2102> ef_snow

//<2103> ep88_bg036
<2103> ep88_bg036

//<2104> ef_snow
<2104> ef_snow

//<2105> ef_snow
<2105> ef_snow

//<2106> ep07_bg012
<2106> ep07_bg012

//<2107> bg_kuro
<2107> bg_kuro

//<2108> ep08_bg009
<2108> ep08_bg009

//<2109> bg_kuro
<2109> bg_kuro

//<2110> ep07_bg012
<2110> ep07_bg012

//<2111> bg_kuro
<2111> bg_kuro

//<2112> evcm_3108
<2112> evcm_3108

//<2113> evcm_3106
<2113> evcm_3106

//<2114> bg_kuro
<2114> bg_kuro

//<2115> ef_snow
<2115> ef_snow

//<2116> ef_snow
<2116> ef_snow

//<2117> ep07_bg014
<2117> ep07_bg014

//<2118> bg_siro
<2118> bg_siro

//<2119> evcm_3302
<2119> evcm_3302

//<2120> m206
<2120> m206

//<2121> evcm_3302
<2121> evcm_3302

//<2122> evcm_3301
<2122> evcm_3301

//<2123> evcm_3301
<2123> evcm_3301

//<2124> ef_snow
<2124> ef_snow

//<2125> ep88_bg035
<2125> ep88_bg035

//<2126> bg_kuro
<2126> bg_kuro

//<2127> m207
<2127> m207

//<2128> ep07_bg016
<2128> ep07_bg016

//<2129> bg_kuro
<2129> bg_kuro

//<2130> ep07_bg018
<2130> ep07_bg018

//<2131> bg_kuro
<2131> bg_kuro

//<2132> evcm_3201
<2132> evcm_3201

//<2133> bg_kuro
<2133> bg_kuro

//<2134> ep07_bg019
<2134> ep07_bg019

//<2135> bg_siro
<2135> bg_siro

//<2136> evcm_3219
<2136> evcm_3219

//<2137> evcm_3219
<2137> evcm_3219

//<2138> ep07_bg019
<2138> ep07_bg019

//<2139> m112
<2139> m112
{31d3d} 0a // 2139

//<2140> ep07_bg018
<2140> ep07_bg018

//<2141> ep07_bg019
<2141> ep07_bg019

//<2142> ep07_bg018
<2142> ep07_bg018

//<2143> bg_kuro
<2143> bg_kuro

//<2144> ep07_bg020
<2144> ep07_bg020

//<2145> ep07_bg009
<2145> ep07_bg009

//<2146> bg_kuro
<2146> bg_kuro

//<2147> ef_snow
<2147> ef_snow

//<2148> ep88_bg036
<2148> ep88_bg036

//<2149> ef_snow
<2149> ef_snow

//<2150> ef_snow
<2150> ef_snow

//<2151> ep07_bg021
<2151> ep07_bg021

//<2152> ep07_bg020
<2152> ep07_bg020

//<2153> bg_kuro
<2153> bg_kuro

//<2154> ef_snow
<2154> ef_snow

//<2155> ef_snow
<2155> ef_snow

//<2156> ep07_bg017
<2156> ep07_bg017

//<2157> bg_kuro
<2157> bg_kuro
{35caa} 0a // 2157

//<2158> ep07_bg022
<2158> ep07_bg022

//<2159> ep07_bg022
<2159> ep07_bg022

//<2160> ep88_bg040
<2160> ep88_bg040

//<2161> ep88_bg041
<2161> ep88_bg041

//<2162> ep88_bg040
<2162> ep88_bg040

//<2163> ep88_bg041
<2163> ep88_bg041

//<2164> ep88_bg040
<2164> ep88_bg040

//<2165> ep88_bg041
<2165> ep88_bg041

//<2166> ep88_bg040
<2166> ep88_bg040

//<2167> ep88_bg041
<2167> ep88_bg041

//<2168> ep88_bg041
<2168> ep88_bg041

//<2169> bg_kuro
<2169> bg_kuro

//<2170> bg_kuro
<2170> bg_kuro

