// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> 食べ物の話題
<0000> 食べ物の話題
<2089> 量産型日向

//<2090> ？？
<2090> ？？

//<2091> 「いや、あざ笑ってなんかいない！　褒めてるんだぜ？　俺もうらやましいぐらいだ」
<2091> 「いや、あざ笑ってなんかいない！　褒めてるんだぜ？　俺もうらやましいぐらいだ」

//<2092> nothing
<2092> nothing

//<2093> nothing
<2093> nothing

//<2094> nothing
<2094> nothing

//<2095> nothing
<2095> nothing

//<2096> nothing
<2096> nothing

//<2097> 岩沢
<2097> 岩沢

//<2098> 「本人は気にしているかもしれないだろ…」
<2098> 「本人は気にしているかもしれないだろ…」

//<2099> 音無
<2099> 音無

//<2100> クソ坊主
<2100> クソ坊主

//<2101> 代理人
<2101> 代理人

//<2102> 微妙すぎるイケメン
<2102> 微妙すぎるイケメン

//<2103> ロリコン
<2103> ロリコン

//<2104> メガネ仲間
<2104> メガネ仲間

//<2105> 暗算日本記録保持者
<2105> 暗算日本記録保持者

//<2106> 通り魔
<2106> 通り魔

//<2107> 記憶ナシ男
<2107> 記憶ナシ男

//<2108> 音速
<2108> 音速

//<2109> 無限
<2109> 無限

//<2110> エロ侍
<2110> エロ侍

//<2111> エロエロ団ナンバー１
<2111> エロエロ団ナンバー１

//<2112> ただのエロ少年
<2112> ただのエロ少年

//<2113> ユリブサイク
<2113> ユリブサイク

//<2114> ドピュッシー
<2114> ドピュッシー

//<2115> アメリカンエロドッグ
<2115> アメリカンエロドッグ

//<2116> ゼウス
<2116> ゼウス

//<2117> 日向markⅡ
<2117> 日向markⅡ

//<2118> 糞虫
<2118> 糞虫

//<2119> 量産型日向
<2119> 量産型日向

//<2120> ？？
<2120> ？？

//<2121> 「マジでうらやましいのに…」
<2121> 「マジでうらやましいのに…」

//<2122> nothing
<2122> nothing

//<2123> nothing
<2123> nothing

//<2124> nothing
<2124> nothing

//<2125> nothing
<2125> nothing

//<2126> nothing
<2126> nothing

//<2127> 岩沢
<2127> 岩沢

//<2128> 「作曲の邪魔だ。出て行ってくれ…」
<2128> 「作曲の邪魔だ。出て行ってくれ…」

//<2129> nothing
<2129> nothing

//<2130> nothing
<2130> nothing

//<2131> nothing
<2131> nothing

//<2132> nothing
<2132> nothing

//<2133> nothing
<2133> nothing

//<2134> nothing
<2134> nothing

//<2135> 笑わせようとしたのに、正反対の結果になってしまった…。
<2135> 笑わせようとしたのに、正反対の結果になってしまった…。

//<2136> 大人しく出て行こう…。
<2136> 大人しく出て行こう…。

//<2137> se_wooddoor_open2
<2137> se_wooddoor_open2

//<2138> dummy
<2138> dummy

//<2139> sys_bk_selline00
<2139> sys_bk_selline00

//<2140> iw0201_08
<2140> iw0201_08

//<2141> iw0201_09
<2141> iw0201_09

//<2142> iw0209_08
<2142> iw0209_08

//<2143> iw0101
<2143> iw0101

//<2144> iw0206_08
<2144> iw0206_08

//<2145> iw0204_07
<2145> iw0204_07

//<2146> iw0101_08
<2146> iw0101_08

//<2147> iw0102
<2147> iw0102

//<2148> iw0108
<2148> iw0108

//<2149> iw0106
<2149> iw0106

//<2150> iw0209_08
<2150> iw0209_08

//<2151> iw0201
<2151> iw0201

//<2152> iw0102
<2152> iw0102

//<2153> m118
<2153> m118

//<2154> iw0208
<2154> iw0208

//<2155> iw0310
<2155> iw0310

//<2156> iw0207
<2156> iw0207

//<2157> iw0108_09
<2157> iw0108_09

//<2158> iw0107
<2158> iw0107

//<2159> m118
<2159> m118

//<2160> iw0209
<2160> iw0209

//<2161> iw0201_08
<2161> iw0201_08

//<2162> iw0201_09
<2162> iw0201_09

//<2163> iw0106
<2163> iw0106

//<2164> iw0108
<2164> iw0108

//<2165> iw0108_09
<2165> iw0108_09

//<2166> sys_bk_selline00
<2166> sys_bk_selline00

//<2167> bs3_iw0104
<2167> bs3_iw0104

//<2168> bs2_iw0209
<2168> bs2_iw0209

//<2169> iw0101
<2169> iw0101

//<2170> iw0109_08
<2170> iw0109_08

//<2171> iw0108_09
<2171> iw0108_09

//<2172> m118
<2172> m118

//<2173> iw0209_08
<2173> iw0209_08

//<2174> iw0201_09
<2174> iw0201_09

//<2175> iw0109_08
<2175> iw0109_08

//<2176> m118
<2176> m118

//<2177> iw0201_08
<2177> iw0201_08

//<2178> iw0201_09
<2178> iw0201_09

//<2179> iw0109_08
<2179> iw0109_08

//<2180> iw0101
<2180> iw0101

//<2181> m118
<2181> m118

//<2182> iw0208
<2182> iw0208

//<2183> iw0310
<2183> iw0310

//<2184> iw0207
<2184> iw0207

//<2185> iw0201_08
<2185> iw0201_08

//<2186> iw0108
<2186> iw0108

//<2187> iw0106
<2187> iw0106

//<2188> iw0107
<2188> iw0107

//<2189> iw0101
<2189> iw0101

//<2190> iw0209_08
<2190> iw0209_08

//<2191> iw0201_09
<2191> iw0201_09

//<2192> iw0201_08
<2192> iw0201_08

//<2193> iw0106
<2193> iw0106

//<2194> iw0104
<2194> iw0104

//<2195> iw0208
<2195> iw0208

//<2196> iw0209
<2196> iw0209

//<2197> iw0208
<2197> iw0208

//<2198> iw0201
<2198> iw0201

//<2199> iw0102
<2199> iw0102

//<2200> iw0209
<2200> iw0209

//<2201> iw0206_08
<2201> iw0206_08

//<2202> iw0201_08
<2202> iw0201_08

//<2203> iw0201
<2203> iw0201

//<2204> iw0202
<2204> iw0202

//<2205> m118
<2205> m118

//<2206> iw0201_08
<2206> iw0201_08

//<2207> iw0109_08
<2207> iw0109_08

//<2208> iw0108
<2208> iw0108

//<2209> iw0107
<2209> iw0107

//<2210> iw0109
<2210> iw0109

//<2211> bg_kuro
<2211> bg_kuro

