// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> 傾斜がかった、森へ踏み入る。
<0000> 傾斜がかった、森へ踏み入る。
<2173> nothing

//<2174> nothing
<2174> nothing

//<2175> nothing
<2175> nothing

//<2176> nothing
<2176> nothing

//<2177> nothing
<2177> nothing

//<2178> 音無
<2178> 音無

//<2179> クソ坊主
<2179> クソ坊主

//<2180> 代理人
<2180> 代理人

//<2181> 微妙すぎるイケメン
<2181> 微妙すぎるイケメン

//<2182> ロリコン
<2182> ロリコン

//<2183> メガネ仲間
<2183> メガネ仲間

//<2184> 暗算日本記録保持者
<2184> 暗算日本記録保持者

//<2185> 通り魔
<2185> 通り魔

//<2186> 記憶ナシ男
<2186> 記憶ナシ男

//<2187> 音速
<2187> 音速

//<2188> 無限
<2188> 無限

//<2189> エロ侍
<2189> エロ侍

//<2190> エロエロ団ナンバー１
<2190> エロエロ団ナンバー１

//<2191> ただのエロ少年
<2191> ただのエロ少年

//<2192> ユリブサイク
<2192> ユリブサイク

//<2193> ドピュッシー
<2193> ドピュッシー

//<2194> アメリカンエロドッグ
<2194> アメリカンエロドッグ

//<2195> ゼウス
<2195> ゼウス

//<2196> 日向markⅡ
<2196> 日向markⅡ

//<2197> 糞虫
<2197> 糞虫

//<2198> 量産型日向
<2198> 量産型日向

//<2199> ？？
<2199> ？？

//<2200> 「わり、いい気になりすぎていたな…」
<2200> 「わり、いい気になりすぎていたな…」

//<2201> 松下
<2201> 松下

//<2202> 「では許してくれるのか」
<2202> 「では許してくれるのか」

//<2203> 松下
<2203> 松下

//<2204> 「ふぅーー…そうか…」
<2204> 「ふぅーー…そうか…」

//<2205> nothing
<2205> nothing

//<2206> nothing
<2206> nothing

//<2207> nothing
<2207> nothing

//<2208> nothing
<2208> nothing

//<2209> nothing
<2209> nothing

//<2210> 松下
<2210> 松下

//<2211> 「ならもう二度とここに来ないようにな…また思わず投げてしまいかねない…」
<2211> 「ならもう二度とここに来ないようにな…また思わず投げてしまいかねない…」

//<2212> 立ち上がり、寂しげにそう告げる。
<2212> 立ち上がり、寂しげにそう告げる。

//<2213> 本当にこれでよかったのだろうか…。
<2213> 本当にこれでよかったのだろうか…。

//<2214> でも実際、地面に叩きつけられた肩がものすごく痛い。
<2214> でも実際、地面に叩きつけられた肩がものすごく痛い。

//<2215> 毎回こんな目に遭わされるのはごめんだ…。
<2215> 毎回こんな目に遭わされるのはごめんだ…。

//<2216> 音無
<2216> 音無

//<2217> クソ坊主
<2217> クソ坊主

//<2218> 代理人
<2218> 代理人

//<2219> 微妙すぎるイケメン
<2219> 微妙すぎるイケメン

//<2220> ロリコン
<2220> ロリコン

//<2221> メガネ仲間
<2221> メガネ仲間

//<2222> 暗算日本記録保持者
<2222> 暗算日本記録保持者

//<2223> 通り魔
<2223> 通り魔

//<2224> 記憶ナシ男
<2224> 記憶ナシ男

//<2225> 音速
<2225> 音速

//<2226> 無限
<2226> 無限

//<2227> エロ侍
<2227> エロ侍

//<2228> エロエロ団ナンバー１
<2228> エロエロ団ナンバー１

//<2229> ただのエロ少年
<2229> ただのエロ少年

//<2230> ユリブサイク
<2230> ユリブサイク

//<2231> ドピュッシー
<2231> ドピュッシー

//<2232> アメリカンエロドッグ
<2232> アメリカンエロドッグ

//<2233> ゼウス
<2233> ゼウス

//<2234> 日向markⅡ
<2234> 日向markⅡ

//<2235> 糞虫
<2235> 糞虫

//<2236> 量産型日向
<2236> 量産型日向

//<2237> ？？
<2237> ？？

//<2238> 「ああ、じゃあな」
<2238> 「ああ、じゃあな」

//<2239> nothing
<2239> nothing

//<2240> nothing
<2240> nothing

//<2241> nothing
<2241> nothing

//<2242> nothing
<2242> nothing

//<2243> nothing
<2243> nothing

//<2244> nothing
<2244> nothing

//<2245> そう言い残し、立ち去った。
<2245> そう言い残し、立ち去った。

//<2246> 森を後にし、降りていく。
<2246> 森を後にし、降りていく。

//<2247> 歩を進めるたびに、左肩に痛みが走る。
<2247> 歩を進めるたびに、左肩に痛みが走る。

//<2248> dummy
<2248> dummy

//<2249> bg_kuro
<2249> bg_kuro

//<2250> ep04_bg009
<2250> ep04_bg009

//<2251> ep04_bg008
<2251> ep04_bg008

//<2252> mt0304
<2252> mt0304

//<2253> hn0102
<2253> hn0102

//<2254> mt0101
<2254> mt0101

//<2255> hn0402
<2255> hn0402

//<2256> mt0202
<2256> mt0202

//<2257> mt0202
<2257> mt0202

//<2258> mt0202
<2258> mt0202

//<2259> mt0202
<2259> mt0202

//<2260> mt0202
<2260> mt0202

//<2261> mt0208
<2261> mt0208

//<2262> hn0403
<2262> hn0403

//<2263> hn0202
<2263> hn0202

//<2264> mt0202
<2264> mt0202

//<2265> mt0202
<2265> mt0202

//<2266> mt0202
<2266> mt0202

//<2267> mt0202
<2267> mt0202

//<2268> mt0202
<2268> mt0202

//<2269> mt0202
<2269> mt0202

//<2270> mt0203
<2270> mt0203

//<2271> bg_kuro
<2271> bg_kuro

//<2272> ep04_bg009
<2272> ep04_bg009

//<2273> ep04_bg008
<2273> ep04_bg008

//<2274> mt0304_01
<2274> mt0304_01

//<2275> mt0304
<2275> mt0304

//<2276> mt0301
<2276> mt0301

//<2277> mt0201
<2277> mt0201

//<2278> mt0201
<2278> mt0201

//<2279> mt0201
<2279> mt0201

//<2280> mt0201
<2280> mt0201

//<2281> mt0201
<2281> mt0201

//<2282> mt0206
<2282> mt0206

//<2283> mt0203
<2283> mt0203

//<2284> mt0201
<2284> mt0201

//<2285> mt0201
<2285> mt0201

//<2286> mt0201
<2286> mt0201

//<2287> mt0201
<2287> mt0201

//<2288> mt0201
<2288> mt0201

//<2289> mt0206
<2289> mt0206

//<2290> mt0201
<2290> mt0201

//<2291> mt0102
<2291> mt0102

//<2292> bg_kuro
<2292> bg_kuro

//<2293> ep04_bg008
<2293> ep04_bg008

//<2294> mt0304
<2294> mt0304

//<2295> mt0108
<2295> mt0108

//<2296> mt0101
<2296> mt0101

//<2297> mt0102
<2297> mt0102

//<2298> mt0203
<2298> mt0203

//<2299> mt0303
<2299> mt0303

//<2300> mt0301
<2300> mt0301

//<2301> mt0203
<2301> mt0203

//<2302> mt0203
<2302> mt0203

//<2303> mt0203
<2303> mt0203

//<2304> mt0203
<2304> mt0203

//<2305> mt0203
<2305> mt0203

//<2306> mt0206
<2306> mt0206

//<2307> mt0203
<2307> mt0203

//<2308> mt0203
<2308> mt0203

//<2309> mt0203
<2309> mt0203

//<2310> mt0203
<2310> mt0203

//<2311> mt0203
<2311> mt0203

//<2312> mt0203
<2312> mt0203

//<2313> mt0206
<2313> mt0206

//<2314> mt0201
<2314> mt0201

//<2315> mt0202
<2315> mt0202

//<2316> mt0202
<2316> mt0202

//<2317> mt0201
<2317> mt0201

//<2318> m114
<2318> m114

//<2319> mt0104
<2319> mt0104

//<2320> mt0304
<2320> mt0304

//<2321> hn0201
<2321> hn0201

//<2322> hn0104
<2322> hn0104

//<2323> sys_bk_selline00
<2323> sys_bk_selline00

//<2324> evmt_0101
<2324> evmt_0101

//<2325> evmt_0101
<2325> evmt_0101

//<2326> ep04_bg008
<2326> ep04_bg008

//<2327> mt0304
<2327> mt0304

//<2328> sys_bk_selline00
<2328> sys_bk_selline00

//<2329> evmt_0101
<2329> evmt_0101

//<2330> ep04_bg008
<2330> ep04_bg008

//<2331> mt0104
<2331> mt0104

//<2332> sys_bk_selline00
<2332> sys_bk_selline00

//<2333> hn0504
<2333> hn0504

//<2334> mt0406
<2334> mt0406

//<2335> hn0407
<2335> hn0407

//<2336> ep04_bg040
<2336> ep04_bg040

//<2337> ep04_bg008
<2337> ep04_bg008

//<2338> m104
<2338> m104

//<2339> hn0404
<2339> hn0404

//<2340> mt0202
<2340> mt0202

//<2341> mt0104
<2341> mt0104

//<2342> mt0202
<2342> mt0202

//<2343> mt0105
<2343> mt0105

//<2344> mt0204_01
<2344> mt0204_01

//<2345> mt0105_04
<2345> mt0105_04

//<2346> mt020400a0
<2346> mt020400a0

//<2347> bs3_mt0105_04
<2347> bs3_mt0105_04

//<2348> bs2_mt0204_0200a0
<2348> bs2_mt0204_0200a0

//<2349> hn0306
<2349> hn0306

//<2350> mt0105_04
<2350> mt0105_04

//<2351> hn0306
<2351> hn0306

//<2352> mt0105_04
<2352> mt0105_04

//<2353> hn0308
<2353> hn0308

//<2354> mt0105_04
<2354> mt0105_04

//<2355> hn0102
<2355> hn0102

//<2356> hn0101
<2356> hn0101

//<2357> bs3_mt0105_04
<2357> bs3_mt0105_04

//<2358> bs2_mt0106
<2358> bs2_mt0106

//<2359> mt0106
<2359> mt0106

//<2360> sys_bk_selline00
<2360> sys_bk_selline00

//<2361> mt0102
<2361> mt0102

//<2362> mt0203
<2362> mt0203

//<2363> mt0202
<2363> mt0202

//<2364> hn0103
<2364> hn0103

//<2365> hn0102
<2365> hn0102

//<2366> mt0302
<2366> mt0302

//<2367> mt0402
<2367> mt0402

//<2368> mt0401
<2368> mt0401

//<2369> mt0102
<2369> mt0102

//<2370> hn0208
<2370> hn0208

//<2371> hn0208
<2371> hn0208

//<2372> hn0208
<2372> hn0208

//<2373> hn0208
<2373> hn0208

//<2374> hn0208
<2374> hn0208

//<2375> hn0306
<2375> hn0306

//<2376> hn0209
<2376> hn0209

//<2377> hn0306
<2377> hn0306

//<2378> hn0208
<2378> hn0208

//<2379> hn0208
<2379> hn0208

//<2380> hn0208
<2380> hn0208

//<2381> hn0208
<2381> hn0208

//<2382> hn0306
<2382> hn0306

//<2383> hn0208
<2383> hn0208

//<2384> hn0208
<2384> hn0208

//<2385> mt0106
<2385> mt0106

//<2386> mt0106
<2386> mt0106

//<2387> mt0106
<2387> mt0106

//<2388> ep04_bg009
<2388> ep04_bg009

//<2389> bg_kuro
<2389> bg_kuro

