// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> 99_場所選択マップ
<0000> 99_場所選択マップ
//<0545> ホモ太
<0545> ホモ太

//<0546> ひなチン
<0546> ひなチン

//<0547> 秀樹
<0547> 秀樹

//<0548> 男子生徒
<0548> 男子生徒

//<0549> ？？
<0549> ？？

//<0550> 「あ、神が窓から覗き込んでいる！」
<0550> 「あ、神が窓から覗き込んでいる！」

//<0551> 音無
<0551> 音無

//<0552> クソ坊主
<0552> クソ坊主

//<0553> 代理人
<0553> 代理人

//<0554> 微妙すぎるイケメン
<0554> 微妙すぎるイケメン

//<0555> ロリコン
<0555> ロリコン

//<0556> メガネ仲間
<0556> メガネ仲間

//<0557> 暗算日本記録保持者
<0557> 暗算日本記録保持者

//<0558> 通り魔
<0558> 通り魔

//<0559> 記憶ナシ男
<0559> 記憶ナシ男

//<0560> 音速
<0560> 音速

//<0561> 無限
<0561> 無限

//<0562> エロ侍
<0562> エロ侍

//<0563> エロエロ団ナンバー１
<0563> エロエロ団ナンバー１

//<0564> ただのエロ少年
<0564> ただのエロ少年

//<0565> ユリブサイク
<0565> ユリブサイク

//<0566> ドピュッシー
<0566> ドピュッシー

//<0567> アメリカンエロドッグ
<0567> アメリカンエロドッグ

//<0568> ゼウス
<0568> ゼウス

//<0569> 日向markⅡ
<0569> 日向markⅡ

//<0570> 糞虫
<0570> 糞虫

//<0571> 量産型日向
<0571> 量産型日向

//<0572> ？？
<0572> ？？

//<0573> 「え？」
<0573> 「え？」

//<0574> nothing
<0574> nothing

//<0575> nothing
<0575> nothing

//<0576> nothing
<0576> nothing

//<0577> nothing
<0577> nothing

//<0578> nothing
<0578> nothing

//<0579> それにつられて窓を見てしまった隙に、顎を殴られた。
<0579> それにつられて窓を見てしまった隙に、顎を殴られた。

//<0580> 音無
<0580> 音無

//<0581> クソ坊主
<0581> クソ坊主

//<0582> 代理人
<0582> 代理人

//<0583> 微妙すぎるイケメン
<0583> 微妙すぎるイケメン

//<0584> ロリコン
<0584> ロリコン

//<0585> メガネ仲間
<0585> メガネ仲間

//<0586> 暗算日本記録保持者
<0586> 暗算日本記録保持者

//<0587> 通り魔
<0587> 通り魔

//<0588> 記憶ナシ男
<0588> 記憶ナシ男

//<0589> 音速
<0589> 音速

//<0590> 無限
<0590> 無限

//<0591> エロ侍
<0591> エロ侍

//<0592> エロエロ団ナンバー１
<0592> エロエロ団ナンバー１

//<0593> ただのエロ少年
<0593> ただのエロ少年

//<0594> ユリブサイク
<0594> ユリブサイク

//<0595> ドピュッシー
<0595> ドピュッシー

//<0596> アメリカンエロドッグ
<0596> アメリカンエロドッグ

//<0597> ゼウス
<0597> ゼウス

//<0598> 日向markⅡ
<0598> 日向markⅡ

//<0599> 糞虫
<0599> 糞虫

//<0600> 量産型日向
<0600> 量産型日向

//<0601> ？？
<0601> ？？

//<0602> 「ぶふっ！」
<0602> 「ぶふっ！」

//<0603> nothing
<0603> nothing

//<0604> nothing
<0604> nothing

//<0605> nothing
<0605> nothing

//<0606> nothing
<0606> nothing

//<0607> nothing
<0607> nothing

//<0608> 日向
<0608> 日向

//<0609> 男Ｂ
<0609> 男Ｂ

//<0610> エロエロ団総帥
<0610> エロエロ団総帥

//<0611> イケチン
<0611> イケチン

//<0612> ホモ太
<0612> ホモ太

//<0613> ひなチン
<0613> ひなチン

//<0614> 秀樹
<0614> 秀樹

//<0615> 男子生徒
<0615> 男子生徒

//<0616> ？？
<0616> ？？

//<0617> 「はっ、俺に勝つなんて、まだまだ新米のお前には無理だぜぇ？」
<0617> 「はっ、俺に勝つなんて、まだまだ新米のお前には無理だぜぇ？」

//<0618> 音無
<0618> 音無

//<0619> クソ坊主
<0619> クソ坊主

//<0620> 代理人
<0620> 代理人

//<0621> 微妙すぎるイケメン
<0621> 微妙すぎるイケメン

//<0622> ロリコン
<0622> ロリコン

//<0623> メガネ仲間
<0623> メガネ仲間

//<0624> 暗算日本記録保持者
<0624> 暗算日本記録保持者

//<0625> 通り魔
<0625> 通り魔

//<0626> 記憶ナシ男
<0626> 記憶ナシ男

//<0627> 音速
<0627> 音速

//<0628> 無限
<0628> 無限

//<0629> エロ侍
<0629> エロ侍

//<0630> エロエロ団ナンバー１
<0630> エロエロ団ナンバー１

//<0631> ただのエロ少年
<0631> ただのエロ少年

//<0632> ユリブサイク
<0632> ユリブサイク

//<0633> ドピュッシー
<0633> ドピュッシー

//<0634> アメリカンエロドッグ
<0634> アメリカンエロドッグ

//<0635> ゼウス
<0635> ゼウス

//<0636> 日向markⅡ
<0636> 日向markⅡ

//<0637> 糞虫
<0637> 糞虫

//<0638> 量産型日向
<0638> 量産型日向

//<0639> ？？
<0639> ？？

//<0640> 「へー、それはどうかなー？」
<0640> 「へー、それはどうかなー？」

//<0641> nothing
<0641> nothing

//<0642> nothing
<0642> nothing

//<0643> nothing
<0643> nothing

//<0644> nothing
<0644> nothing

//<0645> nothing
<0645> nothing

//<0646> 日向
<0646> 日向

//<0647> 男Ｂ
<0647> 男Ｂ

//<0648> エロエロ団総帥
<0648> エロエロ団総帥

//<0649> イケチン
<0649> イケチン

//<0650> ホモ太
<0650> ホモ太

//<0651> ひなチン
<0651> ひなチン

//<0652> 秀樹
<0652> 秀樹

//<0653> 男子生徒
<0653> 男子生徒

//<0654> ？？
<0654> ？？

//<0655> 「おっと、糞虫くん、言うねー！」
<0655> 「おっと、糞虫くん、言うねー！」

//<0656> 日向
<0656> 日向

//<0657> 男Ｂ
<0657> 男Ｂ

//<0658> エロエロ団総帥
<0658> エロエロ団総帥

//<0659> イケチン
<0659> イケチン

//<0660> ホモ太
<0660> ホモ太

//<0661> ひなチン
<0661> ひなチン

//<0662> 秀樹
<0662> 秀樹

//<0663> 男子生徒
<0663> 男子生徒

//<0664> ？？
<0664> ？？

//<0665> 「おっと、量産型日向くん、言うねー！」
<0665> 「おっと、量産型日向くん、言うねー！」

//<0666> 音無
<0666> 音無

//<0667> クソ坊主
<0667> クソ坊主

//<0668> 代理人
<0668> 代理人

//<0669> 微妙すぎるイケメン
<0669> 微妙すぎるイケメン

//<0670> ロリコン
<0670> ロリコン

//<0671> メガネ仲間
<0671> メガネ仲間

//<0672> 暗算日本記録保持者
<0672> 暗算日本記録保持者

//<0673> 通り魔
<0673> 通り魔

//<0674> 記憶ナシ男
<0674> 記憶ナシ男

//<0675> 音速
<0675> 音速

//<0676> 無限
<0676> 無限

//<0677> エロ侍
<0677> エロ侍

//<0678> エロエロ団ナンバー１
<0678> エロエロ団ナンバー１

//<0679> ただのエロ少年
<0679> ただのエロ少年

//<0680> ユリブサイク
<0680> ユリブサイク

//<0681> ドピュッシー
<0681> ドピュッシー

//<0682> アメリカンエロドッグ
<0682> アメリカンエロドッグ

//<0683> ゼウス
<0683> ゼウス

//<0684> 日向markⅡ
<0684> 日向markⅡ

//<0685> 糞虫
<0685> 糞虫

//<0686> 量産型日向
<0686> 量産型日向

//<0687> ？？
<0687> ？？

//<0688> 「量産型でもオリジナルに勝てないわけじゃないんだぜぇ～！」
<0688> 「量産型でもオリジナルに勝てないわけじゃないんだぜぇ～！」

//<0689> 日向
<0689> 日向

//<0690> 男Ｂ
<0690> 男Ｂ

//<0691> エロエロ団総帥
<0691> エロエロ団総帥

//<0692> イケチン
<0692> イケチン

//<0693> ホモ太
<0693> ホモ太

//<0694> ひなチン
<0694> ひなチン

//<0695> 秀樹
<0695> 秀樹

//<0696> 男子生徒
<0696> 男子生徒

//<0697> ？？
<0697> ？？

//<0698> 「おっと、音無くん、言うねー！」
<0698> 「おっと、音無くん、言うねー！」

//<0699> また日向とキャッキャウフフしていると。
<0699> また日向とキャッキャウフフしていると。

//<0700> ゆり
<0700> ゆり

//<0701> 女生徒
<0701> 女生徒

//<0702> ？？
<0702> ？？

//<0703> 「あなたたちの、その仲の良さは何なの…」
<0703> 「あなたたちの、その仲の良さは何なの…」

//<0704> ゆりが思いっきり引いていた…。
<0704> ゆりが思いっきり引いていた…。

//<0705> 音無
<0705> 音無

//<0706> クソ坊主
<0706> クソ坊主

//<0707> 代理人
<0707> 代理人

//<0708> 微妙すぎるイケメン
<0708> 微妙すぎるイケメン

//<0709> ロリコン
<0709> ロリコン

//<0710> メガネ仲間
<0710> メガネ仲間

//<0711> 暗算日本記録保持者
<0711> 暗算日本記録保持者

//<0712> 通り魔
<0712> 通り魔

//<0713> 記憶ナシ男
<0713> 記憶ナシ男

//<0714> 音速
<0714> 音速

//<0715> 無限
<0715> 無限

//<0716> エロ侍
<0716> エロ侍

//<0717> エロエロ団ナンバー１
<0717> エロエロ団ナンバー１

//<0718> ただのエロ少年
<0718> ただのエロ少年

//<0719> ユリブサイク
<0719> ユリブサイク

//<0720> ドピュッシー
<0720> ドピュッシー

//<0721> アメリカンエロドッグ
<0721> アメリカンエロドッグ

//<0722> ゼウス
<0722> ゼウス

//<0723> 日向markⅡ
<0723> 日向markⅡ

//<0724> 糞虫
<0724> 糞虫

//<0725> 量産型日向
<0725> 量産型日向

//<0726> ？？
<0726> ？？

//<0727> 「やべ、見られてたっ！」
<0727> 「やべ、見られてたっ！」

//<0728> nothing
<0728> nothing

//<0729> nothing
<0729> nothing

//<0730> nothing
<0730> nothing

//<0731> nothing
<0731> nothing

//<0732> nothing
<0732> nothing

//<0733> ゆり
<0733> ゆり

//<0734> 女生徒
<0734> 女生徒

//<0735> ？？
<0735> ？？

//<0736> 「どういう関係？」
<0736> 「どういう関係？」

//<0737> 遊佐
<0737> 遊佐

//<0738> 「アブノーマルな関係のようです」
<0738> 「アブノーマルな関係のようです」

//<0739> その声で、我に返る。
<0739> その声で、我に返る。

//<0740> 音無
<0740> 音無

//<0741> クソ坊主
<0741> クソ坊主

//<0742> 代理人
<0742> 代理人

//<0743> 微妙すぎるイケメン
<0743> 微妙すぎるイケメン

//<0744> ロリコン
<0744> ロリコン

//<0745> メガネ仲間
<0745> メガネ仲間

//<0746> 暗算日本記録保持者
<0746> 暗算日本記録保持者

//<0747> 通り魔
<0747> 通り魔

//<0748> 記憶ナシ男
<0748> 記憶ナシ男

//<0749> 音速
<0749> 音速

//<0750> 無限
<0750> 無限

//<0751> エロ侍
<0751> エロ侍

//<0752> エロエロ団ナンバー１
<0752> エロエロ団ナンバー１

//<0753> ただのエロ少年
<0753> ただのエロ少年

//<0754> ユリブサイク
<0754> ユリブサイク

//<0755> ドピュッシー
<0755> ドピュッシー

//<0756> アメリカンエロドッグ
<0756> アメリカンエロドッグ

//<0757> ゼウス
<0757> ゼウス

//<0758> 日向markⅡ
<0758> 日向markⅡ

//<0759> 糞虫
<0759> 糞虫

//<0760> 量産型日向
<0760> 量産型日向

//<0761> ？？
<0761> ？？

//<0762> 「…そんなことは決してない」
<0762> 「…そんなことは決してない」

//<0763> nothing
<0763> nothing

//<0764> nothing
<0764> nothing

//<0765> nothing
<0765> nothing

//<0766> 日向
<0766> 日向

//<0767> 男Ｂ
<0767> 男Ｂ

//<0768> エロエロ団総帥
<0768> エロエロ団総帥

//<0769> イケチン
<0769> イケチン

//<0770> ホモ太
<0770> ホモ太

//<0771> ひなチン
<0771> ひなチン

//<0772> 秀樹
<0772> 秀樹

//<0773> 男子生徒
<0773> 男子生徒

//<0774> ？？
<0774> ？？

//<0775> 「ああ、そうだ。ない」
<0775> 「ああ、そうだ。ない」

//<0776> 日向も同意してくれる。
<0776> 日向も同意してくれる。

//<0777> nothing
<0777> nothing

//<0778> nothing
<0778> nothing

//<0779> nothing
<0779> nothing

//<0780> nothing
<0780> nothing

//<0781> nothing
<0781> nothing

//<0782> ゆり
<0782> ゆり

//<0783> 女生徒
<0783> 女生徒

//<0784> ？？
<0784> ？？

//<0785> 「ふぅーーーーーん…」
<0785> 「ふぅーーーーーん…」

//<0786> ゆりから意味深に見られる。
<0786> ゆりから意味深に見られる。

//<0787> nothing
<0787> nothing

//<0788> nothing
<0788> nothing

//<0789> nothing
<0789> nothing

//<0790> nothing
<0790> nothing

//<0791> nothing
<0791> nothing

//<0792> nothing
<0792> nothing

//<0793> 音無
<0793> 音無

//<0794> クソ坊主
<0794> クソ坊主

//<0795> 代理人
<0795> 代理人

//<0796> 微妙すぎるイケメン
<0796> 微妙すぎるイケメン

//<0797> ロリコン
<0797> ロリコン

//<0798> メガネ仲間
<0798> メガネ仲間

//<0799> 暗算日本記録保持者
<0799> 暗算日本記録保持者

//<0800> 通り魔
<0800> 通り魔

//<0801> 記憶ナシ男
<0801> 記憶ナシ男

//<0802> 音速
<0802> 音速

//<0803> 無限
<0803> 無限

//<0804> エロ侍
<0804> エロ侍

//<0805> エロエロ団ナンバー１
<0805> エロエロ団ナンバー１

//<0806> ただのエロ少年
<0806> ただのエロ少年

//<0807> ユリブサイク
<0807> ユリブサイク

//<0808> ドピュッシー
<0808> ドピュッシー

//<0809> アメリカンエロドッグ
<0809> アメリカンエロドッグ

//<0810> ゼウス
<0810> ゼウス

//<0811> 日向markⅡ
<0811> 日向markⅡ

//<0812> 糞虫
<0812> 糞虫

//<0813> 量産型日向
<0813> 量産型日向

//<0814> ？？
<0814> ？？

//<0815> 「不愉快だ！　とっとと飯に行こうぜ、ひなチン！」
<0815> 「不愉快だ！　とっとと飯に行こうぜ、ひなチン！」

//<0816> nothing
<0816> nothing

//<0817> nothing
<0817> nothing

//<0818> nothing
<0818> nothing

//<0819> nothing
<0819> nothing

//<0820> nothing
<0820> nothing

//<0821> 日向
<0821> 日向

//<0822> 男Ｂ
<0822> 男Ｂ

//<0823> エロエロ団総帥
<0823> エロエロ団総帥

//<0824> イケチン
<0824> イケチン

//<0825> ホモ太
<0825> ホモ太

//<0826> ひなチン
<0826> ひなチン

//<0827> 秀樹
<0827> 秀樹

//<0828> 男子生徒
<0828> 男子生徒

//<0829> ？？
<0829> ？？

//<0830> 「はい、言ったぁー、ケツだせー！」
<0830> 「はい、言ったぁー、ケツだせー！」

//<0831> 音無
<0831> 音無

//<0832> クソ坊主
<0832> クソ坊主

//<0833> 代理人
<0833> 代理人

//<0834> 微妙すぎるイケメン
<0834> 微妙すぎるイケメン

//<0835> ロリコン
<0835> ロリコン

//<0836> メガネ仲間
<0836> メガネ仲間

//<0837> 暗算日本記録保持者
<0837> 暗算日本記録保持者

//<0838> 通り魔
<0838> 通り魔

//<0839> 記憶ナシ男
<0839> 記憶ナシ男

//<0840> 音速
<0840> 音速

//<0841> 無限
<0841> 無限

//<0842> エロ侍
<0842> エロ侍

//<0843> エロエロ団ナンバー１
<0843> エロエロ団ナンバー１

//<0844> ただのエロ少年
<0844> ただのエロ少年

//<0845> ユリブサイク
<0845> ユリブサイク

//<0846> ドピュッシー
<0846> ドピュッシー

//<0847> アメリカンエロドッグ
<0847> アメリカンエロドッグ

//<0848> ゼウス
<0848> ゼウス

//<0849> 日向markⅡ
<0849> 日向markⅡ

//<0850> 糞虫
<0850> 糞虫

//<0851> 量産型日向
<0851> 量産型日向

//<0852> ？？
<0852> ？？

//<0853> 「…え？　まさか俺はまた…」
<0853> 「…え？　まさか俺はまた…」

//<0854> nothing
<0854> nothing

//<0855> nothing
<0855> nothing

//<0856> nothing
<0856> nothing

//<0857> nothing
<0857> nothing

//<0858> nothing
<0858> nothing

//<0859> 日向
<0859> 日向

//<0860> 男Ｂ
<0860> 男Ｂ

//<0861> エロエロ団総帥
<0861> エロエロ団総帥

//<0862> イケチン
<0862> イケチン

//<0863> ホモ太
<0863> ホモ太

//<0864> ひなチン
<0864> ひなチン

//<0865> 秀樹
<0865> 秀樹

//<0866> 男子生徒
<0866> 男子生徒

//<0867> ？？
<0867> ？？

//<0868> 「だから、その演技いいから、ケツ出せよ」
<0868> 「だから、その演技いいから、ケツ出せよ」

//<0869> nothing
<0869> nothing

//<0870> nothing
<0870> nothing

//<0871> nothing
<0871> nothing

//<0872> nothing
<0872> nothing

//<0873> nothing
<0873> nothing

//<0874> nothing
<0874> nothing

//<0875> ぷりっとケツを差し出す。
<0875> ぷりっとケツを差し出す。

//<0876> se_hipkick
<0876> se_hipkick

//<0877> ぱーーーん！と思い切り蹴られ、激痛のあまり蹲る…。
<0877> ぱーーーん！と思い切り蹴られ、激痛のあまり蹲る…。

//<0878> nothing
<0878> nothing

//<0879> nothing
<0879> nothing

//<0880> nothing
<0880> nothing

//<0881> nothing
<0881> nothing

//<0882> nothing
<0882> nothing

//<0883> ゆり
<0883> ゆり

//<0884> 女生徒
<0884> 女生徒

//<0885> ？？
<0885> ？？

//<0886> 「だから、なんなの、そのあなたたちのルールは…」
<0886> 「だから、なんなの、そのあなたたちのルールは…」

//<0887> 日向
<0887> 日向

//<0888> 男Ｂ
<0888> 男Ｂ

//<0889> エロエロ団総帥
<0889> エロエロ団総帥

//<0890> イケチン
<0890> イケチン

//<0891> ホモ太
<0891> ホモ太

//<0892> ひなチン
<0892> ひなチン

//<0893> 秀樹
<0893> 秀樹

//<0894> 男子生徒
<0894> 男子生徒

//<0895> ？？
<0895> ？？

//<0896> 「気にすんな、そういうゲームなんだ」
<0896> 「気にすんな、そういうゲームなんだ」

//<0897> nothing
<0897> nothing

//<0898> nothing
<0898> nothing

//<0899> nothing
<0899> nothing

//<0900> nothing
<0900> nothing

//<0901> nothing
<0901> nothing

//<0902> ゆり
<0902> ゆり

//<0903> 女生徒
<0903> 女生徒

//<0904> ？？
<0904> ？？

//<0905> 「まあ、仲良くやってくれてるのなら、いいけど」
<0905> 「まあ、仲良くやってくれてるのなら、いいけど」

//<0906> nothing
<0906> nothing

//<0907> nothing
<0907> nothing

//<0908> nothing
<0908> nothing

//<0909> nothing
<0909> nothing

//<0910> nothing
<0910> nothing

//<0911> 日向
<0911> 日向

//<0912> 男Ｂ
<0912> 男Ｂ
