// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> ゆりは俺たちが居ることを確認すると、部屋の明かりを落としてプロジェクターを点けた。
<0000> ゆりは俺たちが居ることを確認すると、部屋の明かりを落としてプロジェクターを点けた。
<0524> 無限

//<0525> エロ侍
<0525> エロ侍

//<0526> エロエロ団ナンバー１
<0526> エロエロ団ナンバー１

//<0527> ただのエロ少年
<0527> ただのエロ少年

//<0528> ユリブサイク
<0528> ユリブサイク

//<0529> ドピュッシー
<0529> ドピュッシー

//<0530> アメリカンエロドッグ
<0530> アメリカンエロドッグ

//<0531> ゼウス
<0531> ゼウス

//<0532> 日向markⅡ
<0532> 日向markⅡ

//<0533> 糞虫
<0533> 糞虫

//<0534> 量産型日向
<0534> 量産型日向

//<0535> ？？
<0535> ？？

//<0536> 「球技大会…そんなものがあるのか」
<0536> 「球技大会…そんなものがあるのか」

//<0537> nothing
<0537> nothing

//<0538> nothing
<0538> nothing

//<0539> nothing
<0539> nothing

//<0540> nothing
<0540> nothing

//<0541> nothing
<0541> nothing

//<0542> ゆり
<0542> ゆり

//<0543> 女生徒
<0543> 女生徒

//<0544> ？？
<0544> ？？

//<0545> 「そりゃあるわよ。普通の学校なんだから」
<0545> 「そりゃあるわよ。普通の学校なんだから」

//<0546> 日向
<0546> 日向

//<0547> 男Ｂ
<0547> 男Ｂ

//<0548> エロエロ団総帥
<0548> エロエロ団総帥

//<0549> イケチン
<0549> イケチン

//<0550> ホモ太
<0550> ホモ太

//<0551> ひなチン
<0551> ひなチン

//<0552> 秀樹
<0552> 秀樹

//<0553> 男子生徒
<0553> 男子生徒

//<0554> ？？
<0554> ？？

//<0555> 「ところで、アメリカンエロドッグ、お前はいつまで這いつくばった姿勢でいるんだ？」
<0555> 「ところで、アメリカンエロドッグ、お前はいつまで這いつくばった姿勢でいるんだ？」

//<0556> 日向
<0556> 日向

//<0557> 男Ｂ
<0557> 男Ｂ

//<0558> エロエロ団総帥
<0558> エロエロ団総帥

//<0559> イケチン
<0559> イケチン

//<0560> ホモ太
<0560> ホモ太

//<0561> ひなチン
<0561> ひなチン

//<0562> 秀樹
<0562> 秀樹

//<0563> 男子生徒
<0563> 男子生徒

//<0564> ？？
<0564> ？？

//<0565> 「ところで、お前はいつまで這いつくばった姿勢でいるんだ？」
<0565> 「ところで、お前はいつまで這いつくばった姿勢でいるんだ？」

//<0566> 音無
<0566> 音無

//<0567> クソ坊主
<0567> クソ坊主

//<0568> 代理人
<0568> 代理人

//<0569> 微妙すぎるイケメン
<0569> 微妙すぎるイケメン

//<0570> ロリコン
<0570> ロリコン

//<0571> メガネ仲間
<0571> メガネ仲間

//<0572> 暗算日本記録保持者
<0572> 暗算日本記録保持者

//<0573> 通り魔
<0573> 通り魔

//<0574> 記憶ナシ男
<0574> 記憶ナシ男

//<0575> 音速
<0575> 音速

//<0576> 無限
<0576> 無限

//<0577> エロ侍
<0577> エロ侍

//<0578> エロエロ団ナンバー１
<0578> エロエロ団ナンバー１

//<0579> ただのエロ少年
<0579> ただのエロ少年

//<0580> ユリブサイク
<0580> ユリブサイク

//<0581> ドピュッシー
<0581> ドピュッシー

//<0582> アメリカンエロドッグ
<0582> アメリカンエロドッグ

//<0583> ゼウス
<0583> ゼウス

//<0584> 日向markⅡ
<0584> 日向markⅡ

//<0585> 糞虫
<0585> 糞虫

//<0586> 量産型日向
<0586> 量産型日向

//<0587> ？？
<0587> ？？

//<0588> 「それはゆりから許された時だ」
<0588> 「それはゆりから許された時だ」

//<0589> nothing
<0589> nothing

//<0590> nothing
<0590> nothing

//<0591> nothing
<0591> nothing

//<0592> nothing
<0592> nothing

//<0593> nothing
<0593> nothing

//<0594> 日向
<0594> 日向

//<0595> 男Ｂ
<0595> 男Ｂ

//<0596> エロエロ団総帥
<0596> エロエロ団総帥

//<0597> イケチン
<0597> イケチン

//<0598> ホモ太
<0598> ホモ太

//<0599> ひなチン
<0599> ひなチン

//<0600> 秀樹
<0600> 秀樹

//<0601> 男子生徒
<0601> 男子生徒

//<0602> ？？
<0602> ？？

//<0603> 「なあ、ゆりっぺ、そろそろ許してやれよ…」
<0603> 「なあ、ゆりっぺ、そろそろ許してやれよ…」

//<0604> nothing
<0604> nothing

//<0605> nothing
<0605> nothing

//<0606> nothing
<0606> nothing

//<0607> nothing
<0607> nothing

//<0608> nothing
<0608> nothing

//<0609> ゆり
<0609> ゆり

//<0610> 女生徒
<0610> 女生徒

//<0611> ？？
<0611> ？？

//<0612> 「意味もなくあたしに会いに来なければ、許すわよ？」
<0612> 「意味もなくあたしに会いに来なければ、許すわよ？」

//<0613> nothing
<0613> nothing

//<0614> nothing
<0614> nothing

//<0615> nothing
<0615> nothing

//<0616> nothing
<0616> nothing

//<0617> nothing
<0617> nothing

//<0618> 日向
<0618> 日向

//<0619> 男Ｂ
<0619> 男Ｂ

//<0620> エロエロ団総帥
<0620> エロエロ団総帥

//<0621> イケチン
<0621> イケチン

//<0622> ホモ太
<0622> ホモ太

//<0623> ひなチン
<0623> ひなチン

//<0624> 秀樹
<0624> 秀樹

//<0625> 男子生徒
<0625> 男子生徒

//<0626> ？？
<0626> ？？

//<0627> 「アメリカンエロドッグ、どうなんだ？」
<0627> 「アメリカンエロドッグ、どうなんだ？」

//<0628> nothing
<0628> nothing

//<0629> nothing
<0629> nothing

//<0630> nothing
<0630> nothing

//<0631> nothing
<0631> nothing

//<0632> nothing
<0632> nothing

//<0633> 日向
<0633> 日向

//<0634> 男Ｂ
<0634> 男Ｂ

//<0635> エロエロ団総帥
<0635> エロエロ団総帥

//<0636> イケチン
<0636> イケチン

//<0637> ホモ太
<0637> ホモ太

//<0638> ひなチン
<0638> ひなチン

//<0639> 秀樹
<0639> 秀樹

//<0640> 男子生徒
<0640> 男子生徒

//<0641> ？？
<0641> ？？

//<0642> 「音無、どうなんだ？」
<0642> 「音無、どうなんだ？」

//<0643> 意味もなく会いに行かない
<0643> 意味もなく会いに行かない

//<0644> この姿勢をキープし続ける
<0644> この姿勢をキープし続ける

//<0645> selbtn : 
<0645> selbtn : 

//<0646> nothing
<0646> nothing

//<0647> nothing
<0647> nothing

//<0648> nothing
<0648> nothing

//<0649> nothing
<0649> nothing

//<0650> nothing
<0650> nothing

//<0651> nothing
<0651> nothing

//<0652> 音無
<0652> 音無

//<0653> クソ坊主
<0653> クソ坊主

//<0654> 代理人
<0654> 代理人

//<0655> 微妙すぎるイケメン
<0655> 微妙すぎるイケメン

//<0656> ロリコン
<0656> ロリコン

//<0657> メガネ仲間
<0657> メガネ仲間

//<0658> 暗算日本記録保持者
<0658> 暗算日本記録保持者

//<0659> 通り魔
<0659> 通り魔

//<0660> 記憶ナシ男
<0660> 記憶ナシ男

//<0661> 音速
<0661> 音速

//<0662> 無限
<0662> 無限

//<0663> エロ侍
<0663> エロ侍

//<0664> エロエロ団ナンバー１
<0664> エロエロ団ナンバー１

//<0665> ただのエロ少年
<0665> ただのエロ少年

//<0666> ユリブサイク
<0666> ユリブサイク

//<0667> ドピュッシー
<0667> ドピュッシー

//<0668> アメリカンエロドッグ
<0668> アメリカンエロドッグ

//<0669> ゼウス
<0669> ゼウス

//<0670> 日向markⅡ
<0670> 日向markⅡ

//<0671> 糞虫
<0671> 糞虫

//<0672> 量産型日向
<0672> 量産型日向

//<0673> ？？
<0673> ？？

//<0674> 「くっ…」
<0674> 「くっ…」

//<0675> 断腸の思いだ…。
<0675> 断腸の思いだ…。

//<0676> 音無
<0676> 音無

//<0677> クソ坊主
<0677> クソ坊主

//<0678> 代理人
<0678> 代理人

//<0679> 微妙すぎるイケメン
<0679> 微妙すぎるイケメン

//<0680> ロリコン
<0680> ロリコン

//<0681> メガネ仲間
<0681> メガネ仲間

//<0682> 暗算日本記録保持者
<0682> 暗算日本記録保持者

//<0683> 通り魔
<0683> 通り魔

//<0684> 記憶ナシ男
<0684> 記憶ナシ男

//<0685> 音速
<0685> 音速

//<0686> 無限
<0686> 無限

//<0687> エロ侍
<0687> エロ侍

//<0688> エロエロ団ナンバー１
<0688> エロエロ団ナンバー１

//<0689> ただのエロ少年
<0689> ただのエロ少年

//<0690> ユリブサイク
<0690> ユリブサイク

//<0691> ドピュッシー
<0691> ドピュッシー

//<0692> アメリカンエロドッグ
<0692> アメリカンエロドッグ

//<0693> ゼウス
<0693> ゼウス

//<0694> 日向markⅡ
<0694> 日向markⅡ

//<0695> 糞虫
<0695> 糞虫

//<0696> 量産型日向
<0696> 量産型日向

//<0697> ？？
<0697> ？？

//<0698> 「わかった…意味もなく会いに行かないよ…」
<0698> 「わかった…意味もなく会いに行かないよ…」

//<0699> nothing
<0699> nothing

//<0700> nothing
<0700> nothing

//<0701> nothing
<0701> nothing

//<0702> nothing
<0702> nothing

//<0703> nothing
<0703> nothing

//<0704> ゆり
<0704> ゆり

//<0705> 女生徒
<0705> 女生徒

//<0706> ？？
<0706> ？？

//<0707> 「なら、スタンドアッププリーズ」
<0707> 「なら、スタンドアッププリーズ」

//<0708> nothing
<0708> nothing

//<0709> nothing
<0709> nothing

//<0710> nothing
<0710> nothing

//<0711> nothing
<0711> nothing

//<0712> nothing
<0712> nothing

//<0713> nothing
<0713> nothing

//<0714> 言われるがまま立ち上がる。
<0714> 言われるがまま立ち上がる。

//<0715> nothing
<0715> nothing

//<0716> nothing
<0716> nothing

//<0717> nothing
<0717> nothing

//<0718> nothing
<0718> nothing

//<0719> nothing
<0719> nothing

//<0720> ゆり
<0720> ゆり

//<0721> 女生徒
<0721> 女生徒

//<0722> ？？
<0722> ？？

//<0723> 「ちゃんと約束は守ってね」
<0723> 「ちゃんと約束は守ってね」

//<0724> 音無
<0724> 音無

//<0725> クソ坊主
<0725> クソ坊主

//<0726> 代理人
<0726> 代理人

//<0727> 微妙すぎるイケメン
<0727> 微妙すぎるイケメン

//<0728> ロリコン
<0728> ロリコン

//<0729> メガネ仲間
<0729> メガネ仲間

//<0730> 暗算日本記録保持者
<0730> 暗算日本記録保持者

//<0731> 通り魔
<0731> 通り魔

//<0732> 記憶ナシ男
<0732> 記憶ナシ男

//<0733> 音速
<0733> 音速

//<0734> 無限
<0734> 無限

//<0735> エロ侍
<0735> エロ侍

//<0736> エロエロ団ナンバー１
<0736> エロエロ団ナンバー１

//<0737> ただのエロ少年
<0737> ただのエロ少年

//<0738> ユリブサイク
<0738> ユリブサイク

//<0739> ドピュッシー
<0739> ドピュッシー

//<0740> アメリカンエロドッグ
<0740> アメリカンエロドッグ

//<0741> ゼウス
<0741> ゼウス

//<0742> 日向markⅡ
<0742> 日向markⅡ

//<0743> 糞虫
<0743> 糞虫

//<0744> 量産型日向
<0744> 量産型日向

//<0745> ？？
<0745> ？？

//<0746> 「ああ…」
<0746> 「ああ…」

//<0747> 肩を落としながら日向の方に行く。
<0747> 肩を落としながら日向の方に行く。

//<0748> 音無
<0748> 音無

//<0749> クソ坊主
<0749> クソ坊主

//<0750> 代理人
<0750> 代理人

//<0751> 微妙すぎるイケメン
<0751> 微妙すぎるイケメン

//<0752> ロリコン
<0752> ロリコン

//<0753> メガネ仲間
<0753> メガネ仲間

//<0754> 暗算日本記録保持者
<0754> 暗算日本記録保持者

//<0755> 通り魔
<0755> 通り魔

//<0756> 記憶ナシ男
<0756> 記憶ナシ男

//<0757> 音速
<0757> 音速

//<0758> 無限
<0758> 無限

//<0759> エロ侍
<0759> エロ侍

//<0760> エロエロ団ナンバー１
<0760> エロエロ団ナンバー１

//<0761> ただのエロ少年
<0761> ただのエロ少年

//<0762> ユリブサイク
<0762> ユリブサイク

//<0763> ドピュッシー
<0763> ドピュッシー

//<0764> アメリカンエロドッグ
<0764> アメリカンエロドッグ

//<0765> ゼウス
<0765> ゼウス

//<0766> 日向markⅡ
<0766> 日向markⅡ

//<0767> 糞虫
<0767> 糞虫

//<0768> 量産型日向
<0768> 量産型日向

//<0769> ？？
<0769> ？？

//<0770> 「はは、立っちまったらもうエロドッグも廃業だな」
<0770> 「はは、立っちまったらもうエロドッグも廃業だな」

//<0771> nothing
<0771> nothing

//<0772> nothing
<0772> nothing

//<0773> nothing
<0773> nothing

//<0774> nothing
<0774> nothing

//<0775> nothing
<0775> nothing

//<0776> 日向
<0776> 日向

//<0777> 男Ｂ
<0777> 男Ｂ

//<0778> エロエロ団総帥
<0778> エロエロ団総帥

//<0779> イケチン
<0779> イケチン

//<0780> ホモ太
<0780> ホモ太

//<0781> ひなチン
<0781> ひなチン

//<0782> 秀樹
<0782> 秀樹

//<0783> 男子生徒
<0783> 男子生徒

//<0784> ？？
<0784> ？？

//<0785> 「えーと…それなんだが、こんなことの後だ。きちんと音無と呼ばせてくれないか…？」
<0785> 「えーと…それなんだが、こんなことの後だ。きちんと音無と呼ばせてくれないか…？」

//<0786> 音無
<0786> 音無

//<0787> クソ坊主
<0787> クソ坊主

//<0788> 代理人
<0788> 代理人

//<0789> 微妙すぎるイケメン
<0789> 微妙すぎるイケメン

//<0790> ロリコン
<0790> ロリコン

//<0791> メガネ仲間
<0791> メガネ仲間

//<0792> 暗算日本記録保持者
<0792> 暗算日本記録保持者

//<0793> 通り魔
<0793> 通り魔

//<0794> 記憶ナシ男
<0794> 記憶ナシ男

//<0795> 音速
<0795> 音速

//<0796> 無限
<0796> 無限

//<0797> エロ侍
<0797> エロ侍

//<0798> エロエロ団ナンバー１
<0798> エロエロ団ナンバー１

//<0799> ただのエロ少年
<0799> ただのエロ少年

//<0800> ユリブサイク
<0800> ユリブサイク

//<0801> ドピュッシー
<0801> ドピュッシー

//<0802> アメリカンエロドッグ
<0802> アメリカンエロドッグ

//<0803> ゼウス
<0803> ゼウス

//<0804> 日向markⅡ
<0804> 日向markⅡ

//<0805> 糞虫
<0805> 糞虫

//<0806> 量産型日向
<0806> 量産型日向

//<0807> ？？
<0807> ？？

//<0808> 「そうだな、俺なんて音無で十分だよな…」
<0808> 「そうだな、俺なんて音無で十分だよな…」

//<0809> nothing
<0809> nothing

//<0810> nothing
<0810> nothing

//<0811> nothing
<0811> nothing

//<0812> nothing
<0812> nothing

//<0813> nothing
<0813> nothing

//<0814> 日向
<0814> 日向

//<0815> 男Ｂ
<0815> 男Ｂ

//<0816> エロエロ団総帥
<0816> エロエロ団総帥

//<0817> イケチン
<0817> イケチン

//<0818> ホモ太
<0818> ホモ太

//<0819> ひなチン
<0819> ひなチン

//<0820> 秀樹
<0820> 秀樹

//<0821> 男子生徒
<0821> 男子生徒

//<0822> ？？
<0822> ？？

//<0823> 「え…なんだその、落ち込んだ顔は…」
<0823> 「え…なんだその、落ち込んだ顔は…」

//<0824> 音無
<0824> 音無

//<0825> クソ坊主
<0825> クソ坊主

//<0826> 代理人
<0826> 代理人

//<0827> 微妙すぎるイケメン
<0827> 微妙すぎるイケメン

//<0828> ロリコン
<0828> ロリコン

//<0829> メガネ仲間
<0829> メガネ仲間

//<0830> 暗算日本記録保持者
<0830> 暗算日本記録保持者

//<0831> 通り魔
<0831> 通り魔

//<0832> 記憶ナシ男
<0832> 記憶ナシ男

//<0833> 音速
<0833> 音速

//<0834> 無限
<0834> 無限

//<0835> エロ侍
<0835> エロ侍

//<0836> エロエロ団ナンバー１
<0836> エロエロ団ナンバー１

//<0837> ただのエロ少年
<0837> ただのエロ少年

//<0838> ユリブサイク
<0838> ユリブサイク

//<0839> ドピュッシー
<0839> ドピュッシー

//<0840> アメリカンエロドッグ
<0840> アメリカンエロドッグ

//<0841> ゼウス
<0841> ゼウス

//<0842> 日向markⅡ
<0842> 日向markⅡ

//<0843> 糞虫
<0843> 糞虫

//<0844> 量産型日向
<0844> 量産型日向

//<0845> ？？
<0845> ？？

//<0846> 「いや、気にしないでくれ」
<0846> 「いや、気にしないでくれ」

//<0847> nothing
<0847> nothing

//<0848> nothing
<0848> nothing

//<0849> nothing
<0849> nothing

//<0850> nothing
<0850> nothing

//<0851> nothing
<0851> nothing

//<0852> nothing
<0852> nothing

//<0853> 手のひらも擦り傷だらけで痛い…。明日には治っているだろうが、これからもこの姿勢で移動するのも限界が近いが…。
<0853> 手のひらも擦り傷だらけで痛い…。明日には治っているだろうが、これからもこの姿勢で移動するのも限界が近いが…。

//<0854> 音無
<0854> 音無

//<0855> クソ坊主
<0855> クソ坊主

//<0856> 代理人
<0856> 代理人

//<0857> 微妙すぎるイケメン
<0857> 微妙すぎるイケメン

//<0858> ロリコン
<0858> ロリコン

//<0859> メガネ仲間
<0859> メガネ仲間

//<0860> 暗算日本記録保持者
<0860> 暗算日本記録保持者

//<0861> 通り魔
<0861> 通り魔

//<0862> 記憶ナシ男
<0862> 記憶ナシ男

//<0863> 音速
<0863> 音速

//<0864> 無限
<0864> 無限

//<0865> エロ侍
<0865> エロ侍

//<0866> エロエロ団ナンバー１
<0866> エロエロ団ナンバー１

//<0867> ただのエロ少年
<0867> ただのエロ少年

//<0868> ユリブサイク
<0868> ユリブサイク

//<0869> ドピュッシー
<0869> ドピュッシー

//<0870> アメリカンエロドッグ
<0870> アメリカンエロドッグ

//<0871> ゼウス
