// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> ようやく、オペレーションも終わり、これで何の気兼ねなく岩沢とまた会えるはずだ。
<0000> ようやく、オペレーションも終わり、これで何の気兼ねなく岩沢とまた会えるはずだ。
//<0517> ？？
<0517> ？？

//<0518> 「少しだけ知ってる」
<0518> 「少しだけ知ってる」

//<0519> nothing
<0519> nothing

//<0520> nothing
<0520> nothing

//<0521> nothing
<0521> nothing

//<0522> nothing
<0522> nothing

//<0523> nothing
<0523> nothing

//<0524> 岩沢
<0524> 岩沢

//<0525> 「ほう、どの部分だい？」
<0525> 「ほう、どの部分だい？」

//<0526> 正面にはブロックの壁
<0526> 正面にはブロックの壁

//<0527> 指先は蟹の匂い
<0527> 指先は蟹の匂い

//<0528> どのみち混むでしょ
<0528> どのみち混むでしょ

//<0529> selbtn : 
<0529> selbtn : 

//<0530> 音無
<0530> 音無

//<0531> クソ坊主
<0531> クソ坊主

//<0532> 代理人
<0532> 代理人

//<0533> 微妙すぎるイケメン
<0533> 微妙すぎるイケメン

//<0534> ロリコン
<0534> ロリコン

//<0535> メガネ仲間
<0535> メガネ仲間

//<0536> 暗算日本記録保持者
<0536> 暗算日本記録保持者

//<0537> 通り魔
<0537> 通り魔

//<0538> 記憶ナシ男
<0538> 記憶ナシ男

//<0539> 音速
<0539> 音速

//<0540> 無限
<0540> 無限

//<0541> エロ侍
<0541> エロ侍

//<0542> エロエロ団ナンバー１
<0542> エロエロ団ナンバー１

//<0543> ただのエロ少年
<0543> ただのエロ少年

//<0544> ユリブサイク
<0544> ユリブサイク

//<0545> ドピュッシー
<0545> ドピュッシー

//<0546> アメリカンエロドッグ
<0546> アメリカンエロドッグ

//<0547> ゼウス
<0547> ゼウス

//<0548> 日向markⅡ
<0548> 日向markⅡ

//<0549> 糞虫
<0549> 糞虫

//<0550> 量産型日向
<0550> 量産型日向

//<0551> ？？
<0551> ？？

//<0552> 「正面にはブロックの壁」
<0552> 「正面にはブロックの壁」

//<0553> nothing
<0553> nothing

//<0554> nothing
<0554> nothing

//<0555> nothing
<0555> nothing

//<0556> nothing
<0556> nothing

//<0557> nothing
<0557> nothing

//<0558> 岩沢
<0558> 岩沢

//<0559> 「なんだ、それ？」
<0559> 「なんだ、それ？」

//<0560> 音無
<0560> 音無

//<0561> クソ坊主
<0561> クソ坊主

//<0562> 代理人
<0562> 代理人

//<0563> 微妙すぎるイケメン
<0563> 微妙すぎるイケメン

//<0564> ロリコン
<0564> ロリコン

//<0565> メガネ仲間
<0565> メガネ仲間

//<0566> 暗算日本記録保持者
<0566> 暗算日本記録保持者

//<0567> 通り魔
<0567> 通り魔

//<0568> 記憶ナシ男
<0568> 記憶ナシ男

//<0569> 音速
<0569> 音速

//<0570> 無限
<0570> 無限

//<0571> エロ侍
<0571> エロ侍

//<0572> エロエロ団ナンバー１
<0572> エロエロ団ナンバー１

//<0573> ただのエロ少年
<0573> ただのエロ少年

//<0574> ユリブサイク
<0574> ユリブサイク

//<0575> ドピュッシー
<0575> ドピュッシー

//<0576> アメリカンエロドッグ
<0576> アメリカンエロドッグ

//<0577> ゼウス
<0577> ゼウス

//<0578> 日向markⅡ
<0578> 日向markⅡ

//<0579> 糞虫
<0579> 糞虫

//<0580> 量産型日向
<0580> 量産型日向

//<0581> ？？
<0581> ？？

//<0582> 「バレーだよ。普通にトスされたボールをアタックで打つ時、ブロックが二枚はついてくる」
<0582> 「バレーだよ。普通にトスされたボールをアタックで打つ時、ブロックが二枚はついてくる」

//<0583> nothing
<0583> nothing

//<0584> nothing
<0584> nothing

//<0585> nothing
<0585> nothing

//<0586> nothing
<0586> nothing

//<0587> nothing
<0587> nothing

//<0588> 岩沢
<0588> 岩沢

//<0589> 「あんたは何を言ってるんだ？」
<0589> 「あんたは何を言ってるんだ？」

//<0590> 音無
<0590> 音無

//<0591> クソ坊主
<0591> クソ坊主

//<0592> 代理人
<0592> 代理人

//<0593> 微妙すぎるイケメン
<0593> 微妙すぎるイケメン

//<0594> ロリコン
<0594> ロリコン

//<0595> メガネ仲間
<0595> メガネ仲間

//<0596> 暗算日本記録保持者
<0596> 暗算日本記録保持者

//<0597> 通り魔
<0597> 通り魔

//<0598> 記憶ナシ男
<0598> 記憶ナシ男

//<0599> 音速
<0599> 音速

//<0600> 無限
<0600> 無限

//<0601> エロ侍
<0601> エロ侍

//<0602> エロエロ団ナンバー１
<0602> エロエロ団ナンバー１

//<0603> ただのエロ少年
<0603> ただのエロ少年

//<0604> ユリブサイク
<0604> ユリブサイク

//<0605> ドピュッシー
<0605> ドピュッシー

//<0606> アメリカンエロドッグ
<0606> アメリカンエロドッグ

//<0607> ゼウス
<0607> ゼウス

//<0608> 日向markⅡ
<0608> 日向markⅡ

//<0609> 糞虫
<0609> 糞虫

//<0610> 量産型日向
<0610> 量産型日向

//<0611> ？？
<0611> ？？

//<0612> 「正面にはブロックの壁」
<0612> 「正面にはブロックの壁」

//<0613> nothing
<0613> nothing

//<0614> nothing
<0614> nothing

//<0615> nothing
<0615> nothing

//<0616> nothing
<0616> nothing

//<0617> nothing
<0617> nothing

//<0618> 岩沢
<0618> 岩沢
{e8a7} 33 // 0618

//<0619> 「ああ、出だしのところか…。全然違うよ。背後にはシャッターの壁、だ」
<0619> 「ああ、出だしのところか…。全然違うよ。背後にはシャッターの壁、だ」

//<0620> nothing
<0620> nothing

//<0621> nothing
<0621> nothing

//<0622> nothing
<0622> nothing

//<0623> nothing
<0623> nothing

//<0624> nothing
<0624> nothing

//<0625> 音無
<0625> 音無

//<0626> クソ坊主
<0626> クソ坊主

//<0627> 代理人
<0627> 代理人

//<0628> 微妙すぎるイケメン
<0628> 微妙すぎるイケメン

//<0629> ロリコン
<0629> ロリコン

//<0630> メガネ仲間
<0630> メガネ仲間

//<0631> 暗算日本記録保持者
<0631> 暗算日本記録保持者

//<0632> 通り魔
<0632> 通り魔

//<0633> 記憶ナシ男
<0633> 記憶ナシ男

//<0634> 音速
<0634> 音速

//<0635> 無限
<0635> 無限

//<0636> エロ侍
<0636> エロ侍

//<0637> エロエロ団ナンバー１
<0637> エロエロ団ナンバー１

//<0638> ただのエロ少年
<0638> ただのエロ少年

//<0639> ユリブサイク
<0639> ユリブサイク

//<0640> ドピュッシー
<0640> ドピュッシー

//<0641> アメリカンエロドッグ
<0641> アメリカンエロドッグ

//<0642> ゼウス
<0642> ゼウス

//<0643> 日向markⅡ
<0643> 日向markⅡ

//<0644> 糞虫
<0644> 糞虫

//<0645> 量産型日向
<0645> 量産型日向

//<0646> ？？
<0646> ？？

//<0647> （正面にブロックと思い込んでいた！！）
<0647> （正面にブロックと思い込んでいた！！）

//<0648> nothing
<0648> nothing

//<0649> nothing
<0649> nothing

//<0650> nothing
<0650> nothing

//<0651> nothing
<0651> nothing

//<0652> nothing
<0652> nothing

//<0653> 岩沢
<0653> 岩沢

//<0654> 「そんな風に聞こえていたのか…発声が悪いのかもな」
<0654> 「そんな風に聞こえていたのか…発声が悪いのかもな」

//<0655> 音無
<0655> 音無

//<0656> クソ坊主
<0656> クソ坊主

//<0657> 代理人
<0657> 代理人

//<0658> 微妙すぎるイケメン
<0658> 微妙すぎるイケメン

//<0659> ロリコン
<0659> ロリコン

//<0660> メガネ仲間
<0660> メガネ仲間

//<0661> 暗算日本記録保持者
<0661> 暗算日本記録保持者

//<0662> 通り魔
<0662> 通り魔

//<0663> 記憶ナシ男
<0663> 記憶ナシ男

//<0664> 音速
<0664> 音速

//<0665> 無限
<0665> 無限

//<0666> エロ侍
<0666> エロ侍

//<0667> エロエロ団ナンバー１
<0667> エロエロ団ナンバー１

//<0668> ただのエロ少年
<0668> ただのエロ少年

//<0669> ユリブサイク
<0669> ユリブサイク

//<0670> ドピュッシー
<0670> ドピュッシー

//<0671> アメリカンエロドッグ
<0671> アメリカンエロドッグ

//<0672> ゼウス
<0672> ゼウス

//<0673> 日向markⅡ
<0673> 日向markⅡ

//<0674> 糞虫
<0674> 糞虫

//<0675> 量産型日向
<0675> 量産型日向

//<0676> ？？
<0676> ？？

//<0677> 「指先は蟹の匂い」
<0677> 「指先は蟹の匂い」

//<0678> nothing
<0678> nothing

//<0679> nothing
<0679> nothing

//<0680> nothing
<0680> nothing

//<0681> nothing
<0681> nothing

//<0682> nothing
<0682> nothing

//<0683> 岩沢
<0683> 岩沢

//<0684> 「なんだ、それ？」
<0684> 「なんだ、それ？」

//<0685> 音無
<0685> 音無

//<0686> クソ坊主
<0686> クソ坊主

//<0687> 代理人
<0687> 代理人

//<0688> 微妙すぎるイケメン
<0688> 微妙すぎるイケメン

//<0689> ロリコン
<0689> ロリコン

//<0690> メガネ仲間
<0690> メガネ仲間

//<0691> 暗算日本記録保持者
<0691> 暗算日本記録保持者

//<0692> 通り魔
<0692> 通り魔

//<0693> 記憶ナシ男
<0693> 記憶ナシ男

//<0694> 音速
<0694> 音速

//<0695> 無限
<0695> 無限

//<0696> エロ侍
<0696> エロ侍

//<0697> エロエロ団ナンバー１
<0697> エロエロ団ナンバー１

//<0698> ただのエロ少年
<0698> ただのエロ少年

//<0699> ユリブサイク
<0699> ユリブサイク

//<0700> ドピュッシー
<0700> ドピュッシー

//<0701> アメリカンエロドッグ
<0701> アメリカンエロドッグ

//<0702> ゼウス
<0702> ゼウス

//<0703> 日向markⅡ
<0703> 日向markⅡ

//<0704> 糞虫
<0704> 糞虫

//<0705> 量産型日向
<0705> 量産型日向

//<0706> ？？
<0706> ？？

//<0707> 「あれ、素手でむくから、食べた後も指に蟹の匂いがなかなか消えない」
<0707> 「あれ、素手でむくから、食べた後も指に蟹の匂いがなかなか消えない」

//<0708> nothing
<0708> nothing

//<0709> nothing
<0709> nothing

//<0710> nothing
<0710> nothing

//<0711> nothing
<0711> nothing

//<0712> nothing
<0712> nothing

//<0713> 岩沢
<0713> 岩沢

//<0714> 「あんたは何を言ってるんだ？」
<0714> 「あんたは何を言ってるんだ？」

//<0715> 音無
<0715> 音無

//<0716> クソ坊主
<0716> クソ坊主

//<0717> 代理人
<0717> 代理人

//<0718> 微妙すぎるイケメン
<0718> 微妙すぎるイケメン

//<0719> ロリコン
<0719> ロリコン

//<0720> メガネ仲間
<0720> メガネ仲間

//<0721> 暗算日本記録保持者
<0721> 暗算日本記録保持者

//<0722> 通り魔
<0722> 通り魔

//<0723> 記憶ナシ男
<0723> 記憶ナシ男

//<0724> 音速
<0724> 音速

//<0725> 無限
<0725> 無限

//<0726> エロ侍
<0726> エロ侍

//<0727> エロエロ団ナンバー１
<0727> エロエロ団ナンバー１

//<0728> ただのエロ少年
<0728> ただのエロ少年

//<0729> ユリブサイク
<0729> ユリブサイク

//<0730> ドピュッシー
<0730> ドピュッシー

//<0731> アメリカンエロドッグ
<0731> アメリカンエロドッグ

//<0732> ゼウス
<0732> ゼウス

//<0733> 日向markⅡ
<0733> 日向markⅡ

//<0734> 糞虫
<0734> 糞虫

//<0735> 量産型日向
<0735> 量産型日向

//<0736> ？？
<0736> ？？

//<0737> 「指先は蟹の匂い」
<0737> 「指先は蟹の匂い」

//<0738> nothing
<0738> nothing

//<0739> nothing
<0739> nothing

//<0740> nothing
<0740> nothing

//<0741> nothing
<0741> nothing

//<0742> nothing
<0742> nothing

//<0743> 岩沢
<0743> 岩沢
{10cf8} 33 // 0743

//<0744> 「ああ、出だしのところか…。蟹じゃなくて、鉄の匂い。弦は鉄だから」
<0744> 「ああ、出だしのところか…。蟹じゃなくて、鉄の匂い。弦は鉄だから」

//<0745> nothing
<0745> nothing

//<0746> nothing
<0746> nothing

//<0747> nothing
<0747> nothing

//<0748> nothing
<0748> nothing

//<0749> nothing
<0749> nothing

//<0750> 音無
<0750> 音無

//<0751> クソ坊主
<0751> クソ坊主

//<0752> 代理人
<0752> 代理人

//<0753> 微妙すぎるイケメン
<0753> 微妙すぎるイケメン

//<0754> ロリコン
<0754> ロリコン

//<0755> メガネ仲間
<0755> メガネ仲間

//<0756> 暗算日本記録保持者
<0756> 暗算日本記録保持者

//<0757> 通り魔
<0757> 通り魔

//<0758> 記憶ナシ男
<0758> 記憶ナシ男

//<0759> 音速
<0759> 音速

//<0760> 無限
<0760> 無限

//<0761> エロ侍
<0761> エロ侍

//<0762> エロエロ団ナンバー１
<0762> エロエロ団ナンバー１

//<0763> ただのエロ少年
<0763> ただのエロ少年

//<0764> ユリブサイク
<0764> ユリブサイク

//<0765> ドピュッシー
<0765> ドピュッシー

//<0766> アメリカンエロドッグ
<0766> アメリカンエロドッグ

//<0767> ゼウス
<0767> ゼウス

//<0768> 日向markⅡ
<0768> 日向markⅡ

//<0769> 糞虫
<0769> 糞虫

//<0770> 量産型日向
<0770> 量産型日向

//<0771> ？？
<0771> ？？

//<0772> （蟹と思い込んでいた！！）
<0772> （蟹と思い込んでいた！！）

//<0773> nothing
<0773> nothing

//<0774> nothing
<0774> nothing

//<0775> nothing
<0775> nothing

//<0776> nothing
<0776> nothing

//<0777> nothing
<0777> nothing

//<0778> 岩沢
<0778> 岩沢

//<0779> 「あそこ、蟹に聞こえていたのか…発声が悪いのかもな」
<0779> 「あそこ、蟹に聞こえていたのか…発声が悪いのかもな」

//<0780> 音無
<0780> 音無

//<0781> クソ坊主
<0781> クソ坊主

//<0782> 代理人
<0782> 代理人

//<0783> 微妙すぎるイケメン
<0783> 微妙すぎるイケメン

//<0784> ロリコン
<0784> ロリコン

//<0785> メガネ仲間
<0785> メガネ仲間

//<0786> 暗算日本記録保持者
<0786> 暗算日本記録保持者

//<0787> 通り魔
<0787> 通り魔

//<0788> 記憶ナシ男
<0788> 記憶ナシ男

//<0789> 音速
<0789> 音速

//<0790> 無限
<0790> 無限

//<0791> エロ侍
<0791> エロ侍

//<0792> エロエロ団ナンバー１
<0792> エロエロ団ナンバー１

//<0793> ただのエロ少年
<0793> ただのエロ少年

//<0794> ユリブサイク
<0794> ユリブサイク

//<0795> ドピュッシー
<0795> ドピュッシー

//<0796> アメリカンエロドッグ
<0796> アメリカンエロドッグ

//<0797> ゼウス
<0797> ゼウス

//<0798> 日向markⅡ
<0798> 日向markⅡ

//<0799> 糞虫
<0799> 糞虫

//<0800> 量産型日向
<0800> 量産型日向

//<0801> ？？
<0801> ？？

//<0802> 「いや、うろ覚えだったんだ。悪い」
<0802> 「いや、うろ覚えだったんだ。悪い」

//<0803> nothing
<0803> nothing

//<0804> nothing
<0804> nothing

//<0805> nothing
<0805> nothing

//<0806> nothing
<0806> nothing

//<0807> nothing
<0807> nothing

//<0808> 岩沢
<0808> 岩沢

//<0809> 「まあ、今はそんなところはどうでもいい」
<0809> 「まあ、今はそんなところはどうでもいい」

//<0810> 音無
<0810> 音無

//<0811> クソ坊主
<0811> クソ坊主

//<0812> 代理人
<0812> 代理人

//<0813> 微妙すぎるイケメン
<0813> 微妙すぎるイケメン

//<0814> ロリコン
<0814> ロリコン

//<0815> メガネ仲間
<0815> メガネ仲間

//<0816> 暗算日本記録保持者
<0816> 暗算日本記録保持者

//<0817> 通り魔
<0817> 通り魔

//<0818> 記憶ナシ男
<0818> 記憶ナシ男

//<0819> 音速
<0819> 音速

//<0820> 無限
<0820> 無限

//<0821> エロ侍
<0821> エロ侍

//<0822> エロエロ団ナンバー１
<0822> エロエロ団ナンバー１

//<0823> ただのエロ少年
<0823> ただのエロ少年

//<0824> ユリブサイク
<0824> ユリブサイク

//<0825> ドピュッシー
<0825> ドピュッシー

//<0826> アメリカンエロドッグ
<0826> アメリカンエロドッグ

//<0827> ゼウス
<0827> ゼウス

//<0828> 日向markⅡ
<0828> 日向markⅡ

//<0829> 糞虫
<0829> 糞虫

//<0830> 量産型日向
<0830> 量産型日向

//<0831> ？？
<0831> ？？

//<0832> 「どのみち混むでしょ」
<0832> 「どのみち混むでしょ」

//<0833> nothing
<0833> nothing

//<0834> nothing
<0834> nothing

//<0835> nothing
<0835> nothing

//<0836> nothing
<0836> nothing

//<0837> nothing
<0837> nothing

//<0838> 岩沢
<0838> 岩沢
{1288d} 33 // 0838

//<0839> 「すげーな。そこ挙げる奴なんて多分いねーぜ？」
<0839> 「すげーな。そこ挙げる奴なんて多分いねーぜ？」

//<0840> nothing
<0840> nothing

//<0841> nothing
<0841> nothing

//<0842> nothing
<0842> nothing

//<0843> nothing
<0843> nothing

//<0844> nothing
<0844> nothing

//<0845> 音無
<0845> 音無

//<0846> クソ坊主
<0846> クソ坊主

//<0847> 代理人
<0847> 代理人

//<0848> 微妙すぎるイケメン
<0848> 微妙すぎるイケメン

//<0849> ロリコン
<0849> ロリコン

//<0850> メガネ仲間
<0850> メガネ仲間

//<0851> 暗算日本記録保持者
<0851> 暗算日本記録保持者

//<0852> 通り魔
<0852> 通り魔

//<0853> 記憶ナシ男
<0853> 記憶ナシ男

//<0854> 音速
<0854> 音速

//<0855> 無限
<0855> 無限

//<0856> エロ侍
<0856> エロ侍

//<0857> エロエロ団ナンバー１
<0857> エロエロ団ナンバー１

//<0858> ただのエロ少年
<0858> ただのエロ少年

//<0859> ユリブサイク
<0859> ユリブサイク

//<0860> ドピュッシー
