// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> 打ち込みをしていた松下五段が俺の気配に気づき、振り返る。
<0000> 打ち込みをしていた松下五段が俺の気配に気づき、振り返る。
//<2126> mt0306
<2126> mt0306

//<2127> mt0301
<2127> mt0301

//<2128> sys_bk_selline00
<2128> sys_bk_selline00

//<2129> mt0101
<2129> mt0101

//<2130> mt0108
<2130> mt0108

//<2131> mt0108
<2131> mt0108

//<2132> mt0108
<2132> mt0108

//<2133> mt0101
<2133> mt0101

//<2134> mt0102
<2134> mt0102

//<2135> mt0101
<2135> mt0101

//<2136> mt0101
<2136> mt0101

//<2137> mt0106
<2137> mt0106

//<2138> mt0206_01
<2138> mt0206_01

//<2139> mt0208
<2139> mt0208

//<2140> mt0208
<2140> mt0208

//<2141> mt0201
<2141> mt0201

//<2142> m104
<2142> m104

//<2143> mt0301
<2143> mt0301

//<2144> mt0305
<2144> mt0305

//<2145> mt0301
<2145> mt0301

//<2146> mt0306
<2146> mt0306

//<2147> mt0302
<2147> mt0302

//<2148> mt0308
<2148> mt0308

//<2149> mt0301
<2149> mt0301

//<2150> mt0307
<2150> mt0307

//<2151> sys_bk_selline00
<2151> sys_bk_selline00

//<2152> mt0308
<2152> mt0308

//<2153> mt0301
<2153> mt0301

//<2154> mt0308
<2154> mt0308

//<2155> mt0301
<2155> mt0301

//<2156> mt0306
<2156> mt0306

//<2157> mt0301
<2157> mt0301

//<2158> mt0304
<2158> mt0304

//<2159> m114
<2159> m114

//<2160> mt0302
<2160> mt0302

//<2161> mt0303
<2161> mt0303

//<2162> mt0308
<2162> mt0308

//<2163> ep04_bg046
<2163> ep04_bg046

//<2164> evmt_0101
<2164> evmt_0101

//<2165> m118
<2165> m118
{2a7f8} 0a // 2165

//<2166> ep04_bg008
<2166> ep04_bg008

//<2167> mt0108
<2167> mt0108

//<2168> mt0102
<2168> mt0102

//<2169> mt0106
<2169> mt0106

//<2170> mt0101
<2170> mt0101

//<2171> m106
<2171> m106

//<2172> mt0102
<2172> mt0102

//<2173> mt0202
<2173> mt0202

//<2174> mt0203
<2174> mt0203

//<2175> mt0202
<2175> mt0202

//<2176> mt0208
<2176> mt0208

//<2177> mt0202
<2177> mt0202

//<2178> mt0101
<2178> mt0101

//<2179> mt0106
<2179> mt0106

//<2180> mt0101
<2180> mt0101

//<2181> mt0406
<2181> mt0406

//<2182> mt0406_01
<2182> mt0406_01

//<2183> sys_bk_selline00
<2183> sys_bk_selline00

//<2184> mt0408
<2184> mt0408

//<2185> mt0401
<2185> mt0401

//<2186> mt0301
<2186> mt0301

//<2187> mt0308
<2187> mt0308

//<2188> mt0104
<2188> mt0104

//<2189> mt0202
<2189> mt0202

//<2190> mt0303
<2190> mt0303

//<2191> bs3_mt0103
<2191> bs3_mt0103

//<2192> bg_kuro
<2192> bg_kuro

