// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> ジャージに着替えて野球場に向かう。
<0000> ジャージに着替えて野球場に向かう。
//<2229> ひなチン
<2229> ひなチン

//<2230> 秀樹
<2230> 秀樹

//<2231> 男子生徒
<2231> 男子生徒

//<2232> ？？
<2232> ？？
{3c503} 33 // 2232

//<2233> 「えぇ？　俺との身体能力の差、わかってるだろ？　まだまだ新米には負けねーぜ？」
<2233> 「えぇ？　俺との身体能力の差、わかってるだろ？　まだまだ新米には負けねーぜ？」

//<2234> nothing
<2234> nothing

//<2235> nothing
<2235> nothing

//<2236> nothing
<2236> nothing

//<2237> nothing
<2237> nothing

//<2238> nothing
<2238> nothing

//<2239> 音無
<2239> 音無

//<2240> クソ坊主
<2240> クソ坊主

//<2241> 代理人
<2241> 代理人

//<2242> 微妙すぎるイケメン
<2242> 微妙すぎるイケメン

//<2243> ロリコン
<2243> ロリコン

//<2244> メガネ仲間
<2244> メガネ仲間

//<2245> 暗算日本記録保持者
<2245> 暗算日本記録保持者

//<2246> 通り魔
<2246> 通り魔

//<2247> 記憶ナシ男
<2247> 記憶ナシ男

//<2248> 音速
<2248> 音速

//<2249> 無限
<2249> 無限

//<2250> エロ侍
<2250> エロ侍

//<2251> エロエロ団ナンバー１
<2251> エロエロ団ナンバー１

//<2252> ただのエロ少年
<2252> ただのエロ少年

//<2253> ユリブサイク
<2253> ユリブサイク

//<2254> ドピュッシー
<2254> ドピュッシー

//<2255> アメリカンエロドッグ
<2255> アメリカンエロドッグ

//<2256> ゼウス
<2256> ゼウス

//<2257> 日向markⅡ
<2257> 日向markⅡ

//<2258> 糞虫
<2258> 糞虫

//<2259> 量産型日向
<2259> 量産型日向

//<2260> ？？
<2260> ？？

//<2261> 「そうかもしれないけどさ…」
<2261> 「そうかもしれないけどさ…」

//<2262> nothing
<2262> nothing

//<2263> nothing
<2263> nothing

//<2264> nothing
<2264> nothing

//<2265> nothing
<2265> nothing

//<2266> nothing
<2266> nothing

//<2267> 日向
<2267> 日向

//<2268> 男Ｂ
<2268> 男Ｂ

//<2269> エロエロ団総帥
<2269> エロエロ団総帥

//<2270> イケチン
<2270> イケチン

//<2271> ホモ太
<2271> ホモ太

//<2272> ひなチン
<2272> ひなチン

//<2273> 秀樹
<2273> 秀樹

//<2274> 男子生徒
<2274> 男子生徒

//<2275> ？？
<2275> ？？

//<2276> 「じゃ、いっただきまーす！」
<2276> 「じゃ、いっただきまーす！」

//<2277> そう言って、俺の前に盆を置き、豚角煮定食を食べ始める。
<2277> そう言って、俺の前に盆を置き、豚角煮定食を食べ始める。

//<2278> 歯で切れずとも、とろりと割ける豚角煮を見て、俺はキレた。
<2278> 歯で切れずとも、とろりと割ける豚角煮を見て、俺はキレた。

//<2279> bs3_
<2279> bs3_

//<2280> nothing
<2280> nothing

//<2281> nothing
<2281> nothing

//<2282> nothing
<2282> nothing

//<2283> nothing
<2283> nothing

//<2284> nothing
<2284> nothing

//<2285> 音無
<2285> 音無

//<2286> クソ坊主
<2286> クソ坊主

//<2287> 代理人
<2287> 代理人

//<2288> 微妙すぎるイケメン
<2288> 微妙すぎるイケメン

//<2289> ロリコン
<2289> ロリコン

//<2290> メガネ仲間
<2290> メガネ仲間

//<2291> 暗算日本記録保持者
<2291> 暗算日本記録保持者

//<2292> 通り魔
<2292> 通り魔

//<2293> 記憶ナシ男
<2293> 記憶ナシ男

//<2294> 音速
<2294> 音速

//<2295> 無限
<2295> 無限

//<2296> エロ侍
<2296> エロ侍

//<2297> エロエロ団ナンバー１
<2297> エロエロ団ナンバー１

//<2298> ただのエロ少年
<2298> ただのエロ少年

//<2299> ユリブサイク
<2299> ユリブサイク

//<2300> ドピュッシー
<2300> ドピュッシー

//<2301> アメリカンエロドッグ
<2301> アメリカンエロドッグ

//<2302> ゼウス
<2302> ゼウス

//<2303> 日向markⅡ
<2303> 日向markⅡ

//<2304> 糞虫
<2304> 糞虫

//<2305> 量産型日向
<2305> 量産型日向

//<2306> ？？
<2306> ？？

//<2307> 「くそおおおーっっ！　そいつをよこせぇぇーーっ！！」
<2307> 「くそおおおーっっ！　そいつをよこせぇぇーーっ！！」

//<2308> nothing
<2308> nothing

//<2309> nothing
<2309> nothing

//<2310> nothing
<2310> nothing

//<2311> nothing
<2311> nothing

//<2312> nothing
<2312> nothing

//<2313> 日向に飛びかかる。
<2313> 日向に飛びかかる。

//<2314> 正面からまともに向かっても敵わないとわかっていながら、自分を抑えることができなかった。
<2314> 正面からまともに向かっても敵わないとわかっていながら、自分を抑えることができなかった。

//<2315> nothing
<2315> nothing

//<2316> nothing
<2316> nothing

//<2317> nothing
<2317> nothing

//<2318> nothing
<2318> nothing

//<2319> nothing
<2319> nothing

//<2320> 日向
<2320> 日向

//<2321> 男Ｂ
<2321> 男Ｂ

//<2322> エロエロ団総帥
<2322> エロエロ団総帥

//<2323> イケチン
<2323> イケチン

//<2324> ホモ太
<2324> ホモ太

//<2325> ひなチン
<2325> ひなチン

//<2326> 秀樹
<2326> 秀樹

//<2327> 男子生徒
<2327> 男子生徒

//<2328> ？？
<2328> ？？

//<2329> 「はああぁぁぁあーー！？」
<2329> 「はああぁぁぁあーー！？」

//<2330> 音無
<2330> 音無

//<2331> クソ坊主
<2331> クソ坊主

//<2332> 代理人
<2332> 代理人

//<2333> 微妙すぎるイケメン
<2333> 微妙すぎるイケメン

//<2334> ロリコン
<2334> ロリコン

//<2335> メガネ仲間
<2335> メガネ仲間

//<2336> 暗算日本記録保持者
<2336> 暗算日本記録保持者

//<2337> 通り魔
<2337> 通り魔

//<2338> 記憶ナシ男
<2338> 記憶ナシ男

//<2339> 音速
<2339> 音速

//<2340> 無限
<2340> 無限

//<2341> エロ侍
<2341> エロ侍

//<2342> エロエロ団ナンバー１
<2342> エロエロ団ナンバー１

//<2343> ただのエロ少年
<2343> ただのエロ少年

//<2344> ユリブサイク
<2344> ユリブサイク

//<2345> ドピュッシー
<2345> ドピュッシー

//<2346> アメリカンエロドッグ
<2346> アメリカンエロドッグ

//<2347> ゼウス
<2347> ゼウス

//<2348> 日向markⅡ
<2348> 日向markⅡ

//<2349> 糞虫
<2349> 糞虫

//<2350> 量産型日向
<2350> 量産型日向

//<2351> ？？
<2351> ？？

//<2352> 「俺の目の前で食うなって言っただろぉぉっ！！」
<2352> 「俺の目の前で食うなって言っただろぉぉっ！！」

//<2353> nothing
<2353> nothing

//<2354> nothing
<2354> nothing

//<2355> nothing
<2355> nothing

//<2356> nothing
<2356> nothing

//<2357> nothing
<2357> nothing

//<2358> 日向
<2358> 日向

//<2359> 男Ｂ
<2359> 男Ｂ

//<2360> エロエロ団総帥
<2360> エロエロ団総帥

//<2361> イケチン
<2361> イケチン

//<2362> ホモ太
<2362> ホモ太

//<2363> ひなチン
<2363> ひなチン

//<2364> 秀樹
<2364> 秀樹

//<2365> 男子生徒
<2365> 男子生徒

//<2366> ？？
<2366> ？？

//<2367> 「イッテェェーー！！」
<2367> 「イッテェェーー！！」

//<2368> 必死に食らいつくも、あっさり日向に引き剥がされる。
<2368> 必死に食らいつくも、あっさり日向に引き剥がされる。

//<2369> 
<2369> 

//<2370> nothing
<2370> nothing

//<2371> nothing
<2371> nothing

//<2372> nothing
<2372> nothing

//<2373> nothing
<2373> nothing

//<2374> nothing
<2374> nothing

//<2375> 日向
<2375> 日向

//<2376> 男Ｂ
<2376> 男Ｂ

//<2377> エロエロ団総帥
<2377> エロエロ団総帥

//<2378> イケチン
<2378> イケチン

//<2379> ホモ太
<2379> ホモ太

//<2380> ひなチン
<2380> ひなチン

//<2381> 秀樹
<2381> 秀樹

//<2382> 男子生徒
<2382> 男子生徒

//<2383> ？？
<2383> ？？

//<2384> 「ごちそうさまでした」
<2384> 「ごちそうさまでした」

//<2385> 音無
<2385> 音無

//<2386> クソ坊主
<2386> クソ坊主

//<2387> 代理人
<2387> 代理人

//<2388> 微妙すぎるイケメン
<2388> 微妙すぎるイケメン

//<2389> ロリコン
<2389> ロリコン

//<2390> メガネ仲間
<2390> メガネ仲間

//<2391> 暗算日本記録保持者
<2391> 暗算日本記録保持者

//<2392> 通り魔
<2392> 通り魔

//<2393> 記憶ナシ男
<2393> 記憶ナシ男

//<2394> 音速
<2394> 音速

//<2395> 無限
<2395> 無限

//<2396> エロ侍
<2396> エロ侍

//<2397> エロエロ団ナンバー１
<2397> エロエロ団ナンバー１

//<2398> ただのエロ少年
<2398> ただのエロ少年

//<2399> ユリブサイク
<2399> ユリブサイク

//<2400> ドピュッシー
<2400> ドピュッシー

//<2401> アメリカンエロドッグ
<2401> アメリカンエロドッグ

//<2402> ゼウス
<2402> ゼウス

//<2403> 日向markⅡ
<2403> 日向markⅡ

//<2404> 糞虫
<2404> 糞虫

//<2405> 量産型日向
<2405> 量産型日向

//<2406> ？？
<2406> ？？

//<2407> 「…ごちそうさまでした」
<2407> 「…ごちそうさまでした」

//<2408> 結局、日向に勝てるわけもなく。
<2408> 結局、日向に勝てるわけもなく。

//<2409> 豚角煮定食の匂いすらかき消すパクチー臭満点のトムヤムカレーで胃を満たした。
<2409> 豚角煮定食の匂いすらかき消すパクチー臭満点のトムヤムカレーで胃を満たした。

//<2410> nothing
<2410> nothing

//<2411> nothing
<2411> nothing

//<2412> nothing
<2412> nothing

//<2413> nothing
<2413> nothing

//<2414> nothing
<2414> nothing

//<2415> 日向
<2415> 日向

//<2416> 男Ｂ
<2416> 男Ｂ

//<2417> エロエロ団総帥
<2417> エロエロ団総帥

//<2418> イケチン
<2418> イケチン

//<2419> ホモ太
<2419> ホモ太

//<2420> ひなチン
<2420> ひなチン

//<2421> 秀樹
<2421> 秀樹

//<2422> 男子生徒
<2422> 男子生徒

//<2423> ？？
<2423> ？？

//<2424> 「じゃ、まずお前の夕飯は、えぇーーと…」
<2424> 「じゃ、まずお前の夕飯は、えぇーーと…」

//<2425> nothing
<2425> nothing

//<2426> nothing
<2426> nothing

//<2427> nothing
<2427> nothing

//<2428> nothing
<2428> nothing

//<2429> nothing
<2429> nothing

//<2430> 日向がポケットを探る。
<2430> 日向がポケットを探る。

//<2431> nothing
<2431> nothing

//<2432> nothing
<2432> nothing

//<2433> nothing
<2433> nothing

//<2434> nothing
<2434> nothing

//<2435> nothing
<2435> nothing

//<2436> 日向
<2436> 日向

//<2437> 男Ｂ
<2437> 男Ｂ

//<2438> エロエロ団総帥
<2438> エロエロ団総帥

//<2439> イケチン
<2439> イケチン

//<2440> ホモ太
<2440> ホモ太

//<2441> ひなチン
<2441> ひなチン

//<2442> 秀樹
<2442> 秀樹

//<2443> 男子生徒
<2443> 男子生徒

//<2444> ？？
<2444> ？？

//<2445> 「これだ！」
<2445> 「これだ！」

//<2446> nothing
<2446> nothing

//<2447> nothing
<2447> nothing

//<2448> nothing
<2448> nothing

//<2449> nothing
<2449> nothing

//<2450> nothing
<2450> nothing

//<2451> 日向
<2451> 日向

//<2452> 男Ｂ
<2452> 男Ｂ

//<2453> エロエロ団総帥
<2453> エロエロ団総帥

//<2454> イケチン
<2454> イケチン

//<2455> ホモ太
<2455> ホモ太

//<2456> ひなチン
<2456> ひなチン

//<2457> 秀樹
<2457> 秀樹

//<2458> 男子生徒
<2458> 男子生徒

//<2459> ？？
<2459> ？？
{42506} 33 // 2459

//<2460> 「えぇ！？　しくった…」
<2460> 「えぇ！？　しくった…」

//<2461> nothing
<2461> nothing

//<2462> nothing
<2462> nothing

//<2463> nothing
<2463> nothing

//<2464> nothing
<2464> nothing

//<2465> nothing
<2465> nothing

//<2466> 音無
<2466> 音無

//<2467> クソ坊主
<2467> クソ坊主

//<2468> 代理人
<2468> 代理人

//<2469> 微妙すぎるイケメン
<2469> 微妙すぎるイケメン

//<2470> ロリコン
<2470> ロリコン

//<2471> メガネ仲間
<2471> メガネ仲間

//<2472> 暗算日本記録保持者
<2472> 暗算日本記録保持者

//<2473> 通り魔
<2473> 通り魔

//<2474> 記憶ナシ男
<2474> 記憶ナシ男

//<2475> 音速
<2475> 音速

//<2476> 無限
<2476> 無限

//<2477> エロ侍
<2477> エロ侍

//<2478> エロエロ団ナンバー１
<2478> エロエロ団ナンバー１

//<2479> ただのエロ少年
<2479> ただのエロ少年

//<2480> ユリブサイク
<2480> ユリブサイク

//<2481> ドピュッシー
<2481> ドピュッシー

//<2482> アメリカンエロドッグ
<2482> アメリカンエロドッグ

//<2483> ゼウス
<2483> ゼウス

//<2484> 日向markⅡ
<2484> 日向markⅡ

//<2485> 糞虫
<2485> 糞虫

//<2486> 量産型日向
<2486> 量産型日向

//<2487> ？？
<2487> ？？

//<2488> 「え？　しくる？　ランダムだろ？」
<2488> 「え？　しくる？　ランダムだろ？」

//<2489> nothing
<2489> nothing

//<2490> nothing
<2490> nothing

//<2491> nothing
<2491> nothing

//<2492> nothing
<2492> nothing

//<2493> nothing
<2493> nothing

//<2494> 日向
<2494> 日向

//<2495> 男Ｂ
<2495> 男Ｂ

//<2496> エロエロ団総帥
<2496> エロエロ団総帥

//<2497> イケチン
<2497> イケチン

//<2498> ホモ太
<2498> ホモ太

//<2499> ひなチン
<2499> ひなチン

//<2500> 秀樹
<2500> 秀樹

//<2501> 男子生徒
<2501> 男子生徒

//<2502> ？？
<2502> ？？

//<2503> 「あー…その通り。問題ない。そういうことももちろんあるさ」
<2503> 「あー…その通り。問題ない。そういうことももちろんあるさ」

//<2504> 音無
<2504> 音無

//<2505> クソ坊主
<2505> クソ坊主

//<2506> 代理人
<2506> 代理人

//<2507> 微妙すぎるイケメン
<2507> 微妙すぎるイケメン

//<2508> ロリコン
<2508> ロリコン

//<2509> メガネ仲間
<2509> メガネ仲間

//<2510> 暗算日本記録保持者
<2510> 暗算日本記録保持者

//<2511> 通り魔
<2511> 通り魔

//<2512> 記憶ナシ男
<2512> 記憶ナシ男

//<2513> 音速
<2513> 音速

//<2514> 無限
<2514> 無限

//<2515> エロ侍
<2515> エロ侍

//<2516> エロエロ団ナンバー１
<2516> エロエロ団ナンバー１

//<2517> ただのエロ少年
<2517> ただのエロ少年

//<2518> ユリブサイク
<2518> ユリブサイク

//<2519> ドピュッシー
<2519> ドピュッシー

//<2520> アメリカンエロドッグ
<2520> アメリカンエロドッグ

//<2521> ゼウス
<2521> ゼウス

//<2522> 日向markⅡ
<2522> 日向markⅡ

//<2523> 糞虫
<2523> 糞虫

//<2524> 量産型日向
<2524> 量産型日向

//<2525> ？？
<2525> ？？

//<2526> 「で、なに」
<2526> 「で、なに」

//<2527> nothing
<2527> nothing

//<2528> nothing
<2528> nothing

//<2529> nothing
<2529> nothing

//<2530> nothing
<2530> nothing

//<2531> nothing
<2531> nothing

//<2532> 日向
<2532> 日向

//<2533> 男Ｂ
<2533> 男Ｂ

//<2534> エロエロ団総帥
<2534> エロエロ団総帥

//<2535> イケチン
<2535> イケチン

//<2536> ホモ太
<2536> ホモ太

//<2537> ひなチン
<2537> ひなチン

//<2538> 秀樹
<2538> 秀樹

//<2539> 男子生徒
<2539> 男子生徒

//<2540> ？？
<2540> ？？

//<2541> 「ほらよ」
<2541> 「ほらよ」

//<2542> nothing
<2542> nothing

//<2543> nothing
<2543> nothing

//<2544> nothing
<2544> nothing

//<2545> nothing
<2545> nothing

//<2546> nothing
<2546> nothing

//<2547> nothing
<2547> nothing

//<2548> 食券を渡される。
<2548> 食券を渡される。

//<2549> そこには『豚角煮定食』の文字。
<2549> そこには『豚角煮定食』の文字。

//<2550> 音無
<2550> 音無

//<2551> クソ坊主
<2551> クソ坊主

//<2552> 代理人
<2552> 代理人

//<2553> 微妙すぎるイケメン
<2553> 微妙すぎるイケメン

//<2554> ロリコン
<2554> ロリコン

//<2555> メガネ仲間
<2555> メガネ仲間

//<2556> 暗算日本記録保持者
<2556> 暗算日本記録保持者

//<2557> 通り魔
<2557> 通り魔

//<2558> 記憶ナシ男
<2558> 記憶ナシ男

//<2559> 音速
<2559> 音速

//<2560> 無限
<2560> 無限

//<2561> エロ侍
<2561> エロ侍

//<2562> エロエロ団ナンバー１
<2562> エロエロ団ナンバー１

//<2563> ただのエロ少年
<2563> ただのエロ少年

//<2564> ユリブサイク
<2564> ユリブサイク

//<2565> ドピュッシー
<2565> ドピュッシー

//<2566> アメリカンエロドッグ
<2566> アメリカンエロドッグ

//<2567> ゼウス
<2567> ゼウス

//<2568> 日向markⅡ
<2568> 日向markⅡ

//<2569> 糞虫
<2569> 糞虫

//<2570> 量産型日向
<2570> 量産型日向

//<2571> ？？
<2571> ？？

//<2572> 「よし、これは期待できる！！」
<2572> 「よし、これは期待できる！！」

//<2573> nothing
<2573> nothing

//<2574> nothing
<2574> nothing

//<2575> nothing
<2575> nothing

//<2576> nothing
<2576> nothing

//<2577> nothing
<2577> nothing

//<2578> 日向
<2578> 日向

//<2579> 男Ｂ
<2579> 男Ｂ

//<2580> エロエロ団総帥
<2580> エロエロ団総帥

//<2581> イケチン
<2581> イケチン

//<2582> ホモ太
<2582> ホモ太

//<2583> ひなチン
<2583> ひなチン

//<2584> 秀樹
<2584> 秀樹

//<2585> 男子生徒
<2585> 男子生徒

//<2586> ？？
<2586> ？？

//<2587> 「俺はっと…クリームコロッケ定食。ふつーだな…」
<2587> 「俺はっと…クリームコロッケ定食。ふつーだな…」

//<2588> nothing
<2588> nothing

//<2589> nothing
<2589> nothing

//<2590> nothing
<2590> nothing

//<2591> nothing
<2591> nothing

//<2592> nothing
<2592> nothing

//<2593> nothing
<2593> nothing

//<2594> 受け取り口で待つ。
<2594> 受け取り口で待つ。

//<2595> 食堂のおばさん
<2595> 食堂のおばさん

//<2596> 「ほい、豚角煮定食ー」
<2596> 「ほい、豚角煮定食ー」

//<2597> きったーーーー！！と心の中で叫んでしまう。
<2597> きったーーーー！！と心の中で叫んでしまう。

//<2598> いかにもとろっとろの豚の角煮がでかでかと皿に載せられている。からしもついている。否応なく食欲が湧く！
<2598> いかにもとろっとろの豚の角煮がでかでかと皿に載せられている。からしもついている。否応なく食欲が湧く！

//<2599> 日向と向かい合い食べ始める。
<2599> 日向と向かい合い食べ始める。

//<2600> 歯なんて要らない…唇だけで割けるような柔らかい角煮だった。よく汁を吸い込んでいて、味も絶品だ。
<2600> 歯なんて要らない…唇だけで割けるような柔らかい角煮だった。よく汁を吸い込んでいて、味も絶品だ。

//<2601> 音無
<2601> 音無

//<2602> クソ坊主
<2602> クソ坊主

//<2603> 代理人
<2603> 代理人

//<2604> 微妙すぎるイケメン
<2604> 微妙すぎるイケメン

//<2605> ロリコン
<2605> ロリコン

//<2606> メガネ仲間
<2606> メガネ仲間

//<2607> 暗算日本記録保持者
<2607> 暗算日本記録保持者

//<2608> 通り魔
<2608> 通り魔

//<2609> 記憶ナシ男
<2609> 記憶ナシ男

//<2610> 音速
<2610> 音速

//<2611> 無限
<2611> 無限

//<2612> エロ侍
<2612> エロ侍

//<2613> エロエロ団ナンバー１
<2613> エロエロ団ナンバー１

//<2614> ただのエロ少年
<2614> ただのエロ少年

//<2615> ユリブサイク
<2615> ユリブサイク

//<2616> ドピュッシー
<2616> ドピュッシー

//<2617> アメリカンエロドッグ
<2617> アメリカンエロドッグ

//<2618> ゼウス
<2618> ゼウス

//<2619> 日向markⅡ
<2619> 日向markⅡ

//<2620> 糞虫
<2620> 糞虫

//<2621> 量産型日向
<2621> 量産型日向

//<2622> ？？
<2622> ？？

//<2623> 「きったーーー！！　なんて美味しさだ！」
<2623> 「きったーーー！！　なんて美味しさだ！」

//<2624> 今度は衝動を抑えきれず口に出してしまう。
<2624> 今度は衝動を抑えきれず口に出してしまう。

//<2625> nothing
<2625> nothing

//<2626> nothing
<2626> nothing

//<2627> nothing
<2627> nothing

//<2628> nothing
<2628> nothing

//<2629> nothing
<2629> nothing

//<2630> 日向
<2630> 日向

//<2631> 男Ｂ
<2631> 男Ｂ

//<2632> エロエロ団総帥
<2632> エロエロ団総帥

//<2633> イケチン
<2633> イケチン

//<2634> ホモ太
<2634> ホモ太

//<2635> ひなチン
<2635> ひなチン

//<2636> 秀樹
<2636> 秀樹

//<2637> 男子生徒
<2637> 男子生徒

//<2638> ？？
<2638> ？？

//<2639> 「そいつはよかったな」
<2639> 「そいつはよかったな」

//<2640> その冷めた一言に違和感を覚える。
<2640> その冷めた一言に違和感を覚える。

//<2641> それは…。
<2641> それは…。

//<2642> お前はクリームコロッケが苦手なはずだ
<2642> お前はクリームコロッケが苦手なはずだ

//<2643> 俺はクリームコロッケが苦手だ
<2643> 俺はクリームコロッケが苦手だ

//<2644> 本当にランダムなのか
<2644> 本当にランダムなのか

//<2645> selbtn : 
<2645> selbtn : 

//<2646> 音無
<2646> 音無

//<2647> クソ坊主
<2647> クソ坊主

//<2648> 代理人
<2648> 代理人

//<2649> 微妙すぎるイケメン
<2649> 微妙すぎるイケメン

//<2650> ロリコン
<2650> ロリコン

//<2651> メガネ仲間
<2651> メガネ仲間

//<2652> 暗算日本記録保持者
<2652> 暗算日本記録保持者

//<2653> 通り魔
<2653> 通り魔

//<2654> 記憶ナシ男
<2654> 記憶ナシ男

//<2655> 音速
<2655> 音速

//<2656> 無限
<2656> 無限

//<2657> エロ侍
<2657> エロ侍

//<2658> エロエロ団ナンバー１
<2658> エロエロ団ナンバー１

//<2659> ただのエロ少年
<2659> ただのエロ少年

//<2660> ユリブサイク
<2660> ユリブサイク

//<2661> ドピュッシー
<2661> ドピュッシー

//<2662> アメリカンエロドッグ
<2662> アメリカンエロドッグ

//<2663> ゼウス
<2663> ゼウス

//<2664> 日向markⅡ
<2664> 日向markⅡ

//<2665> 糞虫
<2665> 糞虫

//<2666> 量産型日向
<2666> 量産型日向

//<2667> ？？
<2667> ？？

//<2668> 「お前はクリームコロッケが苦手なはずだ」
<2668> 「お前はクリームコロッケが苦手なはずだ」

//<2669> nothing
<2669> nothing

//<2670> nothing
<2670> nothing

//<2671> nothing
<2671> nothing

//<2672> nothing
<2672> nothing

//<2673> nothing
<2673> nothing

//<2674> 日向
<2674> 日向

//<2675> 男Ｂ
<2675> 男Ｂ

//<2676> エロエロ団総帥
<2676> エロエロ団総帥

//<2677> イケチン
<2677> イケチン

//<2678> ホモ太
<2678> ホモ太

//<2679> ひなチン
<2679> ひなチン

//<2680> 秀樹
<2680> 秀樹

//<2681> 男子生徒
<2681> 男子生徒

//<2682> ？？
<2682> ？？

//<2683> 「え？　大好きだが？」
<2683> 「え？　大好きだが？」

//<2684> 音無
<2684> 音無

//<2685> クソ坊主
<2685> クソ坊主

//<2686> 代理人
<2686> 代理人

//<2687> 微妙すぎるイケメン
<2687> 微妙すぎるイケメン

//<2688> ロリコン
<2688> ロリコン

//<2689> メガネ仲間
<2689> メガネ仲間

//<2690> 暗算日本記録保持者
<2690> 暗算日本記録保持者

//<2691> 通り魔
<2691> 通り魔

//<2692> 記憶ナシ男
<2692> 記憶ナシ男

//<2693> 音速
<2693> 音速

//<2694> 無限
<2694> 無限

//<2695> エロ侍
<2695> エロ侍

//<2696> エロエロ団ナンバー１
<2696> エロエロ団ナンバー１

//<2697> ただのエロ少年
<2697> ただのエロ少年

//<2698> ユリブサイク
<2698> ユリブサイク

//<2699> ドピュッシー
<2699> ドピュッシー

//<2700> アメリカンエロドッグ
<2700> アメリカンエロドッグ

//<2701> ゼウス
<2701> ゼウス

//<2702> 日向markⅡ
<2702> 日向markⅡ

//<2703> 糞虫
<2703> 糞虫

//<2704> 量産型日向
<2704> 量産型日向

//<2705> ？？
<2705> ？？

//<2706> 「そうか…」
<2706> 「そうか…」

//<2707> nothing
<2707> nothing

//<2708> nothing
<2708> nothing

//<2709> nothing
<2709> nothing

//<2710> nothing
<2710> nothing

//<2711> nothing
<2711> nothing

//<2712> 日向
<2712> 日向

//<2713> 男Ｂ
<2713> 男Ｂ

//<2714> エロエロ団総帥
<2714> エロエロ団総帥

//<2715> イケチン
<2715> イケチン

//<2716> ホモ太
<2716> ホモ太

//<2717> ひなチン
<2717> ひなチン

//<2718> 秀樹
<2718> 秀樹

//<2719> 男子生徒
<2719> 男子生徒

//<2720> ？？
<2720> ？？

//<2721> 「まだ、一緒にご飯を食うのも数日だし、俺の苦手なメニューなんてわからなくて当然だ」
<2721> 「まだ、一緒にご飯を食うのも数日だし、俺の苦手なメニューなんてわからなくて当然だ」

//<2722> 言う通りだ…。
<2722> 言う通りだ…。

//<2723> 音無
<2723> 音無

//<2724> クソ坊主
<2724> クソ坊主

//<2725> 代理人
<2725> 代理人

//<2726> 微妙すぎるイケメン
<2726> 微妙すぎるイケメン

//<2727> ロリコン
<2727> ロリコン

//<2728> メガネ仲間
<2728> メガネ仲間

//<2729> 暗算日本記録保持者
<2729> 暗算日本記録保持者

//<2730> 通り魔
<2730> 通り魔

//<2731> 記憶ナシ男
<2731> 記憶ナシ男

//<2732> 音速
<2732> 音速

//<2733> 無限
<2733> 無限

//<2734> エロ侍
<2734> エロ侍

//<2735> エロエロ団ナンバー１
<2735> エロエロ団ナンバー１

//<2736> ただのエロ少年
<2736> ただのエロ少年

//<2737> ユリブサイク
<2737> ユリブサイク

//<2738> ドピュッシー
<2738> ドピュッシー

//<2739> アメリカンエロドッグ
<2739> アメリカンエロドッグ

//<2740> ゼウス
<2740> ゼウス

//<2741> 日向markⅡ
<2741> 日向markⅡ

//<2742> 糞虫
<2742> 糞虫

//<2743> 量産型日向
<2743> 量産型日向

//<2744> ？？
<2744> ？？

//<2745> 「だよな…」
<2745> 「だよな…」

//<2746> 音無
<2746> 音無

//<2747> クソ坊主
<2747> クソ坊主

//<2748> 代理人
<2748> 代理人

//<2749> 微妙すぎるイケメン
<2749> 微妙すぎるイケメン

//<2750> ロリコン
<2750> ロリコン

//<2751> メガネ仲間
<2751> メガネ仲間

//<2752> 暗算日本記録保持者
<2752> 暗算日本記録保持者

//<2753> 通り魔
<2753> 通り魔

//<2754> 記憶ナシ男
<2754> 記憶ナシ男

//<2755> 音速
<2755> 音速

//<2756> 無限
<2756> 無限

//<2757> エロ侍
<2757> エロ侍

//<2758> エロエロ団ナンバー１
<2758> エロエロ団ナンバー１

//<2759> ただのエロ少年
<2759> ただのエロ少年

//<2760> ユリブサイク
<2760> ユリブサイク

//<2761> ドピュッシー
<2761> ドピュッシー

//<2762> アメリカンエロドッグ
<2762> アメリカンエロドッグ

//<2763> ゼウス
<2763> ゼウス

//<2764> 日向markⅡ
<2764> 日向markⅡ

//<2765> 糞虫
<2765> 糞虫

//<2766> 量産型日向
<2766> 量産型日向

//<2767> ？？
<2767> ？？

//<2768> 「俺はクリームコロッケが苦手だ」
<2768> 「俺はクリームコロッケが苦手だ」

//<2769> nothing
<2769> nothing

//<2770> nothing
<2770> nothing

//<2771> nothing
<2771> nothing

//<2772> nothing
<2772> nothing

