// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> ここは…。
<0000> ここは…。
<0556> 男子生徒

//<0557> ？？
<0557> ？？

//<0558> 「あの癖の強い本格的なトムヤムカレー大好き層がどうも居るようなんだ」
<0558> 「あの癖の強い本格的なトムヤムカレー大好き層がどうも居るようなんだ」

//<0559> 音無
<0559> 音無

//<0560> クソ坊主
<0560> クソ坊主

//<0561> 代理人
<0561> 代理人

//<0562> 微妙すぎるイケメン
<0562> 微妙すぎるイケメン

//<0563> ロリコン
<0563> ロリコン

//<0564> メガネ仲間
<0564> メガネ仲間

//<0565> 暗算日本記録保持者
<0565> 暗算日本記録保持者

//<0566> 通り魔
<0566> 通り魔

//<0567> 記憶ナシ男
<0567> 記憶ナシ男

//<0568> 音速
<0568> 音速

//<0569> 無限
<0569> 無限

//<0570> エロ侍
<0570> エロ侍

//<0571> エロエロ団ナンバー１
<0571> エロエロ団ナンバー１

//<0572> ただのエロ少年
<0572> ただのエロ少年

//<0573> ユリブサイク
<0573> ユリブサイク

//<0574> ドピュッシー
<0574> ドピュッシー

//<0575> アメリカンエロドッグ
<0575> アメリカンエロドッグ

//<0576> ゼウス
<0576> ゼウス

//<0577> 日向markⅡ
<0577> 日向markⅡ

//<0578> 糞虫
<0578> 糞虫

//<0579> 量産型日向
<0579> 量産型日向

//<0580> ？？
<0580> ？？

//<0581> （心当たりがある…）
<0581> （心当たりがある…）

//<0582> 白
<0582> 白

//<0583> nothing
<0583> nothing

//<0584> nothing
<0584> nothing

//<0585> nothing
<0585> nothing

//<0586> nothing
<0586> nothing

//<0587> nothing
<0587> nothing

//<0588> 藤巻
<0588> 藤巻

//<0589> 「ああ、もちろん。絶品だったぜ？」
<0589> 「ああ、もちろん。絶品だったぜ？」

//<0590> nothing
<0590> nothing

//<0591> 
<0591> 

//<0592> 
<0592> 

//<0593> nothing
<0593> nothing

//<0594> 藤巻に昼飯を奢ってもらった時のことを思い出した。
<0594> 藤巻に昼飯を奢ってもらった時のことを思い出した。

//<0595> 音無
<0595> 音無

//<0596> クソ坊主
<0596> クソ坊主

//<0597> 代理人
<0597> 代理人

//<0598> 微妙すぎるイケメン
<0598> 微妙すぎるイケメン

//<0599> ロリコン
<0599> ロリコン

//<0600> メガネ仲間
<0600> メガネ仲間

//<0601> 暗算日本記録保持者
<0601> 暗算日本記録保持者

//<0602> 通り魔
<0602> 通り魔

//<0603> 記憶ナシ男
<0603> 記憶ナシ男

//<0604> 音速
<0604> 音速

//<0605> 無限
<0605> 無限

//<0606> エロ侍
<0606> エロ侍

//<0607> エロエロ団ナンバー１
<0607> エロエロ団ナンバー１

//<0608> ただのエロ少年
<0608> ただのエロ少年

//<0609> ユリブサイク
<0609> ユリブサイク

//<0610> ドピュッシー
<0610> ドピュッシー

//<0611> アメリカンエロドッグ
<0611> アメリカンエロドッグ

//<0612> ゼウス
<0612> ゼウス

//<0613> 日向markⅡ
<0613> 日向markⅡ

//<0614> 糞虫
<0614> 糞虫

//<0615> 量産型日向
<0615> 量産型日向

//<0616> ？？
<0616> ？？

//<0617> 「人間ではなく？」
<0617> 「人間ではなく？」

//<0618> nothing
<0618> nothing

//<0619> nothing
<0619> nothing

//<0620> nothing
<0620> nothing

//<0621> nothing
<0621> nothing

//<0622> nothing
<0622> nothing

//<0623> 日向
<0623> 日向

//<0624> 男Ｂ
<0624> 男Ｂ

//<0625> エロエロ団総帥
<0625> エロエロ団総帥

//<0626> イケチン
<0626> イケチン

//<0627> ホモ太
<0627> ホモ太

//<0628> ひなチン
<0628> ひなチン

//<0629> 秀樹
<0629> 秀樹

//<0630> 男子生徒
<0630> 男子生徒

//<0631> ？？
<0631> ？？

//<0632> 「そこまではわからない…でも多分、ＮＰＣだろう…」
<0632> 「そこまではわからない…でも多分、ＮＰＣだろう…」

//<0633> nothing
<0633> nothing

//<0634> nothing
<0634> nothing

//<0635> nothing
<0635> nothing

//<0636> nothing
<0636> nothing

//<0637> nothing
<0637> nothing

//<0638> 日向
<0638> 日向

//<0639> 男Ｂ
<0639> 男Ｂ

//<0640> エロエロ団総帥
<0640> エロエロ団総帥

//<0641> イケチン
<0641> イケチン

//<0642> ホモ太
<0642> ホモ太

//<0643> ひなチン
<0643> ひなチン

//<0644> 秀樹
<0644> 秀樹

//<0645> 男子生徒
<0645> 男子生徒

//<0646> ？？
<0646> ？？

//<0647> 「これだけのマンモス校だから、そういう層が居ても不思議じゃない…」
<0647> 「これだけのマンモス校だから、そういう層が居ても不思議じゃない…」

//<0648> nothing
<0648> nothing

//<0649> nothing
<0649> nothing

//<0650> nothing
<0650> nothing

//<0651> nothing
<0651> nothing

//<0652> nothing
<0652> nothing

//<0653> 日向
<0653> 日向

//<0654> 男Ｂ
<0654> 男Ｂ

//<0655> エロエロ団総帥
<0655> エロエロ団総帥

//<0656> イケチン
<0656> イケチン

//<0657> ホモ太
<0657> ホモ太

//<0658> ひなチン
<0658> ひなチン

//<0659> 秀樹
<0659> 秀樹

//<0660> 男子生徒
<0660> 男子生徒

//<0661> ？？
<0661> ？？

//<0662> 「一回のトルネードで、それしか拾わなかったことがある…きっと愛好会的に同じ場所に集まっていたのだろう…」
<0662> 「一回のトルネードで、それしか拾わなかったことがある…きっと愛好会的に同じ場所に集まっていたのだろう…」

//<0663> nothing
<0663> nothing

//<0664> nothing
<0664> nothing

//<0665> nothing
<0665> nothing

//<0666> nothing
<0666> nothing

//<0667> nothing
<0667> nothing

//<0668> 日向
<0668> 日向

//<0669> 男Ｂ
<0669> 男Ｂ

//<0670> エロエロ団総帥
<0670> エロエロ団総帥

//<0671> イケチン
<0671> イケチン

//<0672> ホモ太
<0672> ホモ太

//<0673> ひなチン
<0673> ひなチン

//<0674> 秀樹
<0674> 秀樹

//<0675> 男子生徒
<0675> 男子生徒

//<0676> ？？
<0676> ？？

//<0677> 「それらを何度もがっつり拾ってしまうことがあった…」
<0677> 「それらを何度もがっつり拾ってしまうことがあった…」

//<0678> nothing
<0678> nothing

//<0679> nothing
<0679> nothing

//<0680> nothing
<0680> nothing

//<0681> nothing
<0681> nothing

//<0682> nothing
<0682> nothing

//<0683> 日向
<0683> 日向

//<0684> 男Ｂ
<0684> 男Ｂ

//<0685> エロエロ団総帥
<0685> エロエロ団総帥

//<0686> イケチン
<0686> イケチン

//<0687> ホモ太
<0687> ホモ太

//<0688> ひなチン
<0688> ひなチン

//<0689> 秀樹
<0689> 秀樹

//<0690> 男子生徒
<0690> 男子生徒

//<0691> ？？
<0691> ？？

//<0692> 「それは、俺にとってはハズレだ」
<0692> 「それは、俺にとってはハズレだ」

//<0693> nothing
<0693> nothing

//<0694> nothing
<0694> nothing

//<0695> nothing
<0695> nothing

//<0696> nothing
<0696> nothing

//<0697> nothing
<0697> nothing

//<0698> 日向
<0698> 日向

//<0699> 男Ｂ
<0699> 男Ｂ

//<0700> エロエロ団総帥
<0700> エロエロ団総帥

//<0701> イケチン
<0701> イケチン

//<0702> ホモ太
<0702> ホモ太

//<0703> ひなチン
<0703> ひなチン

//<0704> 秀樹
<0704> 秀樹

//<0705> 男子生徒
<0705> 男子生徒

//<0706> ？？
<0706> ？？

//<0707> 「だから、それを減らすために、最初は冗談交じりで渡したつもりだが、お前はそれを完食し続けた…」
<0707> 「だから、それを減らすために、最初は冗談交じりで渡したつもりだが、お前はそれを完食し続けた…」

//<0708> nothing
<0708> nothing

//<0709> nothing
<0709> nothing

//<0710> nothing
<0710> nothing

//<0711> nothing
<0711> nothing

//<0712> nothing
<0712> nothing

//<0713> 日向
<0713> 日向

//<0714> 男Ｂ
<0714> 男Ｂ

//<0715> エロエロ団総帥
<0715> エロエロ団総帥

//<0716> イケチン
<0716> イケチン

//<0717> ホモ太
<0717> ホモ太

//<0718> ひなチン
<0718> ひなチン

//<0719> 秀樹
<0719> 秀樹

//<0720> 男子生徒
<0720> 男子生徒

//<0721> ？？
<0721> ？？

//<0722> 「貴重な食券は自分に、トムヤムカレーはすべてお前に、と調子に乗っちまった…」
<0722> 「貴重な食券は自分に、トムヤムカレーはすべてお前に、と調子に乗っちまった…」

//<0723> nothing
<0723> nothing

//<0724> nothing
<0724> nothing

//<0725> nothing
<0725> nothing

//<0726> nothing
<0726> nothing

//<0727> nothing
<0727> nothing

//<0728> 日向
<0728> 日向

//<0729> 男Ｂ
<0729> 男Ｂ

//<0730> エロエロ団総帥
<0730> エロエロ団総帥

//<0731> イケチン
<0731> イケチン

//<0732> ホモ太
<0732> ホモ太

//<0733> ひなチン
<0733> ひなチン

//<0734> 秀樹
<0734> 秀樹

//<0735> 男子生徒
<0735> 男子生徒

//<0736> ？？
<0736> ？？

//<0737> 「それがすべてだ…」
<0737> 「それがすべてだ…」

//<0738> nothing
<0738> nothing

//<0739> nothing
<0739> nothing

//<0740> nothing
<0740> nothing

//<0741> nothing
<0741> nothing

//<0742> nothing
<0742> nothing

//<0743> 日向
<0743> 日向

//<0744> 男Ｂ
<0744> 男Ｂ

//<0745> エロエロ団総帥
<0745> エロエロ団総帥

//<0746> イケチン
<0746> イケチン

//<0747> ホモ太
<0747> ホモ太

//<0748> ひなチン
<0748> ひなチン

//<0749> 秀樹
<0749> 秀樹

//<0750> 男子生徒
<0750> 男子生徒

//<0751> ？？
<0751> ？？

//<0752> 「許してくれなんて言わない…何か償いをさせてくれ…」
<0752> 「許してくれなんて言わない…何か償いをさせてくれ…」

//<0753> 許す
<0753> 許す

//<0754> ルームメイト解散
<0754> ルームメイト解散

//<0755> selbtn : 
<0755> selbtn : 

//<0756> 音無
<0756> 音無

//<0757> クソ坊主
<0757> クソ坊主

//<0758> 代理人
<0758> 代理人

//<0759> 微妙すぎるイケメン
<0759> 微妙すぎるイケメン

//<0760> ロリコン
<0760> ロリコン

//<0761> メガネ仲間
<0761> メガネ仲間

//<0762> 暗算日本記録保持者
<0762> 暗算日本記録保持者

//<0763> 通り魔
<0763> 通り魔

//<0764> 記憶ナシ男
<0764> 記憶ナシ男

//<0765> 音速
<0765> 音速

//<0766> 無限
<0766> 無限

//<0767> エロ侍
<0767> エロ侍

//<0768> エロエロ団ナンバー１
<0768> エロエロ団ナンバー１

//<0769> ただのエロ少年
<0769> ただのエロ少年

//<0770> ユリブサイク
<0770> ユリブサイク

//<0771> ドピュッシー
<0771> ドピュッシー

//<0772> アメリカンエロドッグ
<0772> アメリカンエロドッグ

//<0773> ゼウス
<0773> ゼウス

//<0774> 日向markⅡ
<0774> 日向markⅡ

//<0775> 糞虫
<0775> 糞虫

//<0776> 量産型日向
<0776> 量産型日向

//<0777> ？？
<0777> ？？

//<0778> 「今、お前が反省してくれているならば、許す」
<0778> 「今、お前が反省してくれているならば、許す」

//<0779> nothing
<0779> nothing

//<0780> nothing
<0780> nothing

//<0781> nothing
<0781> nothing

//<0782> nothing
<0782> nothing

//<0783> nothing
<0783> nothing

//<0784> 日向
<0784> 日向

//<0785> 男Ｂ
<0785> 男Ｂ

//<0786> エロエロ団総帥
<0786> エロエロ団総帥

//<0787> イケチン
<0787> イケチン

//<0788> ホモ太
<0788> ホモ太

//<0789> ひなチン
<0789> ひなチン

//<0790> 秀樹
<0790> 秀樹

//<0791> 男子生徒
<0791> 男子生徒

//<0792> ？？
<0792> ？？

//<0793> 「ああ、反省しているっ！　今日まで食券の操作をしてきた！」
<0793> 「ああ、反省しているっ！　今日まで食券の操作をしてきた！」

//<0794> nothing
<0794> nothing

//<0795> nothing
<0795> nothing

//<0796> nothing
<0796> nothing

//<0797> nothing
<0797> nothing

//<0798> nothing
<0798> nothing

//<0799> 日向
<0799> 日向

//<0800> 男Ｂ
<0800> 男Ｂ

//<0801> エロエロ団総帥
<0801> エロエロ団総帥

//<0802> イケチン
<0802> イケチン

//<0803> ホモ太
<0803> ホモ太

//<0804> ひなチン
<0804> ひなチン

//<0805> 秀樹
<0805> 秀樹

//<0806> 男子生徒
<0806> 男子生徒

//<0807> ？？
<0807> ？？

//<0808> 「だから、殴られてもいい！　思う存分！」
<0808> 「だから、殴られてもいい！　思う存分！」

//<0809> nothing
<0809> nothing

//<0810> nothing
<0810> nothing

//<0811> nothing
<0811> nothing

//<0812> nothing
<0812> nothing

//<0813> nothing
<0813> nothing

//<0814> nothing
<0814> nothing

//<0815> そう言って日向は頭を下げる。
<0815> そう言って日向は頭を下げる。

//<0816> 殴り倒す
<0816> 殴り倒す

//<0817> 殴り倒さない
<0817> 殴り倒さない

//<0818> やさしく諭す
<0818> やさしく諭す

//<0819> selbtn : 
<0819> selbtn : 

//<0820> 拳を固め、振りかざすが…。
<0820> 拳を固め、振りかざすが…。

//<0821> 音無
<0821> 音無

//<0822> クソ坊主
<0822> クソ坊主

//<0823> 代理人
<0823> 代理人

//<0824> 微妙すぎるイケメン
<0824> 微妙すぎるイケメン

//<0825> ロリコン
<0825> ロリコン

//<0826> メガネ仲間
<0826> メガネ仲間

//<0827> 暗算日本記録保持者
<0827> 暗算日本記録保持者

//<0828> 通り魔
<0828> 通り魔

//<0829> 記憶ナシ男
<0829> 記憶ナシ男

//<0830> 音速
<0830> 音速

//<0831> 無限
<0831> 無限

//<0832> エロ侍
<0832> エロ侍

//<0833> エロエロ団ナンバー１
<0833> エロエロ団ナンバー１

//<0834> ただのエロ少年
<0834> ただのエロ少年

//<0835> ユリブサイク
<0835> ユリブサイク

//<0836> ドピュッシー
<0836> ドピュッシー

//<0837> アメリカンエロドッグ
<0837> アメリカンエロドッグ

//<0838> ゼウス
<0838> ゼウス

//<0839> 日向markⅡ
<0839> 日向markⅡ

//<0840> 糞虫
<0840> 糞虫

//<0841> 量産型日向
<0841> 量産型日向

//<0842> ？？
<0842> ？？

//<0843> 「………」
<0843> 「………」

//<0844> 力を緩め、拳を解く。
<0844> 力を緩め、拳を解く。

//<0845> 音無
<0845> 音無

//<0846> クソ坊主
<0846> クソ坊主

//<0847> 代理人
<0847> 代理人

//<0848> 微妙すぎるイケメン
<0848> 微妙すぎるイケメン

//<0849> ロリコン
<0849> ロリコン

//<0850> メガネ仲間
<0850> メガネ仲間

//<0851> 暗算日本記録保持者
<0851> 暗算日本記録保持者

//<0852> 通り魔
<0852> 通り魔

//<0853> 記憶ナシ男
<0853> 記憶ナシ男

//<0854> 音速
<0854> 音速

//<0855> 無限
<0855> 無限

//<0856> エロ侍
<0856> エロ侍

//<0857> エロエロ団ナンバー１
<0857> エロエロ団ナンバー１

//<0858> ただのエロ少年
<0858> ただのエロ少年

//<0859> ユリブサイク
<0859> ユリブサイク

//<0860> ドピュッシー
<0860> ドピュッシー

//<0861> アメリカンエロドッグ
<0861> アメリカンエロドッグ

//<0862> ゼウス
<0862> ゼウス

//<0863> 日向markⅡ
<0863> 日向markⅡ

//<0864> 糞虫
<0864> 糞虫

//<0865> 量産型日向
<0865> 量産型日向

//<0866> ？？
<0866> ？？

//<0867> 「俺は殴らない…」
<0867> 「俺は殴らない…」

//<0868> nothing
<0868> nothing

//<0869> nothing
<0869> nothing

//<0870> nothing
<0870> nothing

//<0871> nothing
<0871> nothing

//<0872> nothing
<0872> nothing

//<0873> 驚いたように顔を上げる。
<0873> 驚いたように顔を上げる。

//<0874> nothing
<0874> nothing

//<0875> nothing
<0875> nothing

//<0876> nothing
<0876> nothing

//<0877> nothing
<0877> nothing

//<0878> nothing
<0878> nothing

//<0879> 日向
<0879> 日向

//<0880> 男Ｂ
<0880> 男Ｂ

//<0881> エロエロ団総帥
<0881> エロエロ団総帥

//<0882> イケチン
<0882> イケチン

//<0883> ホモ太
<0883> ホモ太

//<0884> ひなチン
<0884> ひなチン

//<0885> 秀樹
<0885> 秀樹

//<0886> 男子生徒
<0886> 男子生徒

//<0887> ？？
<0887> ？？

//<0888> 「え、どうして！？　俺には殴られてるのに！？」
<0888> 「え、どうして！？　俺には殴られてるのに！？」

//<0889> 音無
<0889> 音無

//<0890> クソ坊主
<0890> クソ坊主

//<0891> 代理人
<0891> 代理人

//<0892> 微妙すぎるイケメン
<0892> 微妙すぎるイケメン

//<0893> ロリコン
<0893> ロリコン

//<0894> メガネ仲間
<0894> メガネ仲間

//<0895> 暗算日本記録保持者
<0895> 暗算日本記録保持者

//<0896> 通り魔
<0896> 通り魔

//<0897> 記憶ナシ男
<0897> 記憶ナシ男

//<0898> 音速
<0898> 音速

//<0899> 無限
<0899> 無限

//<0900> エロ侍
<0900> エロ侍

//<0901> エロエロ団ナンバー１
<0901> エロエロ団ナンバー１

//<0902> ただのエロ少年
<0902> ただのエロ少年

//<0903> ユリブサイク
<0903> ユリブサイク

//<0904> ドピュッシー
<0904> ドピュッシー

//<0905> アメリカンエロドッグ
<0905> アメリカンエロドッグ

//<0906> ゼウス
<0906> ゼウス

//<0907> 日向markⅡ
<0907> 日向markⅡ

//<0908> 糞虫
<0908> 糞虫

//<0909> 量産型日向
<0909> 量産型日向

//<0910> ？？
<0910> ？？

//<0911> 「それは、イケチン、お前だからだ…」
<0911> 「それは、イケチン、お前だからだ…」

//<0912> nothing
<0912> nothing

//<0913> nothing
<0913> nothing

//<0914> nothing
<0914> nothing

//<0915> nothing
<0915> nothing

//<0916> nothing
<0916> nothing

//<0917> se_punch
<0917> se_punch

//<0918> 拳が飛んできて、ばきぃ！と殴られる…。
<0918> 拳が飛んできて、ばきぃ！と殴られる…。

//<0919> 音無
<0919> 音無

//<0920> クソ坊主
<0920> クソ坊主

//<0921> 代理人
<0921> 代理人

//<0922> 微妙すぎるイケメン
<0922> 微妙すぎるイケメン

//<0923> ロリコン
<0923> ロリコン

//<0924> メガネ仲間
<0924> メガネ仲間

//<0925> 暗算日本記録保持者
<0925> 暗算日本記録保持者

//<0926> 通り魔
<0926> 通り魔

//<0927> 記憶ナシ男
<0927> 記憶ナシ男

//<0928> 音速
<0928> 音速

