// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> 問題を解き始めると、すらすらと回答欄が埋まっていった。
<0000> 問題を解き始めると、すらすらと回答欄が埋まっていった。
<0494> ゼウス

//<0495> 日向markⅡ
<0495> 日向markⅡ

//<0496> 糞虫
<0496> 糞虫

//<0497> 量産型日向
<0497> 量産型日向

//<0498> ？？
<0498> ？？

//<0499> 「本当だぁぁーー！！　なんてでかい竹の子なんだぁーーー！！」
<0499> 「本当だぁぁーー！！　なんてでかい竹の子なんだぁーーー！！」

//<0500> 俺も立ち上がり、フォローする。
<0500> 俺も立ち上がり、フォローする。

//<0501> が、それでも誰も窓の外を見ようとしない。
<0501> が、それでも誰も窓の外を見ようとしない。

//<0502> 音無
<0502> 音無

//<0503> クソ坊主
<0503> クソ坊主

//<0504> 代理人
<0504> 代理人

//<0505> 微妙すぎるイケメン
<0505> 微妙すぎるイケメン

//<0506> ロリコン
<0506> ロリコン

//<0507> メガネ仲間
<0507> メガネ仲間

//<0508> 暗算日本記録保持者
<0508> 暗算日本記録保持者

//<0509> 通り魔
<0509> 通り魔

//<0510> 記憶ナシ男
<0510> 記憶ナシ男

//<0511> 音速
<0511> 音速

//<0512> 無限
<0512> 無限

//<0513> エロ侍
<0513> エロ侍

//<0514> エロエロ団ナンバー１
<0514> エロエロ団ナンバー１

//<0515> ただのエロ少年
<0515> ただのエロ少年

//<0516> ユリブサイク
<0516> ユリブサイク

//<0517> ドピュッシー
<0517> ドピュッシー

//<0518> アメリカンエロドッグ
<0518> アメリカンエロドッグ

//<0519> ゼウス
<0519> ゼウス

//<0520> 日向markⅡ
<0520> 日向markⅡ

//<0521> 糞虫
<0521> 糞虫

//<0522> 量産型日向
<0522> 量産型日向

//<0523> ？？
<0523> ？？

//<0524> 「…あほ日向め…」
<0524> 「…あほ日向め…」

//<0525> nothing
<0525> nothing

//<0526> nothing
<0526> nothing

//<0527> nothing
<0527> nothing

//<0528> nothing
<0528> nothing

//<0529> nothing
<0529> nothing

//<0530> 日向
<0530> 日向

//<0531> 男Ｂ
<0531> 男Ｂ

//<0532> エロエロ団総帥
<0532> エロエロ団総帥

//<0533> イケチン
<0533> イケチン

//<0534> ホモ太
<0534> ホモ太

//<0535> ひなチン
<0535> ひなチン

//<0536> 秀樹
<0536> 秀樹

//<0537> 男子生徒
<0537> 男子生徒

//<0538> ？？
<0538> ？？

//<0539> 「くっ…」
<0539> 「くっ…」

//<0540> nothing
<0540> nothing

//<0541> nothing
<0541> nothing

//<0542> nothing
<0542> nothing

//<0543> nothing
<0543> nothing

//<0544> nothing
<0544> nothing

//<0545> 日向は失敗に終わったことを悟り、席につき、うなだれる。
<0545> 日向は失敗に終わったことを悟り、席につき、うなだれる。

//<0546> nothing
<0546> nothing

//<0547> nothing
<0547> nothing

//<0548> nothing
<0548> nothing

//<0549> nothing
<0549> nothing

//<0550> nothing
<0550> nothing

//<0551> nothing
<0551> nothing

//<0552> 直後。
<0552> 直後。

//<0553> se_utiagebomb
<0553> se_utiagebomb

//<0554> nothing
<0554> nothing

//<0555> nothing
<0555> nothing

//<0556> nothing
<0556> nothing

//<0557> nothing
<0557> nothing

//<0558> nothing
<0558> nothing

//<0559> ぼんっ！
<0559> ぼんっ！

//<0560> nothing
<0560> nothing

//<0561> nothing
<0561> nothing

//<0562> nothing
<0562> nothing

//<0563> nothing
<0563> nothing

//<0564> nothing
<0564> nothing

//<0565> 日向の体が椅子ごと勢いよく真上に飛び立っていた。
<0565> 日向の体が椅子ごと勢いよく真上に飛び立っていた。

//<0566> nothing
<0566> nothing

//<0567> nothing
<0567> nothing

//<0568> nothing
<0568> nothing

//<0569> nothing
<0569> nothing

//<0570> nothing
<0570> nothing

//<0571> se_wood_bloken
<0571> se_wood_bloken

//<0572> ずがんっ！と天井で思いきり頭を打って、床に落ちてくる。
<0572> ずがんっ！と天井で思いきり頭を打って、床に落ちてくる。

//<0573> se_fall2_human
<0573> se_fall2_human

//<0574> 日向
<0574> 日向

//<0575> 男Ｂ
<0575> 男Ｂ

//<0576> エロエロ団総帥
<0576> エロエロ団総帥

//<0577> イケチン
<0577> イケチン

//<0578> ホモ太
<0578> ホモ太

//<0579> ひなチン
<0579> ひなチン

//<0580> 秀樹
<0580> 秀樹

//<0581> 男子生徒
<0581> 男子生徒

//<0582> ？？
<0582> ？？

//<0583> 「ぐおおおぉぉおぉぉぉ…！！」
<0583> 「ぐおおおぉぉおぉぉぉ…！！」

//<0584> 頭を抱えてもんどり打つ日向。
<0584> 頭を抱えてもんどり打つ日向。

//<0585> 音無
<0585> 音無

//<0586> クソ坊主
<0586> クソ坊主

//<0587> 代理人
<0587> 代理人

//<0588> 微妙すぎるイケメン
<0588> 微妙すぎるイケメン

//<0589> ロリコン
<0589> ロリコン

//<0590> メガネ仲間
<0590> メガネ仲間

//<0591> 暗算日本記録保持者
<0591> 暗算日本記録保持者

//<0592> 通り魔
<0592> 通り魔

//<0593> 記憶ナシ男
<0593> 記憶ナシ男

//<0594> 音速
<0594> 音速

//<0595> 無限
<0595> 無限

//<0596> エロ侍
<0596> エロ侍

//<0597> エロエロ団ナンバー１
<0597> エロエロ団ナンバー１

//<0598> ただのエロ少年
<0598> ただのエロ少年

//<0599> ユリブサイク
<0599> ユリブサイク

//<0600> ドピュッシー
<0600> ドピュッシー

//<0601> アメリカンエロドッグ
<0601> アメリカンエロドッグ

//<0602> ゼウス
<0602> ゼウス

//<0603> 日向markⅡ
<0603> 日向markⅡ

//<0604> 糞虫
<0604> 糞虫

//<0605> 量産型日向
<0605> 量産型日向

//<0606> ？？
<0606> ？？

//<0607> （なんてこった…！！）
<0607> （なんてこった…！！）

//<0608> みんなが注目している隙に竹山は、天使の答案用紙を偽物とすり替えていた。
<0608> みんなが注目している隙に竹山は、天使の答案用紙を偽物とすり替えていた。

//<0609> 休み時間となり、俺たちはゆりの席の周りに集まる。
<0609> 休み時間となり、俺たちはゆりの席の周りに集まる。

//<0610> nothing
<0610> nothing

//<0611> nothing
<0611> nothing

//<0612> nothing
<0612> nothing

//<0613> nothing
<0613> nothing

//<0614> nothing
<0614> nothing

//<0615> ゆり
<0615> ゆり

//<0616> 女生徒
<0616> 女生徒

//<0617> ？？
<0617> ？？

//<0618> 「あなたがミスした時のために、椅子の下に推進エンジンを積んでおいたのよ」
<0618> 「あなたがミスした時のために、椅子の下に推進エンジンを積んでおいたのよ」

//<0619> 音無
<0619> 音無

//<0620> クソ坊主
<0620> クソ坊主

//<0621> 代理人
<0621> 代理人

//<0622> 微妙すぎるイケメン
<0622> 微妙すぎるイケメン

//<0623> ロリコン
<0623> ロリコン

//<0624> メガネ仲間
<0624> メガネ仲間

//<0625> 暗算日本記録保持者
<0625> 暗算日本記録保持者

//<0626> 通り魔
<0626> 通り魔

//<0627> 記憶ナシ男
<0627> 記憶ナシ男

//<0628> 音速
<0628> 音速

//<0629> 無限
<0629> 無限

//<0630> エロ侍
<0630> エロ侍

//<0631> エロエロ団ナンバー１
<0631> エロエロ団ナンバー１

//<0632> ただのエロ少年
<0632> ただのエロ少年

//<0633> ユリブサイク
<0633> ユリブサイク

//<0634> ドピュッシー
<0634> ドピュッシー

//<0635> アメリカンエロドッグ
<0635> アメリカンエロドッグ

//<0636> ゼウス
<0636> ゼウス

//<0637> 日向markⅡ
<0637> 日向markⅡ

//<0638> 糞虫
<0638> 糞虫

//<0639> 量産型日向
<0639> 量産型日向

//<0640> ？？
<0640> ？？

//<0641> 「俺の椅子じゃなく、何で日向の椅子に！？」
<0641> 「俺の椅子じゃなく、何で日向の椅子に！？」

//<0642> これじゃ、日向と代わった意味がないじゃないか！
<0642> これじゃ、日向と代わった意味がないじゃないか！

//<0643> nothing
<0643> nothing

//<0644> nothing
<0644> nothing

//<0645> nothing
<0645> nothing

//<0646> nothing
<0646> nothing

//<0647> nothing
<0647> nothing

//<0648> ゆり
<0648> ゆり

//<0649> 女生徒
<0649> 女生徒

//<0650> ？？
<0650> ？？

//<0651> 「どうだった？　ちょっとした宇宙飛行士気分は？」
<0651> 「どうだった？　ちょっとした宇宙飛行士気分は？」

//<0652> 音無
<0652> 音無

//<0653> クソ坊主
<0653> クソ坊主

//<0654> 代理人
<0654> 代理人

//<0655> 微妙すぎるイケメン
<0655> 微妙すぎるイケメン

//<0656> ロリコン
<0656> ロリコン

//<0657> メガネ仲間
<0657> メガネ仲間

//<0658> 暗算日本記録保持者
<0658> 暗算日本記録保持者

//<0659> 通り魔
<0659> 通り魔

//<0660> 記憶ナシ男
<0660> 記憶ナシ男

//<0661> 音速
<0661> 音速

//<0662> 無限
<0662> 無限

//<0663> エロ侍
<0663> エロ侍

//<0664> エロエロ団ナンバー１
<0664> エロエロ団ナンバー１

//<0665> ただのエロ少年
<0665> ただのエロ少年

//<0666> ユリブサイク
<0666> ユリブサイク

//<0667> ドピュッシー
<0667> ドピュッシー

//<0668> アメリカンエロドッグ
<0668> アメリカンエロドッグ

//<0669> ゼウス
<0669> ゼウス

//<0670> 日向markⅡ
<0670> 日向markⅡ

//<0671> 糞虫
<0671> 糞虫

//<0672> 量産型日向
<0672> 量産型日向

//<0673> ？？
<0673> ？？

//<0674> 「一瞬で天井に激突して落下したろ！！　つか、推進エンジンなんてよく作れたなっ！」
<0674> 「一瞬で天井に激突して落下したろ！！　つか、推進エンジンなんてよく作れたなっ！」

//<0675> 日向
<0675> 日向

//<0676> 男Ｂ
<0676> 男Ｂ

//<0677> エロエロ団総帥
<0677> エロエロ団総帥

//<0678> イケチン
<0678> イケチン

//<0679> ホモ太
<0679> ホモ太

//<0680> ひなチン
<0680> ひなチン

//<0681> 秀樹
<0681> 秀樹

//<0682> 男子生徒
<0682> 男子生徒

//<0683> ？？
<0683> ？？

//<0684> 「だからなんで、お前が先にキレるんだよ…」
<0684> 「だからなんで、お前が先にキレるんだよ…」

//<0685> 日向
<0685> 日向

//<0686> 男Ｂ
<0686> 男Ｂ

//<0687> エロエロ団総帥
<0687> エロエロ団総帥

//<0688> イケチン
<0688> イケチン

//<0689> ホモ太
<0689> ホモ太

//<0690> ひなチン
<0690> ひなチン

//<0691> 秀樹
<0691> 秀樹

//<0692> 男子生徒
<0692> 男子生徒

//<0693> ？？
<0693> ？？

//<0694> 「一瞬で天井に激突して落下したよっ！！　つか、推進エンジンなんてよく作れたなっ！」
<0694> 「一瞬で天井に激突して落下したよっ！！　つか、推進エンジンなんてよく作れたなっ！」

//<0695> 音無
<0695> 音無

//<0696> クソ坊主
<0696> クソ坊主

//<0697> 代理人
<0697> 代理人

//<0698> 微妙すぎるイケメン
<0698> 微妙すぎるイケメン

//<0699> ロリコン
<0699> ロリコン

//<0700> メガネ仲間
<0700> メガネ仲間

//<0701> 暗算日本記録保持者
<0701> 暗算日本記録保持者

//<0702> 通り魔
<0702> 通り魔

//<0703> 記憶ナシ男
<0703> 記憶ナシ男

//<0704> 音速
<0704> 音速

//<0705> 無限
<0705> 無限

//<0706> エロ侍
<0706> エロ侍

//<0707> エロエロ団ナンバー１
<0707> エロエロ団ナンバー１

//<0708> ただのエロ少年
<0708> ただのエロ少年

//<0709> ユリブサイク
<0709> ユリブサイク

//<0710> ドピュッシー
<0710> ドピュッシー

//<0711> アメリカンエロドッグ
<0711> アメリカンエロドッグ

//<0712> ゼウス
<0712> ゼウス

//<0713> 日向markⅡ
<0713> 日向markⅡ

//<0714> 糞虫
<0714> 糞虫

//<0715> 量産型日向
<0715> 量産型日向

//<0716> ？？
<0716> ？？

//<0717> 「ゆりはフォローしてくれたんだぞ！？　お前は感謝すべき立場だっ！！」
<0717> 「ゆりはフォローしてくれたんだぞ！？　お前は感謝すべき立場だっ！！」

//<0718> nothing
<0718> nothing

//<0719> nothing
<0719> nothing

//<0720> nothing
<0720> nothing

//<0721> nothing
<0721> nothing

//<0722> nothing
<0722> nothing

//<0723> 日向
<0723> 日向

//<0724> 男Ｂ
<0724> 男Ｂ

//<0725> エロエロ団総帥
<0725> エロエロ団総帥

//<0726> イケチン
<0726> イケチン

//<0727> ホモ太
<0727> ホモ太

//<0728> ひなチン
<0728> ひなチン

//<0729> 秀樹
<0729> 秀樹

//<0730> 男子生徒
<0730> 男子生徒

//<0731> ？？
<0731> ？？

//<0732> 「またかよ…何、ひたすらゆりっぺを庇ってんだよ…」
<0732> 「またかよ…何、ひたすらゆりっぺを庇ってんだよ…」

//<0733> nothing
<0733> nothing

//<0734> nothing
<0734> nothing

//<0735> nothing
<0735> nothing

//<0736> nothing
<0736> nothing

//<0737> nothing
<0737> nothing

//<0738> ゆり
<0738> ゆり

//<0739> 女生徒
<0739> 女生徒

//<0740> ？？
<0740> ？？

//<0741> 「音無くんは、新入りにして、一番の理解者で助かるわー」
<0741> 「音無くんは、新入りにして、一番の理解者で助かるわー」

//<0742> nothing
<0742> nothing

//<0743> nothing
<0743> nothing

//<0744> nothing
<0744> nothing

//<0745> nothing
<0745> nothing

//<0746> nothing
<0746> nothing

//<0747> 日向
<0747> 日向

//<0748> 男Ｂ
<0748> 男Ｂ

//<0749> エロエロ団総帥
<0749> エロエロ団総帥

//<0750> イケチン
<0750> イケチン

//<0751> ホモ太
<0751> ホモ太

//<0752> ひなチン
<0752> ひなチン

//<0753> 秀樹
<0753> 秀樹

//<0754> 男子生徒
<0754> 男子生徒

//<0755> ？？
<0755> ？？

//<0756> 「何かをネタに脅されていたりしねーか？」
<0756> 「何かをネタに脅されていたりしねーか？」

//<0757> 音無
<0757> 音無

//<0758> クソ坊主
<0758> クソ坊主

//<0759> 代理人
<0759> 代理人

//<0760> 微妙すぎるイケメン
<0760> 微妙すぎるイケメン

//<0761> ロリコン
<0761> ロリコン

//<0762> メガネ仲間
<0762> メガネ仲間

//<0763> 暗算日本記録保持者
<0763> 暗算日本記録保持者

//<0764> 通り魔
<0764> 通り魔

//<0765> 記憶ナシ男
<0765> 記憶ナシ男

//<0766> 音速
<0766> 音速

//<0767> 無限
<0767> 無限

//<0768> エロ侍
<0768> エロ侍

//<0769> エロエロ団ナンバー１
<0769> エロエロ団ナンバー１

//<0770> ただのエロ少年
<0770> ただのエロ少年

//<0771> ユリブサイク
<0771> ユリブサイク

//<0772> ドピュッシー
<0772> ドピュッシー

//<0773> アメリカンエロドッグ
<0773> アメリカンエロドッグ

//<0774> ゼウス
<0774> ゼウス

//<0775> 日向markⅡ
<0775> 日向markⅡ

//<0776> 糞虫
<0776> 糞虫

//<0777> 量産型日向
<0777> 量産型日向

//<0778> ？？
<0778> ？？

//<0779> 「ゆりは、そんな奴じゃない！　イケチン、長い付き合いのお前ならわかるだろぉー！！」
<0779> 「ゆりは、そんな奴じゃない！　イケチン、長い付き合いのお前ならわかるだろぉー！！」

//<0780> nothing
<0780> nothing

//<0781> nothing
<0781> nothing

//<0782> nothing
<0782> nothing

//<0783> nothing
<0783> nothing

//<0784> nothing
<0784> nothing

//<0785> 日向
<0785> 日向

//<0786> 男Ｂ
<0786> 男Ｂ

//<0787> エロエロ団総帥
<0787> エロエロ団総帥

//<0788> イケチン
<0788> イケチン

//<0789> ホモ太
<0789> ホモ太

//<0790> ひなチン
<0790> ひなチン

//<0791> 秀樹
<0791> 秀樹

//<0792> 男子生徒
<0792> 男子生徒

//<0793> ？？
<0793> ？？

//<0794> 「はい、言ったあーー」
<0794> 「はい、言ったあーー」

//<0795> nothing
<0795> nothing

//<0796> nothing
<0796> nothing

//<0797> nothing
<0797> nothing

//<0798> nothing
<0798> nothing

//<0799> nothing
<0799> nothing

//<0800> nothing
<0800> nothing

//<0801> se_punch
<0801> se_punch

//<0802> 鋭いイケチンのフックが俺の顔面を捉え、また歯が飛ぶ。
<0802> 鋭いイケチンのフックが俺の顔面を捉え、また歯が飛ぶ。

//<0803> 鋭いイケチンのフックが顔面を捉え、歯が飛ぶ。
<0803> 鋭いイケチンのフックが顔面を捉え、歯が飛ぶ。

//<0804> 音無
<0804> 音無

//<0805> クソ坊主
<0805> クソ坊主

//<0806> 代理人
<0806> 代理人

//<0807> 微妙すぎるイケメン
<0807> 微妙すぎるイケメン

//<0808> ロリコン
<0808> ロリコン

//<0809> メガネ仲間
<0809> メガネ仲間

//<0810> 暗算日本記録保持者
<0810> 暗算日本記録保持者

//<0811> 通り魔
<0811> 通り魔

//<0812> 記憶ナシ男
<0812> 記憶ナシ男

//<0813> 音速
