// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> 駐車場のようだった。
<0000> 駐車場のようだった。
//<2078> ？？
<2078> ？？

//<2079> 「なるほど。岩沢とひさ子、関根、入江の４人でこそ成り立つってわけか」
<2079> 「なるほど。岩沢とひさ子、関根、入江の４人でこそ成り立つってわけか」

//<2080> nothing
<2080> nothing

//<2081> nothing
<2081> nothing

//<2082> nothing
<2082> nothing

//<2083> nothing
<2083> nothing

//<2084> nothing
<2084> nothing

//<2085> ユイ
<2085> ユイ

//<2086> 「はい、そうです！」
<2086> 「はい、そうです！」

//<2087> 音無
<2087> 音無

//<2088> クソ坊主
<2088> クソ坊主

//<2089> 代理人
<2089> 代理人

//<2090> 微妙すぎるイケメン
<2090> 微妙すぎるイケメン

//<2091> ロリコン
<2091> ロリコン

//<2092> メガネ仲間
<2092> メガネ仲間

//<2093> 暗算日本記録保持者
<2093> 暗算日本記録保持者

//<2094> 通り魔
<2094> 通り魔

//<2095> 記憶ナシ男
<2095> 記憶ナシ男

//<2096> 音速
<2096> 音速

//<2097> 無限
<2097> 無限

//<2098> エロ侍
<2098> エロ侍

//<2099> エロエロ団ナンバー１
<2099> エロエロ団ナンバー１

//<2100> ただのエロ少年
<2100> ただのエロ少年

//<2101> ユリブサイク
<2101> ユリブサイク

//<2102> ドピュッシー
<2102> ドピュッシー

//<2103> アメリカンエロドッグ
<2103> アメリカンエロドッグ

//<2104> ゼウス
<2104> ゼウス

//<2105> 日向markⅡ
<2105> 日向markⅡ

//<2106> 糞虫
<2106> 糞虫

//<2107> 量産型日向
<2107> 量産型日向

//<2108> ？？
<2108> ？？

//<2109> 「そういや岩沢以外のメンバーって、俺、知らないわ」
<2109> 「そういや岩沢以外のメンバーって、俺、知らないわ」

//<2110> nothing
<2110> nothing

//<2111> nothing
<2111> nothing

//<2112> nothing
<2112> nothing

//<2113> nothing
<2113> nothing

//<2114> nothing
<2114> nothing

//<2115> ユイ
<2115> ユイ

//<2116> 「えええええぇぇぇぇぇ！！　戦線のメンバーなのにそんなことも知らないんですか！？」
<2116> 「えええええぇぇぇぇぇ！！　戦線のメンバーなのにそんなことも知らないんですか！？」

//<2117> 音無
<2117> 音無

//<2118> クソ坊主
<2118> クソ坊主

//<2119> 代理人
<2119> 代理人

//<2120> 微妙すぎるイケメン
<2120> 微妙すぎるイケメン

//<2121> ロリコン
<2121> ロリコン

//<2122> メガネ仲間
<2122> メガネ仲間

//<2123> 暗算日本記録保持者
<2123> 暗算日本記録保持者

//<2124> 通り魔
<2124> 通り魔

//<2125> 記憶ナシ男
<2125> 記憶ナシ男

//<2126> 音速
<2126> 音速

//<2127> 無限
<2127> 無限

//<2128> エロ侍
<2128> エロ侍

//<2129> エロエロ団ナンバー１
<2129> エロエロ団ナンバー１

//<2130> ただのエロ少年
<2130> ただのエロ少年

//<2131> ユリブサイク
<2131> ユリブサイク

//<2132> ドピュッシー
<2132> ドピュッシー

//<2133> アメリカンエロドッグ
<2133> アメリカンエロドッグ

//<2134> ゼウス
<2134> ゼウス

//<2135> 日向markⅡ
<2135> 日向markⅡ

//<2136> 糞虫
<2136> 糞虫

//<2137> 量産型日向
<2137> 量産型日向

//<2138> ？？
<2138> ？？

//<2139> 「俺、こっちきてまだ三日だぞ」
<2139> 「俺、こっちきてまだ三日だぞ」

//<2140> nothing
<2140> nothing

//<2141> nothing
<2141> nothing

//<2142> nothing
<2142> nothing

//<2143> nothing
<2143> nothing

//<2144> nothing
<2144> nothing

//<2145> ユイ
<2145> ユイ

//<2146> 「仕方ないから教えてあげます。ガルデモは女の子４人で結成された、超ド級のハイスペクタルバンドなんです！」
<2146> 「仕方ないから教えてあげます。ガルデモは女の子４人で結成された、超ド級のハイスペクタルバンドなんです！」

//<2147> 音無
<2147> 音無

//<2148> クソ坊主
<2148> クソ坊主

//<2149> 代理人
<2149> 代理人

//<2150> 微妙すぎるイケメン
<2150> 微妙すぎるイケメン

//<2151> ロリコン
<2151> ロリコン

//<2152> メガネ仲間
<2152> メガネ仲間

//<2153> 暗算日本記録保持者
<2153> 暗算日本記録保持者

//<2154> 通り魔
<2154> 通り魔

//<2155> 記憶ナシ男
<2155> 記憶ナシ男

//<2156> 音速
<2156> 音速

//<2157> 無限
<2157> 無限

//<2158> エロ侍
<2158> エロ侍

//<2159> エロエロ団ナンバー１
<2159> エロエロ団ナンバー１

//<2160> ただのエロ少年
<2160> ただのエロ少年

//<2161> ユリブサイク
<2161> ユリブサイク

//<2162> ドピュッシー
<2162> ドピュッシー

//<2163> アメリカンエロドッグ
<2163> アメリカンエロドッグ

//<2164> ゼウス
<2164> ゼウス

//<2165> 日向markⅡ
<2165> 日向markⅡ

//<2166> 糞虫
<2166> 糞虫

//<2167> 量産型日向
<2167> 量産型日向

//<2168> ？？
<2168> ？？

//<2169> 「スペックって言いたかったのか？」
<2169> 「スペックって言いたかったのか？」

//<2170> nothing
<2170> nothing

//<2171> nothing
<2171> nothing

//<2172> nothing
<2172> nothing

//<2173> nothing
<2173> nothing

//<2174> nothing
<2174> nothing

//<2175> ユイ
<2175> ユイ

//<2176> 「いえ、スペクタルです！　もう世界を揺るがす音楽ってやつですよ！」
<2176> 「いえ、スペクタルです！　もう世界を揺るがす音楽ってやつですよ！」

//<2177> 音無
<2177> 音無

//<2178> クソ坊主
<2178> クソ坊主

//<2179> 代理人
<2179> 代理人

//<2180> 微妙すぎるイケメン
<2180> 微妙すぎるイケメン

//<2181> ロリコン
<2181> ロリコン

//<2182> メガネ仲間
<2182> メガネ仲間

//<2183> 暗算日本記録保持者
<2183> 暗算日本記録保持者

//<2184> 通り魔
<2184> 通り魔

//<2185> 記憶ナシ男
<2185> 記憶ナシ男

//<2186> 音速
<2186> 音速

//<2187> 無限
<2187> 無限

//<2188> エロ侍
<2188> エロ侍

//<2189> エロエロ団ナンバー１
<2189> エロエロ団ナンバー１

//<2190> ただのエロ少年
<2190> ただのエロ少年

//<2191> ユリブサイク
<2191> ユリブサイク

//<2192> ドピュッシー
<2192> ドピュッシー

//<2193> アメリカンエロドッグ
<2193> アメリカンエロドッグ

//<2194> ゼウス
<2194> ゼウス

//<2195> 日向markⅡ
<2195> 日向markⅡ

//<2196> 糞虫
<2196> 糞虫

//<2197> 量産型日向
<2197> 量産型日向

//<2198> ？？
<2198> ？？

//<2199> 「そりゃ壮大だな…」
<2199> 「そりゃ壮大だな…」

//<2200> nothing
<2200> nothing

//<2201> nothing
<2201> nothing

//<2202> nothing
<2202> nothing

//<2203> nothing
<2203> nothing

//<2204> nothing
<2204> nothing

//<2205> ユイ
<2205> ユイ

//<2206> 「ご存じボーカル＆ギターの岩沢さん！　殺伐としたリフを武器に音階を支配するリードギターのひさ子さん！」
<2206> 「ご存じボーカル＆ギターの岩沢さん！　殺伐としたリフを武器に音階を支配するリードギターのひさ子さん！」

//<2207> nothing
<2207> nothing

//<2208> nothing
<2208> nothing

//<2209> nothing
<2209> nothing

//<2210> nothing
<2210> nothing

//<2211> nothing
<2211> nothing

//<2212> ユイ
<2212> ユイ

//<2213> 「繊細かつ獰猛なビートを響かせるベースの関根さん！　漆黒の泉の中で混沌を震わせるドラムの入江さん！」
<2213> 「繊細かつ獰猛なビートを響かせるベースの関根さん！　漆黒の泉の中で混沌を震わせるドラムの入江さん！」

//<2214> nothing
<2214> nothing

//<2215> nothing
<2215> nothing

//<2216> nothing
<2216> nothing

//<2217> nothing
<2217> nothing

//<2218> nothing
<2218> nothing

//<2219> ユイ
<2219> ユイ

//<2220> 「それぞれ全てが尖っていながら、完全な調和でひとつの矢になる、それが
<2220> 「それぞれ全てが尖っていながら、完全な調和でひとつの矢になる、それが

//<2221> Girls Dead Monster
<2221> Girls Dead Monster

//<2222> 、ガルデモなんです！」
<2222> 、ガルデモなんです！」

//<2223> 音無
<2223> 音無

//<2224> クソ坊主
<2224> クソ坊主

//<2225> 代理人
<2225> 代理人

//<2226> 微妙すぎるイケメン
<2226> 微妙すぎるイケメン

//<2227> ロリコン
<2227> ロリコン

//<2228> メガネ仲間
<2228> メガネ仲間

//<2229> 暗算日本記録保持者
<2229> 暗算日本記録保持者

//<2230> 通り魔
<2230> 通り魔

//<2231> 記憶ナシ男
<2231> 記憶ナシ男

//<2232> 音速
<2232> 音速

//<2233> 無限
<2233> 無限

//<2234> エロ侍
<2234> エロ侍

//<2235> エロエロ団ナンバー１
<2235> エロエロ団ナンバー１

//<2236> ただのエロ少年
<2236> ただのエロ少年

//<2237> ユリブサイク
<2237> ユリブサイク

//<2238> ドピュッシー
<2238> ドピュッシー

//<2239> アメリカンエロドッグ
<2239> アメリカンエロドッグ

//<2240> ゼウス
<2240> ゼウス

//<2241> 日向markⅡ
<2241> 日向markⅡ

//<2242> 糞虫
<2242> 糞虫

//<2243> 量産型日向
<2243> 量産型日向

//<2244> ？？
<2244> ？？

//<2245> 「…戦闘集団か何かか？」
<2245> 「…戦闘集団か何かか？」

//<2246> nothing
<2246> nothing

//<2247> nothing
<2247> nothing

//<2248> nothing
<2248> nothing

//<2249> nothing
<2249> nothing

//<2250> nothing
<2250> nothing

//<2251> ユイ
<2251> ユイ

//<2252> 「今の説明をどう聞いたらそうなりました！！」
<2252> 「今の説明をどう聞いたらそうなりました！！」

//<2253> 音無
<2253> 音無

//<2254> クソ坊主
<2254> クソ坊主

//<2255> 代理人
<2255> 代理人

//<2256> 微妙すぎるイケメン
<2256> 微妙すぎるイケメン

//<2257> ロリコン
<2257> ロリコン

//<2258> メガネ仲間
<2258> メガネ仲間

//<2259> 暗算日本記録保持者
<2259> 暗算日本記録保持者

//<2260> 通り魔
<2260> 通り魔

//<2261> 記憶ナシ男
<2261> 記憶ナシ男

//<2262> 音速
<2262> 音速

//<2263> 無限
<2263> 無限

//<2264> エロ侍
<2264> エロ侍

//<2265> エロエロ団ナンバー１
<2265> エロエロ団ナンバー１

//<2266> ただのエロ少年
<2266> ただのエロ少年

//<2267> ユリブサイク
<2267> ユリブサイク

//<2268> ドピュッシー
<2268> ドピュッシー

//<2269> アメリカンエロドッグ
<2269> アメリカンエロドッグ

//<2270> ゼウス
<2270> ゼウス

//<2271> 日向markⅡ
<2271> 日向markⅡ

//<2272> 糞虫
<2272> 糞虫

//<2273> 量産型日向
<2273> 量産型日向

//<2274> ？？
<2274> ？？

//<2275> 「いや、殺伐だの混沌だのって物騒な単語ばかり聞かされたんで」
<2275> 「いや、殺伐だの混沌だのって物騒な単語ばかり聞かされたんで」

//<2276> nothing
<2276> nothing

//<2277> nothing
<2277> nothing

//<2278> nothing
<2278> nothing

//<2279> nothing
<2279> nothing

//<2280> nothing
<2280> nothing

//<2281> ユイ
<2281> ユイ

//<2282> 「それを『ロック』っていうんじゃぁぁーーー！」
<2282> 「それを『ロック』っていうんじゃぁぁーーー！」

//<2283> 音楽は難しいなぁ…。
<2283> 音楽は難しいなぁ…。

//<2284> nothing
<2284> nothing

//<2285> nothing
<2285> nothing

//<2286> nothing
<2286> nothing

//<2287> nothing
<2287> nothing

//<2288> nothing
<2288> nothing

//<2289> ユイ
<2289> ユイ
{43809} 33 // 2289

//<2290> 「と、とにかく、ガルデモはこの世界の唯一無二のバンドで、そのメンバーは今の４人なんですよ」
<2290> 「と、とにかく、ガルデモはこの世界の唯一無二のバンドで、そのメンバーは今の４人なんですよ」

//<2291> nothing
<2291> nothing

//<2292> nothing
<2292> nothing

//<2293> nothing
<2293> nothing

//<2294> nothing
<2294> nothing

//<2295> nothing
<2295> nothing

//<2296> nothing
<2296> nothing

//<2297> nothing
<2297> nothing

//<2298> nothing
<2298> nothing

//<2299> nothing
<2299> nothing

//<2300> nothing
<2300> nothing

//<2301> ユイ
<2301> ユイ

//<2302> 「あたしはガルデモのサポートができて、少しでも近くで見ていられたら十分なんです」
<2302> 「あたしはガルデモのサポートができて、少しでも近くで見ていられたら十分なんです」

//<2303> nothing
<2303> nothing

//<2304> nothing
<2304> nothing

//<2305> nothing
<2305> nothing

//<2306> nothing
<2306> nothing

//<2307> nothing
<2307> nothing

//<2308> ユイ
<2308> ユイ

//<2309> 「時々こうやって、コピーして歌ってられるだけで満足なんですよ」
<2309> 「時々こうやって、コピーして歌ってられるだけで満足なんですよ」

//<2310> 音無
<2310> 音無

//<2311> クソ坊主
<2311> クソ坊主

//<2312> 代理人
<2312> 代理人

//<2313> 微妙すぎるイケメン
<2313> 微妙すぎるイケメン

//<2314> ロリコン
<2314> ロリコン

//<2315> メガネ仲間
<2315> メガネ仲間

//<2316> 暗算日本記録保持者
<2316> 暗算日本記録保持者

//<2317> 通り魔
<2317> 通り魔

//<2318> 記憶ナシ男
<2318> 記憶ナシ男

//<2319> 音速
<2319> 音速

//<2320> 無限
<2320> 無限

//<2321> エロ侍
<2321> エロ侍

//<2322> エロエロ団ナンバー１
<2322> エロエロ団ナンバー１

//<2323> ただのエロ少年
<2323> ただのエロ少年

//<2324> ユリブサイク
<2324> ユリブサイク

//<2325> ドピュッシー
<2325> ドピュッシー

//<2326> アメリカンエロドッグ
<2326> アメリカンエロドッグ

//<2327> ゼウス
<2327> ゼウス

//<2328> 日向markⅡ
<2328> 日向markⅡ

//<2329> 糞虫
<2329> 糞虫

//<2330> 量産型日向
<2330> 量産型日向

//<2331> ？？
<2331> ？？

//<2332> 「何かあった時に、代わりに歌うってのもサポートだと思うけどな」
<2332> 「何かあった時に、代わりに歌うってのもサポートだと思うけどな」

//<2333> nothing
<2333> nothing

//<2334> nothing
<2334> nothing

//<2335> nothing
<2335> nothing

//<2336> nothing
<2336> nothing

//<2337> nothing
<2337> nothing

//<2338> ユイ
<2338> ユイ

//<2339> 「何かってなんです？」
<2339> 「何かってなんです？」

//<2340> 音無
<2340> 音無

//<2341> クソ坊主
<2341> クソ坊主

//<2342> 代理人
<2342> 代理人

//<2343> 微妙すぎるイケメン
<2343> 微妙すぎるイケメン

//<2344> ロリコン
<2344> ロリコン

//<2345> メガネ仲間
<2345> メガネ仲間

//<2346> 暗算日本記録保持者
<2346> 暗算日本記録保持者

//<2347> 通り魔
<2347> 通り魔

//<2348> 記憶ナシ男
<2348> 記憶ナシ男

//<2349> 音速
<2349> 音速

//<2350> 無限
<2350> 無限

//<2351> エロ侍
<2351> エロ侍

//<2352> エロエロ団ナンバー１
<2352> エロエロ団ナンバー１

//<2353> ただのエロ少年
<2353> ただのエロ少年

//<2354> ユリブサイク
<2354> ユリブサイク

//<2355> ドピュッシー
<2355> ドピュッシー

//<2356> アメリカンエロドッグ
<2356> アメリカンエロドッグ

//<2357> ゼウス
<2357> ゼウス

//<2358> 日向markⅡ
<2358> 日向markⅡ

//<2359> 糞虫
<2359> 糞虫

//<2360> 量産型日向
<2360> 量産型日向

//<2361> ？？
<2361> ？？

//<2362> 「病気はないって言ってたから…まぁ怪我とか？　天使に襲われてしまうとか？」
<2362> 「病気はないって言ってたから…まぁ怪我とか？　天使に襲われてしまうとか？」

//<2363> nothing
<2363> nothing

//<2364> nothing
<2364> nothing

//<2365> nothing
<2365> nothing

//<2366> nothing
<2366> nothing

//<2367> nothing
<2367> nothing

//<2368> ユイ
<2368> ユイ

//<2369> 「それを阻止するのがお前らの役目だろうがあぁぁぁ！　岩沢さんに睫一本分の怪我でもさせたら腹切れぇぇー！」
<2369> 「それを阻止するのがお前らの役目だろうがあぁぁぁ！　岩沢さんに睫一本分の怪我でもさせたら腹切れぇぇー！」

//<2370> nothing
<2370> nothing

//<2371> nothing
<2371> nothing

//<2372> nothing
<2372> nothing

//<2373> nothing
<2373> nothing

//<2374> nothing
<2374> nothing

//<2375> 音無
<2375> 音無

//<2376> クソ坊主
<2376> クソ坊主

//<2377> 代理人
<2377> 代理人

//<2378> 微妙すぎるイケメン
<2378> 微妙すぎるイケメン

//<2379> ロリコン
<2379> ロリコン

//<2380> メガネ仲間
<2380> メガネ仲間

//<2381> 暗算日本記録保持者
<2381> 暗算日本記録保持者

//<2382> 通り魔
<2382> 通り魔

//<2383> 記憶ナシ男
<2383> 記憶ナシ男

//<2384> 音速
<2384> 音速

//<2385> 無限
<2385> 無限

//<2386> エロ侍
<2386> エロ侍

//<2387> エロエロ団ナンバー１
<2387> エロエロ団ナンバー１

//<2388> ただのエロ少年
<2388> ただのエロ少年

//<2389> ユリブサイク
<2389> ユリブサイク

//<2390> ドピュッシー
<2390> ドピュッシー

//<2391> アメリカンエロドッグ
<2391> アメリカンエロドッグ

//<2392> ゼウス
<2392> ゼウス

//<2393> 日向markⅡ
<2393> 日向markⅡ

//<2394> 糞虫
<2394> 糞虫

//<2395> 量産型日向
<2395> 量産型日向

//<2396> ？？
<2396> ？？

//<2397> 「そりゃごもっとも」
<2397> 「そりゃごもっとも」

//<2398> nothing
<2398> nothing

//<2399> nothing
<2399> nothing

//<2400> nothing
<2400> nothing

//<2401> nothing
<2401> nothing

//<2402> nothing
<2402> nothing

//<2403> nothing
<2403> nothing

//<2404> でも、あの天使を確実に止める方法なんてあるんだろうか。
<2404> でも、あの天使を確実に止める方法なんてあるんだろうか。

//<2405> 音無
<2405> 音無

//<2406> クソ坊主
<2406> クソ坊主

//<2407> 代理人
<2407> 代理人

//<2408> 微妙すぎるイケメン
<2408> 微妙すぎるイケメン

//<2409> ロリコン
<2409> ロリコン

//<2410> メガネ仲間
<2410> メガネ仲間

//<2411> 暗算日本記録保持者
<2411> 暗算日本記録保持者

//<2412> 通り魔
<2412> 通り魔

//<2413> 記憶ナシ男
<2413> 記憶ナシ男

//<2414> 音速
<2414> 音速

//<2415> 無限
<2415> 無限

//<2416> エロ侍
<2416> エロ侍

//<2417> エロエロ団ナンバー１
<2417> エロエロ団ナンバー１

//<2418> ただのエロ少年
<2418> ただのエロ少年

//<2419> ユリブサイク
<2419> ユリブサイク

//<2420> ドピュッシー
<2420> ドピュッシー

//<2421> アメリカンエロドッグ
<2421> アメリカンエロドッグ

//<2422> ゼウス
<2422> ゼウス

//<2423> 日向markⅡ
<2423> 日向markⅡ

//<2424> 糞虫
<2424> 糞虫

//<2425> 量産型日向
<2425> 量産型日向

//<2426> ？？
<2426> ？？

//<2427> 「それを含めて考えるのが俺たちの役目ってことか」
<2427> 「それを含めて考えるのが俺たちの役目ってことか」

//<2428> 少しでも銃の練習を増やしておくかな。
<2428> 少しでも銃の練習を増やしておくかな。

//<2429> nothing
<2429> nothing

//<2430> nothing
<2430> nothing

//<2431> nothing
<2431> nothing

//<2432> nothing
<2432> nothing

//<2433> nothing
<2433> nothing

//<2434> ユイ
<2434> ユイ

//<2435> 「じゃあ、先輩。あたし行きますから」
<2435> 「じゃあ、先輩。あたし行きますから」

//<2436> 音無
<2436> 音無

//<2437> クソ坊主
<2437> クソ坊主

//<2438> 代理人
<2438> 代理人

//<2439> 微妙すぎるイケメン
<2439> 微妙すぎるイケメン

//<2440> ロリコン
<2440> ロリコン

//<2441> メガネ仲間
<2441> メガネ仲間

//<2442> 暗算日本記録保持者
<2442> 暗算日本記録保持者

//<2443> 通り魔
<2443> 通り魔

//<2444> 記憶ナシ男
<2444> 記憶ナシ男

//<2445> 音速
<2445> 音速

//<2446> 無限
<2446> 無限

//<2447> エロ侍
<2447> エロ侍

//<2448> エロエロ団ナンバー１
<2448> エロエロ団ナンバー１

//<2449> ただのエロ少年
<2449> ただのエロ少年

//<2450> ユリブサイク
<2450> ユリブサイク

//<2451> ドピュッシー
<2451> ドピュッシー

//<2452> アメリカンエロドッグ
<2452> アメリカンエロドッグ

//<2453> ゼウス
<2453> ゼウス

//<2454> 日向markⅡ
<2454> 日向markⅡ

//<2455> 糞虫
<2455> 糞虫

//<2456> 量産型日向
<2456> 量産型日向

//<2457> ？？
<2457> ？？

//<2458> 「ああ…」
<2458> 「ああ…」

//<2459> nothing
<2459> nothing

//<2460> nothing
<2460> nothing

//<2461> nothing
<2461> nothing

//<2462> nothing
<2462> nothing

//<2463> nothing
<2463> nothing

//<2464> nothing
<2464> nothing

//<2465> 音無
<2465> 音無

//<2466> クソ坊主
<2466> クソ坊主

//<2467> 代理人
<2467> 代理人

//<2468> 微妙すぎるイケメン
<2468> 微妙すぎるイケメン

//<2469> ロリコン
<2469> ロリコン

//<2470> メガネ仲間
<2470> メガネ仲間

//<2471> 暗算日本記録保持者
<2471> 暗算日本記録保持者

//<2472> 通り魔
<2472> 通り魔

//<2473> 記憶ナシ男
<2473> 記憶ナシ男

//<2474> 音速
<2474> 音速

//<2475> 無限
<2475> 無限

//<2476> エロ侍
<2476> エロ侍

//<2477> エロエロ団ナンバー１
<2477> エロエロ団ナンバー１

//<2478> ただのエロ少年
<2478> ただのエロ少年

//<2479> ユリブサイク
<2479> ユリブサイク

//<2480> ドピュッシー
<2480> ドピュッシー

//<2481> アメリカンエロドッグ
<2481> アメリカンエロドッグ

//<2482> ゼウス
<2482> ゼウス

//<2483> 日向markⅡ
<2483> 日向markⅡ

//<2484> 糞虫
<2484> 糞虫

//<2485> 量産型日向
<2485> 量産型日向

//<2486> ？？
<2486> ？？

//<2487> 「あっと、おい、ユイ」
<2487> 「あっと、おい、ユイ」

//<2488> nothing
<2488> nothing

//<2489> nothing
<2489> nothing

//<2490> nothing
<2490> nothing

//<2491> nothing
<2491> nothing

//<2492> nothing
<2492> nothing

//<2493> ユイ
<2493> ユイ

//<2494> 「なんですか？」
<2494> 「なんですか？」

//<2495> 音無
<2495> 音無

//<2496> クソ坊主
<2496> クソ坊主

//<2497> 代理人
<2497> 代理人

//<2498> 微妙すぎるイケメン
<2498> 微妙すぎるイケメン

//<2499> ロリコン
<2499> ロリコン

//<2500> メガネ仲間
<2500> メガネ仲間

//<2501> 暗算日本記録保持者
<2501> 暗算日本記録保持者

//<2502> 通り魔
<2502> 通り魔

//<2503> 記憶ナシ男
<2503> 記憶ナシ男

//<2504> 音速
<2504> 音速

//<2505> 無限
<2505> 無限

//<2506> エロ侍
<2506> エロ侍

//<2507> エロエロ団ナンバー１
<2507> エロエロ団ナンバー１

//<2508> ただのエロ少年
<2508> ただのエロ少年

//<2509> ユリブサイク
<2509> ユリブサイク

//<2510> ドピュッシー
<2510> ドピュッシー

//<2511> アメリカンエロドッグ
<2511> アメリカンエロドッグ

//<2512> ゼウス
<2512> ゼウス

//<2513> 日向markⅡ
<2513> 日向markⅡ

//<2514> 糞虫
<2514> 糞虫

//<2515> 量産型日向
<2515> 量産型日向

//<2516> ？？
<2516> ？？

//<2517> 「お前の歌、ここに来たらまた聴けるのか？」
<2517> 「お前の歌、ここに来たらまた聴けるのか？」

//<2518> nothing
<2518> nothing

//<2519> nothing
<2519> nothing

//<2520> nothing
<2520> nothing

//<2521> nothing
<2521> nothing

//<2522> nothing
<2522> nothing

//<2523> ユイ
<2523> ユイ

//<2524> 「今はここはあたしのステージですから」
<2524> 「今はここはあたしのステージですから」

//<2525> 音無
<2525> 音無

//<2526> クソ坊主
<2526> クソ坊主

//<2527> 代理人
<2527> 代理人

//<2528> 微妙すぎるイケメン
<2528> 微妙すぎるイケメン

//<2529> ロリコン
<2529> ロリコン

//<2530> メガネ仲間
<2530> メガネ仲間

//<2531> 暗算日本記録保持者
<2531> 暗算日本記録保持者

//<2532> 通り魔
<2532> 通り魔

//<2533> 記憶ナシ男
<2533> 記憶ナシ男

//<2534> 音速
<2534> 音速

//<2535> 無限
<2535> 無限

//<2536> エロ侍
<2536> エロ侍

//<2537> エロエロ団ナンバー１
<2537> エロエロ団ナンバー１

//<2538> ただのエロ少年
<2538> ただのエロ少年

//<2539> ユリブサイク
<2539> ユリブサイク

//<2540> ドピュッシー
<2540> ドピュッシー

//<2541> アメリカンエロドッグ
<2541> アメリカンエロドッグ

//<2542> ゼウス
<2542> ゼウス

//<2543> 日向markⅡ
<2543> 日向markⅡ

//<2544> 糞虫
<2544> 糞虫

//<2545> 量産型日向
<2545> 量産型日向

//<2546> ？？
<2546> ？？

//<2547> 「そっか、じゃあまた聴きにくる」
<2547> 「そっか、じゃあまた聴きにくる」

//<2548> nothing
<2548> nothing

//<2549> nothing
<2549> nothing

//<2550> nothing
<2550> nothing

//<2551> nothing
<2551> nothing

//<2552> nothing
<2552> nothing

//<2553> ユイは一瞬、驚いた顔をしたあと、恥ずかしそうにはにかんで背中を向けた。
<2553> ユイは一瞬、驚いた顔をしたあと、恥ずかしそうにはにかんで背中を向けた。

//<2554> nothing
<2554> nothing

//<2555> nothing
<2555> nothing

//<2556> nothing
<2556> nothing

//<2557> nothing
<2557> nothing

//<2558> nothing
<2558> nothing

//<2559> ユイ
<2559> ユイ

//<2560> 「ストリートミュージシャンはお客を選びませんから」
<2560> 「ストリートミュージシャンはお客を選びませんから」

//<2561> nothing
<2561> nothing

//<2562> nothing
<2562> nothing

//<2563> nothing
<2563> nothing

//<2564> nothing
<2564> nothing

//<2565> nothing
<2565> nothing

//<2566> nothing
<2566> nothing

//<2567> そう言って去っていく彼女の髪は、子犬の尻尾のように踊っていた。
<2567> そう言って去っていく彼女の髪は、子犬の尻尾のように踊っていた。

//<2568> dummy
<2568> dummy

//<2569> bg_kuro
<2569> bg_kuro

//<2570> ep99_bg011
<2570> ep99_bg011

//<2571> sys_bk_selline00
<2571> sys_bk_selline00

//<2572> evyi_0102
<2572> evyi_0102

//<2573> evyi_0102
<2573> evyi_0102

//<2574> ep99_bg011
<2574> ep99_bg011

//<2575> m302
<2575> m302

//<2576> bs1_yi010300a0
<2576> bs1_yi010300a0

//<2577> bs1_yi0403
<2577> bs1_yi0403

//<2578> yi0108
<2578> yi0108

//<2579> bs2_yi010200a0
<2579> bs2_yi010200a0

//<2580> m104
<2580> m104

//<2581> yi010311b0
<2581> yi010311b0

//<2582> yi0113
<2582> yi0113

//<2583> yi030400o0
<2583> yi030400o0

//<2584> yi0203
<2584> yi0203

//<2585> yi0108_060900
<2585> yi0108_060900

//<2586> yi0106
<2586> yi0106

//<2587> yi0202_0300a0
<2587> yi0202_0300a0

//<2588> m105
<2588> m105

//<2589> yi0713
<2589> yi0713

//<2590> yi0111_03
<2590> yi0111_03

//<2591> yi0104_03
<2591> yi0104_03

//<2592> yi0204
<2592> yi0204

//<2593> bs3_yi010706a0
<2593> bs3_yi010706a0

//<2594> bs3_yi0107
<2594> bs3_yi0107

//<2595> bs2_yi020311a0
<2595> bs2_yi020311a0

//<2596> yi0304_0300d0
<2596> yi0304_0300d0

//<2597> bg_kuro
<2597> bg_kuro

//<2598> evyi_0102
<2598> evyi_0102

//<2599> ep99_bg011
<2599> ep99_bg011

//<2600> m302
<2600> m302

//<2601> bs1_yi010300b0
<2601> bs1_yi010300b0

//<2602> yi04051400
<2602> yi04051400

//<2603> yi0116_1200a0
<2603> yi0116_1200a0

//<2604> yi0711_16
<2604> yi0711_16

//<2605> yi0711_16
<2605> yi0711_16

//<2606> yi040800w0
